Fund Level
Fund Name,iShares Core EURO STOXX 50 UCITS ETF EUR (Dist)
Fund Ticker,EUE
Fund ISIN,IE0008471009
Fund Cusip,
Fund LEI,549300JUBEQWJ2YTC363
Total NAV per share,32.091927,Nov 28 2018
Distribution per Share,,
Fund Size,4265017098.30,Nov 28 2018
Shares Outstanding,132900000,Nov 28 2018
Baskets Outstanding,1329.000000000000,Nov 28 2018
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,0.1%

Basket Level
Trade Date,Nov 29 2018
Settlement Date
Shares per Basket (PNU),100000
Projected Transaction Fee,295.79,Nov 29 2018
Confirmed Transaction Fee,295.79,Nov 28 2018
Projected Cash for Pricing Basket,1557.39,Nov 29 2018
Projected Cash for Deliverable Basket,3220.93,Nov 29 2018
Confirmed Cash for Deliverable Basket,0,Nov 28 2018

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ADIDAS N AG,,D0066B185,DE000A1EWWW0,4031976,252.0000,251.8277,0.0000,199.100000,EUR,1.000000,,,,,,,
EQUITY,AIR LIQUIDE SA,,F01764103,FR0000120073,B1YXBJ7,604.0000,602.4387,0.0000,103.800000,EUR,1.000000,,,,,,,
EQUITY,AIRBUS GROUP,,N0280G100,NL0000235190,4012250,805.0000,803.6960,0.0000,93.500000,EUR,1.000000,,,,,,,
EQUITY,ALLIANZ,,D03080112,DE0008404005,5231485,605.0000,604.6742,0.0000,189.320000,EUR,1.000000,,,,,,,
EQUITY,AMADEUS IT GROUP SA,,E04648114,ES0109067019,B3MSM28,620.0000,617.2965,0.0000,64.280000,EUR,1.000000,,,,,,,
EQUITY,ANHEUSER BUSCH INBEV NV,,B639CJ108,BE0974293251,BYYHL23,1199.0000,1197.0948,0.0000,67.190000,EUR,1.000000,,,,,,,
EQUITY,ASML HOLDING NV,,N07059202,NL0010273215,B929F46,608.0000,606.9187,0.0000,149.860000,EUR,1.000000,,,,,,,
EQUITY,AXA SA,,F06106102,FR0000120628,7088429,2936.0000,2927.1956,0.0000,21.420000,EUR,1.000000,,,,,,,
EQUITY,BANCO BILBAO VIZCAYA ARGENTARIA,,E11805103,ES0113211835,5501906,9416.0000,9379.7314,0.0000,4.978000,EUR,1.000000,,,,,,,
EQUITY,BANCO SANTANDER SA,,E19790109,ES0113900J37,5705946,22739.0000,22695.0783,0.0000,4.224500,EUR,1.000000,,,,,,,
