Fund Level
Fund Name,iShares Core MSCI World UCITS ETF USD (Acc)
Fund Ticker,SWDA
Fund ISIN,IE00B4L5Y983
Fund Cusip,
Fund LEI,549300QS4Q1IT6XCA514
Total NAV per share,53.202625,Nov 28 2018
Distribution per Share,,
Fund Size,15748719017.00,Nov 28 2018
Shares Outstanding,296013947,Nov 28 2018
Baskets Outstanding,1480.069735000000,Nov 28 2018
Share Class Apportionment Ratio,0.969269
Exposure Basket,NO
Total Expense Ratio,0.2%

Basket Level
Trade Date,Nov 30 2018
Settlement Date
Shares per Basket (PNU),200000
Projected Transaction Fee,6599.60,Nov 29 2018
Confirmed Transaction Fee,6618.14,Nov 28 2018
Projected Cash for Pricing Basket,22239.42,Nov 29 2018
Projected Cash for Deliverable Basket,19649.19,Nov 29 2018
Confirmed Cash for Deliverable Basket,0,Nov 28 2018

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,14.0000,14.2342,0.0000,50.604423,EUR,1.000000,,,,,,,
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,249.0000,248.3399,0.0000,11.040678,GBP,1.000000,,,,,,,
EQUITY,3M,,88579Y101,US88579Y1010,2595708,161.0000,159.9269,0.0000,204.340000,USD,1.000000,,,,,,,
EQUITY,A O SMITH CORP,,831865209,US8318652091,2816023,45.0000,41.3213,0.0000,47.220000,USD,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK,,K0514G135,DK0010244425,4253059,1.0000,0.9830,0.0000,1347.104067,DKK,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK B,,K0514G101,DK0010244508,4253048,1.0000,1.3425,0.0000,1441.847112,DKK,1.000000,,,,,,,
EQUITY,ABB LTD,,H0010V101,CH0012221716,7108899,600.0000,536.3442,0.0000,20.070969,CHF,1.000000,,,,,,,
EQUITY,ABBOTT LABORATORIES,,002824100,US0028241000,2002305,494.0000,473.4892,0.0000,72.830000,USD,1.000000,,,,,,,
EQUITY,ABBVIE INC,,00287Y109,US00287Y1091,B92SR70,413.0000,410.2780,0.0000,88.940000,USD,1.000000,,,,,,,
EQUITY,ABC MART INC,,J00056101,JP3152740001,6292102,0.0000,1.5632,0.0000,56.045258,JPY,1.000000,,,,,,,
EQUITY,ABIOMED INC,,003654100,US0036541003,2003698,12.0000,11.4404,0.0000,335.220000,USD,1.000000,,,,,,,
EQUITY,ABN AMRO GROUP NV,,N0162C102,NL0011540547,BYQP136,153.0000,152.9222,0.0000,25.730681,EUR,1.000000,,,,,,,
EQUITY,ACCENTURE PLC CLASS A,,G1151C101,IE00B4BNMY34,B4BNMY3,175.0000,175.2378,0.0000,162.210000,USD,1.000000,,,,,,,
EQUITY,ACCOR SA,,F00189120,FR0000120404,5852842,49.0000,48.8736,0.0000,45.451522,EUR,1.000000,,,,,,,
EQUITY,ACOM LTD,,J00105106,JP3108600002,6049784,100.0000,97.5900,0.0000,3.674956,JPY,1.000000,,,,,,,
EQUITY,ACS ACTIVIDADES DE CONSTRUCCION Y,,E7813W163,ES0167050915,B01FLQ6,88.0000,87.5917,0.0000,37.975869,EUR,1.000000,,,,,,,
EQUITY,ACTIVISION BLIZZARD INC,,00507V109,US00507V1098,2575818,205.0000,199.7656,0.0000,51.020000,USD,1.000000,,,,,,,
EQUITY,ACUITY BRANDS INC,,00508Y102,US00508Y1029,2818461,12.0000,11.1647,0.0000,128.580000,USD,1.000000,,,,,,,
EQUITY,ADECCO GROUP AG,,H00392318,CH0012138605,7110720,58.0000,52.4585,0.0000,48.528163,CHF,1.000000,,,,,,,
EQUITY,ADIDAS N AG,,D0066B185,DE000A1EWWW0,4031976,50.0000,49.6051,0.0000,224.495112,EUR,1.000000,,,,,,,
EQUITY,ADMIRAL GROUP PLC,,G0110T106,GB00B02J6398,B02J639,49.0000,49.4041,0.0000,26.664423,GBP,1.000000,,,,,,,
EQUITY,ADOBE INC,,00724F101,US00724F1012,2008154,138.0000,132.4599,0.0000,249.210000,USD,1.000000,,,,,,,
EQUITY,ADVANCE AUTO PARTS INC,,00751Y106,US00751Y1064,2822019,22.0000,16.0915,0.0000,178.950000,USD,1.000000,,,,,,,
EQUITY,ADVANCED MICRO DEVICES INC,,007903107,US0079031078,2007849,260.0000,246.1630,0.0000,21.340000,USD,1.000000,,,,,,,
EQUITY,AEGON NV,,N00927298,NL0000303709,5927375,623.0000,621.3091,0.0000,5.588136,EUR,1.000000,,,,,,,
EQUITY,AENA SME SA,,E526K0106,ES0105046009,BVRZ8L1,19.0000,18.6397,0.0000,160.281166,EUR,1.000000,,,,,,,
