Fund Level
Fund Name,iShares MSCI Emerging Markets ETF
Fund Ticker,EEM
Fund ISIN,US4642872349
Fund Cusip,464287234
Fund LEI,
Total NAV per share,40.735663,Nov 28 2018
Distribution per Share,,
Fund Size,29567980988.60,Nov 28 2018
Shares Outstanding,725850000,Nov 28 2018
Baskets Outstanding,1613.000000000000,Nov 28 2018
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Nov 29 2018
Settlement Date
Shares per Basket (PNU),450000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,29696.69,Nov 29 2018
Projected Cash for Deliverable Basket,1009666.53,Nov 29 2018
Confirmed Cash for Deliverable Basket,1016393.74,Nov 28 2018

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3SBIO INC INC,,G8875G102,KYG8875G1029,BY9D3L9,4500.0000,4722.8766,0.0000,1.535965,HKD,1.000000,,,,,,,
EQUITY,51JOB ADR REPRESENTING INC,,316827104,US3168271043,B02TT74,93.0000,93.6460,0.0000,64.440000,USD,1.000000,,,,,,,
EQUITY,58.COM ADR REPRESENTING  INC CLASS,,31680Q104,US31680Q1040,BG3GS91,345.0000,345.5059,0.0000,58.700000,USD,1.000000,,,,,,,
EQUITY,AAC TECHNOLOGIES HOLDINGS INC,,G2953R114,KYG2953R1149,B85LKS1,2500.0000,2731.5561,0.0000,7.207023,HKD,1.000000,,,,,,,
EQUITY,ABOITIZ EQUITY VENTURES PHP1 INC,,Y0001Z104,PHY0001Z1040,6068411,7960.0000,7981.5871,0.0000,1.036417,PHP,1.000000,,,,,,,
EQUITY,ABOITIZ POWER CORP,,Y0005M109,PHY0005M1090,B1Z9Q99,4600.0000,4653.8524,0.0000,0.635162,PHP,1.000000,,,,,,,
EQUITY,ABSA GROUP LTD,,S0270C106,ZAE000255915,BFX05H3,2667.0000,2667.7886,0.0000,11.263564,ZAR,1.000000,,,,,,,
EQUITY,ABU DHABI COMMERCIAL BANK PJSC,,M0152Q104,AEA000201011,6545464,8086.0000,8086.0012,0.0000,2.188857,AED,1.000000,,,,,,,
EQUITY,ACER,,Y0003F171,TW0002353000,6005850,10000.0000,10914.5201,0.0000,0.644096,TWD,1.000000,,,,,,,
EQUITY,ADANI PORTS AND SPECIAL ECONOMIC Z,,Y00130107,INE742F01042,B28XXH2,1925.0000,1925.0254,0.0000,5.172707,INR,1.000000,,,,,,,
EQUITY,ADARO ENERGY TBK,,Y7087B109,ID1000111305,B3BQFC4,53400.0000,53443.3354,0.0000,0.086382,IDR,1.000000,,,,,,,
EQUITY,ADVANCED INFO SERVICE NON-VOTING D,,Y0014U175,TH0268010R11,6412609,3800.0000,3835.4619,0.0000,5.497085,THB,1.000000,,,,,,,
EQUITY,ADVANTECH CO. LTD.,,Y0017P108,TW0002395001,6202673,1000.0000,1336.7179,0.0000,7.444329,TWD,1.000000,,,,,,,
EQUITY,AGILE GROUP HOLDINGS LTD,,G01198103,KYG011981035,B0PR2F4,4000.0000,5879.7272,0.0000,1.298286,HKD,1.000000,,,,,,,
