Fund Level
Fund Name,iShares MSCI All Country Asia ex Japan ETF
Fund Ticker,AAXJ
Fund ISIN,US4642881829
Fund Cusip,464288182
Fund LEI,
Total NAV per share,65.912803,Jan 22 2019
Distribution per Share,,
Fund Size,4350244998.00,Jan 22 2019
Shares Outstanding,66000000,Jan 22 2019
Baskets Outstanding,330.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),200000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,6514.51,Jan 23 2019
Projected Cash for Deliverable Basket,566366.62,Jan 23 2019
Confirmed Cash for Deliverable Basket,564726.72,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3SBIO INC,,G8875G102,KYG8875G1029,BY9D3L9,4000,4000.00000,0.00000,1.504028,HKD,1.000000,,,,,,,
EQUITY,51JOB ADR REPRESENTING INC,,316827104,US3168271043,B02TT74,76,76.00000,0.00000,66.250000,USD,1.000000,,,,,,,
EQUITY,58.COM ADR REPRESENTING  INC CLASS,,31680Q104,US31680Q1040,BG3GS91,288,288.00000,0.00000,60.060000,USD,1.000000,,,,,,,
EQUITY,AAC TECHNOLOGIES HOLDINGS INC,,G2953R114,KYG2953R1149,B85LKS1,2000,2315.15151,0.00000,5.805802,HKD,1.000000,,,,,,,
EQUITY,ABOITIZ EQUITY VENTURES PHP1 INC,,Y0001Z104,PHY0001Z1040,6068411,6100,6102.18181,0.00000,1.246694,PHP,1.000000,,,,,,,
EQUITY,ABOITIZ POWER CORP,,Y0005M109,PHY0005M1090,B1Z9Q99,4700,4761.21212,0.00000,0.695127,PHP,1.000000,,,,,,,
EQUITY,ACER,,Y0003F171,TW0002353000,6005850,9000,9596.45454,0.00000,0.618183,TWD,1.000000,,,,,,,
EQUITY,ADANI PORTS AND SPECIAL ECONOMIC Z,,Y00130107,INE742F01042,B28XXH2,1579,1579.61212,0.00000,5.468769,INR,1.000000,,,,,,,
EQUITY,ADARO ENERGY TBK,,Y7087B109,ID1000111305,B3BQFC4,44700,44700.00000,0.00000,0.099191,IDR,1.000000,,,,,,,
EQUITY,ADVANCED INFO SERVICE NON-VOTING D,,Y0014U175,TH0268010R11,6412609,3200,3200.00000,0.00000,5.389692,THB,1.000000,,,,,,,
