Fund Level
Fund Name,iShares MSCI ACWI ETF
Fund Ticker,ACWI
Fund ISIN,US4642882579
Fund Cusip,464288257
Fund LEI,
Total NAV per share,67.446947,Jan 22 2019
Distribution per Share,,
Fund Size,10656617626.00,Jan 22 2019
Shares Outstanding,158000000,Jan 22 2019
Baskets Outstanding,790.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),200000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,-2518.15,Jan 23 2019
Projected Cash for Deliverable Basket,588796.24,Jan 23 2019
Confirmed Cash for Deliverable Basket,602061.77,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,58,58.00000,0.00000,43.858802,EUR,1.000000,,,,,,,
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,824,824.53164,0.00000,10.849282,GBP,1.000000,,,,,,,
EQUITY,3M,,88579Y101,US88579Y1010,2595708,198,198.00000,0.00000,192.260000,USD,1.000000,,,,,,,
EQUITY,51JOB ADR REPRESENTING INC,,316827104,US3168271043,B02TT74,29,29.00000,0.00000,66.250000,USD,1.000000,,,,,,,
EQUITY,58.COM ADR REPRESENTING  INC CLASS,,31680Q104,US31680Q1040,BG3GS91,47,47.39746,0.00000,60.060000,USD,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK,,K0514G135,DK0010244425,4253059,4,4.00000,0.00000,1237.985156,DKK,1.000000,,,,,,,
EQUITY,AAC TECHNOLOGIES HOLDINGS INC,,G2953R114,KYG2953R1149,B85LKS1,0,377.21518,0.00000,5.805802,HKD,1.000000,,,,,,,
EQUITY,ABB LTD,,H0010V101,CH0012221716,7108899,720,720.71898,0.00000,19.181034,CHF,1.000000,,,,,,,
EQUITY,ABBOTT LABORATORIES,,002824100,US0028241000,2002305,556,556.30379,0.00000,71.490000,USD,1.000000,,,,,,,
EQUITY,ABBVIE INC,,00287Y109,US00287Y1091,B92SR70,483,483.10379,0.00000,88.660000,USD,1.000000,,,,,,,
EQUITY,ABIOMED INC,,003654100,US0036541003,2003698,16,16.36708,0.00000,336.130000,USD,1.000000,,,,,,,
EQUITY,ABOITIZ EQUITY VENTURES PHP1 INC,,Y0001Z104,PHY0001Z1040,6068411,900,900.70886,0.00000,1.246694,PHP,1.000000,,,,,,,
EQUITY,ABOITIZ POWER CORP,,Y0005M109,PHY0005M1090,B1Z9Q99,2500,2505.69620,0.00000,0.695127,PHP,1.000000,,,,,,,
EQUITY,ABU DHABI COMMERCIAL BANK,,M0152Q104,AEA000201011,6545464,892,892.01518,0.00000,2.341315,AED,1.000000,,,,,,,
EQUITY,ACCENTURE PLC CLASS A,,G1151C101,IE00B4BNMY34,B4BNMY3,221,221.58481,0.00000,148.970000,USD,1.000000,,,,,,,
EQUITY,ACCOR SA,,F00189120,FR0000120404,5852842,133,133.02531,0.00000,44.233567,EUR,1.000000,,,,,,,
EQUITY,ACER,,Y0003F171,TW0002353000,6005850,4000,4724.05063,0.00000,0.618183,TWD,1.000000,,,,,,,
EQUITY,ACOM LTD,,J00105106,JP3108600002,6049784,700,770.88607,0.00000,3.508772,JPY,1.000000,,,,,,,
EQUITY,ACS ACTIVIDADES DE CONSTRUCCION Y,,E7813W163,ES0167050915,B01FLQ6,132,132.23924,0.00000,40.372357,EUR,1.000000,,,,,,,
EQUITY,ACTIVIDADES DE CONSTRUCCION Y SERV,,,ES06670509E9,BFMXP84,0,0.00000,133.74303,0.522399,EUR,1.000000,,,,,,,
EQUITY,ACTIVISION BLIZZARD INC,,00507V109,US00507V1098,2575818,224,224.26582,0.00000,47.060000,USD,1.000000,,,,,,,
EQUITY,ACUITY BRANDS INC,,00508Y102,US00508Y1029,2818461,16,16.64050,0.00000,116.140000,USD,1.000000,,,,,,,
EQUITY,ADECCO GROUP AG,,H00392318,CH0012138605,7110720,66,66.00000,0.00000,50.902165,CHF,1.000000,,,,,,,
EQUITY,ADIDAS N AG,,D0066B185,DE000A1EWWW0,4031976,67,67.00000,0.00000,233.716767,EUR,1.000000,,,,,,,
EQUITY,ADOBE INC,,00724F101,US00724F1012,2008154,160,160.29367,0.00000,243.850000,USD,1.000000,,,,,,,
EQUITY,ADVANCE AUTO PARTS INC,,00751Y106,US00751Y1064,2822019,29,29.53417,0.00000,164.130000,USD,1.000000,,,,,,,
EQUITY,ADVANCED MICRO DEVICES INC,,007903107,US0079031078,2007849,301,301.26582,0.00000,19.760000,USD,1.000000,,,,,,,
EQUITY,AEGON NV,,N00927298,NL0000303709,5927375,617,617.59493,0.00000,5.127460,EUR,1.000000,,,,,,,
