Fund Level
Fund Name,iShares MSCI ACWI ex U.S. ETF
Fund Ticker,ACWX
Fund ISIN,US4642882405
Fund Cusip,464288240
Fund LEI,
Total NAV per share,43.990244,Jan 22 2019
Distribution per Share,,
Fund Size,4275851716.80,Jan 22 2019
Shares Outstanding,97200000,Jan 22 2019
Baskets Outstanding,486.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),200000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,4535.37,Jan 23 2019
Projected Cash for Deliverable Basket,204431.57,Jan 23 2019
Confirmed Cash for Deliverable Basket,222133.35,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,31,31.00000,0.00000,43.858802,EUR,1.000000,,,,,,,
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,497,497.08641,0.00000,10.849282,GBP,1.000000,,,,,,,
EQUITY,3SBIO INC,,G8875G102,KYG8875G1029,BY9D3L9,1000,1000.00000,0.00000,1.504028,HKD,1.000000,,,,,,,
EQUITY,51JOB ADR REPRESENTING INC,,316827104,US3168271043,B02TT74,27,27.00000,0.00000,66.250000,USD,1.000000,,,,,,,
EQUITY,58.COM ADR REPRESENTING  INC CLASS,,31680Q104,US31680Q1040,BG3GS91,49,49.00000,0.00000,60.060000,USD,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK,,K0514G135,DK0010244425,4253059,3,3.00000,0.00000,1237.985156,DKK,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK B,,K0514G101,DK0010244508,4253048,2,2.00000,0.00000,1320.111936,DKK,1.000000,,,,,,,
EQUITY,AAC TECHNOLOGIES HOLDINGS INC,,G2953R114,KYG2953R1149,B85LKS1,0,251.02880,0.00000,5.805802,HKD,1.000000,,,,,,,
EQUITY,ABB LTD,,H0010V101,CH0012221716,7108899,795,795.00000,0.00000,19.181034,CHF,1.000000,,,,,,,
EQUITY,ABN AMRO GROUP NV,,N0162C102,NL0011540547,BYQP136,192,192.00000,0.00000,25.449916,EUR,1.000000,,,,,,,
