Fund Level
Fund Name,iShares MSCI ACWI Low Carbon Target ETF
Fund Ticker,CRBN
Fund ISIN,US46434V4648
Fund Cusip,46434V464
Fund LEI,
Total NAV per share,109.062700,Jan 22 2019
Distribution per Share,,
Fund Size,376266315.00,Jan 22 2019
Shares Outstanding,3450000,Jan 22 2019
Baskets Outstanding,69.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,22759.61,Jan 23 2019
Projected Cash for Deliverable Basket,80365.57,Jan 23 2019
Confirmed Cash for Deliverable Basket,83698.75,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,18,18.00000,0.00000,43.858802,EUR,1.000000,,,,,,,
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,262,262.00000,0.00000,10.849282,GBP,1.000000,,,,,,,
EQUITY,3M,,88579Y101,US88579Y1010,2595708,78,78.00000,0.00000,192.260000,USD,1.000000,,,,,,,
EQUITY,A O SMITH CORP,,831865209,US8318652091,2816023,49,49.00000,0.00000,47.160000,USD,1.000000,,,,,,,
EQUITY,ABB LTD,,H0010V101,CH0012221716,7108899,226,226.00000,0.00000,19.181034,CHF,1.000000,,,,,,,
EQUITY,ABBOTT LABORATORIES,,002824100,US0028241000,2002305,243,243.00000,0.00000,71.490000,USD,1.000000,,,,,,,
EQUITY,ABBVIE INC,,00287Y109,US00287Y1091,B92SR70,196,196.00000,0.00000,88.660000,USD,1.000000,,,,,,,
EQUITY,ABIOMED INC,,003654100,US0036541003,2003698,5,5.00000,0.00000,336.130000,USD,1.000000,,,,,,,
EQUITY,ABSA GROUP LTD,,S0270C106,ZAE000255915,BFX05H3,165,165.00000,0.00000,12.542873,ZAR,1.000000,,,,,,,
EQUITY,ACCENTURE PLC CLASS A,,G1151C101,IE00B4BNMY34,B4BNMY3,90,90.00000,0.00000,148.970000,USD,1.000000,,,,,,,
