Fund Level
Fund Name,iShares Emerging Markets Dividend ETF
Fund Ticker,DVYE
Fund ISIN,US4642863199
Fund Cusip,464286319
Fund LEI,
Total NAV per share,39.637582,Jan 22 2019
Distribution per Share,,
Fund Size,572763059.90,Jan 22 2019
Shares Outstanding,14450000,Jan 22 2019
Baskets Outstanding,289.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,429.11,Jan 23 2019
Projected Cash for Deliverable Basket,122776.23,Jan 23 2019
Confirmed Cash for Deliverable Basket,100054.58,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ADVANCED INFO SERVICE NON-VOTING D,,Y0014U175,TH0268010R11,6412609,2000,2000.00000,0.00000,5.389692,THB,1.000000,,,,,,,
EQUITY,AES TIETE ENERGIA UNITS SA,,P30641115,BRTIETCDAM15,BZ8W2L7,8400,8400.00000,0.00000,2.887226,BRL,1.000000,,,,,,,
EQUITY,AGILE GROUP HOLDINGS LTD,,G01198103,KYG011981035,B0PR2F4,6000,6000.00000,0.00000,1.198124,HKD,1.000000,,,,,,,
EQUITY,AGRICULTURAL BANK OF CHINA LTD H,,Y00289119,CNE100000Q43,B60LZR6,30000,30000.00000,0.00000,0.452483,HKD,1.000000,,,,,,,
EQUITY,AK ALROSA,,X0085A109,RU0007252813,B6QPBP2,25320,25320.00000,0.00000,1.503562,RUB,1.000000,,,,,,,
EQUITY,ANK BASHNEFT PREF,,X0710V114,RU0007976965,B5B5C35,0,910.44290,0.00000,27.695604,RUB,1.000000,,,,,,,
EQUITY,ARCADYAN TECHNOLOGY CORP,,Y02020116,TW0003596003,B28SKW1,14000,14000.00000,0.00000,2.605431,TWD,1.000000,,,,,,,
EQUITY,ASIA CEMENT CORP,,Y0275F107,TW0001102002,6056331,11000,11000.00000,0.00000,1.158689,TWD,1.000000,,,,,,,
EQUITY,ASUSTEK COMPUTER INC,,Y04327105,TW0002357001,6051046,2000,2096.88581,0.00000,7.444088,TWD,1.000000,,,,,,,
EQUITY,BANCO SANTANDER B SA,,P1507S164,MX41BS060005,BF1FXN2,15900,15900.00000,0.00000,1.378392,MXN,1.000000,,,,,,,
