Fund Level
Fund Name,iShares Select Dividend ETF
Fund Ticker,DVY
Fund ISIN,US4642871689
Fund Cusip,464287168
Fund LEI,
Total NAV per share,92.937207,Jan 22 2019
Distribution per Share,,
Fund Size,16668288075.40,Jan 22 2019
Shares Outstanding,179350000,Jan 22 2019
Baskets Outstanding,3587.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,-436.64,Jan 23 2019
Projected Cash for Deliverable Basket,21635.55,Jan 23 2019
Confirmed Cash for Deliverable Basket,21588.06,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ALLIANT ENERGY CORP,,018802108,US0188021085,2973821,1470,1470.31140,0.00000,43.140000,USD,1.000000,,,,,,,
EQUITY,ALTRIA GROUP INC,,02209S103,US02209S1033,2692632,1080,1080.14776,0.00000,44.970000,USD,1.000000,,,,,,,
EQUITY,AMERICAN ELECTRIC POWER INC,,025537101,US0255371017,2026242,961,961.23752,0.00000,76.380000,USD,1.000000,,,,,,,
EQUITY,ARTHUR J GALLAGHER,,363576109,US3635761097,2359506,562,562.30945,0.00000,73.380000,USD,1.000000,,,,,,,
EQUITY,AT&T INC,,00206R102,US00206R1023,2831811,2463,2463.24366,0.00000,30.580000,USD,1.000000,,,,,,,
EQUITY,AVISTA CORP,,05379B107,US05379B1070,2942605,408,408.00056,0.00000,41.170000,USD,1.000000,,,,,,,
EQUITY,BANK OF HAWAII CORP.,,062540109,US0625401098,2074070,252,251.79203,0.00000,75.360000,USD,1.000000,,,,,,,
EQUITY,BB AND T CORP,,054937107,US0549371070,2830904,728,728.42598,0.00000,49.140000,USD,1.000000,,,,,,,
EQUITY,BLACK HILLS CORP,,092113109,US0921131092,2101741,329,329.47951,0.00000,65.700000,USD,1.000000,,,,,,,
EQUITY,CATERPILLAR INC,,149123101,US1491231015,2180201,220,219.75411,0.00000,132.240000,USD,1.000000,,,,,,,
