Fund Level
Fund Name,iShares MSCI Emerging Markets Asia ETF
Fund Ticker,EEMA
Fund ISIN,US4642864262
Fund Cusip,464286426
Fund LEI,
Total NAV per share,62.993972,Jan 22 2019
Distribution per Share,,
Fund Size,456706297.00,Jan 22 2019
Shares Outstanding,7250000,Jan 22 2019
Baskets Outstanding,145.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,6676.2,Jan 23 2019
Projected Cash for Deliverable Basket,317653.41,Jan 23 2019
Confirmed Cash for Deliverable Basket,317995.3,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3SBIO INC,,G8875G102,KYG8875G1029,BY9D3L9,1000,1093.10344,0.00000,1.504028,HKD,1.000000,,,,,,,
EQUITY,51JOB ADR REPRESENTING INC,,316827104,US3168271043,B02TT74,22,22.35172,0.00000,66.250000,USD,1.000000,,,,,,,
EQUITY,58.COM ADR REPRESENTING  INC CLASS,,31680Q104,US31680Q1040,BG3GS91,81,81.72413,0.00000,60.060000,USD,1.000000,,,,,,,
EQUITY,AAC TECHNOLOGIES HOLDINGS INC,,G2953R114,KYG2953R1149,B85LKS1,500,644.82758,0.00000,5.805802,HKD,1.000000,,,,,,,
EQUITY,ABOITIZ EQUITY VENTURES PHP1 INC,,Y0001Z104,PHY0001Z1040,6068411,1710,1716.20689,0.00000,1.246694,PHP,1.000000,,,,,,,
EQUITY,ABOITIZ POWER CORP,,Y0005M109,PHY0005M1090,B1Z9Q99,1200,1211.03448,0.00000,0.695127,PHP,1.000000,,,,,,,
EQUITY,ACER,,Y0003F171,TW0002353000,6005850,2000,2669.39310,0.00000,0.618183,TWD,1.000000,,,,,,,
EQUITY,ADANI PORTS AND SPECIAL ECONOMIC Z,,Y00130107,INE742F01042,B28XXH2,444,444.12413,0.00000,5.468769,INR,1.000000,,,,,,,
EQUITY,ADARO ENERGY TBK,,Y7087B109,ID1000111305,B3BQFC4,13400,13434.48275,0.00000,0.099191,IDR,1.000000,,,,,,,
EQUITY,ADVANCED INFO SERVICE NON-VOTING D,,Y0014U175,TH0268010R11,6412609,900,942.75862,0.00000,5.389692,THB,1.000000,,,,,,,
EQUITY,ADVANTECH LTD,,Y0017P108,TW0002395001,6202673,0,312.28965,0.00000,7.427906,TWD,1.000000,,,,,,,
EQUITY,AGILE GROUP HOLDINGS LTD,,G01198103,KYG011981035,B0PR2F4,0,1365.51724,0.00000,1.198124,HKD,1.000000,,,,,,,
EQUITY,AGRICULTURAL BANK OF CHINA LTD A,,Y00289101,CNE100000RJ0,BP3R228,600,666.89655,0.00000,0.524114,CNY,1.000000,,,,,,,
EQUITY,AGRICULTURAL BANK OF CHINA LTD H,,Y00289119,CNE100000Q43,B60LZR6,25000,25358.62068,0.00000,0.452483,HKD,1.000000,,,,,,,
EQUITY,AIR CHINA LTD H,,Y002A6104,CNE1000001S0,B04KNF1,0,1600.00000,0.00000,0.936831,HKD,1.000000,,,,,,,
EQUITY,AIRASIA GROUP,,Y0029V101,MYL5099OO006,B03J9L7,1400,1409.65517,0.00000,0.728373,MYR,1.000000,,,,,,,
EQUITY,AIRPORTS OF THAILAND NON-VOTING DR,,Y0028Q129,TH0765010R16,6741206,3700,3752.41379,0.00000,2.152734,THB,1.000000,,,,,,,
EQUITY,AIRTAC INTERNATIONAL GROUP,,G01408106,KYG014081064,B52J816,0,117.24137,0.00000,11.327961,TWD,1.000000,,,,,,,
EQUITY,ALIBABA GROUP HOLDING ADR REPRESEN,,01609W102,US01609W1027,BP41ZD1,1084,1084.37931,0.00000,152.150000,USD,1.000000,,,,,,,
EQUITY,ALIBABA HEALTH INFORMATION TECH LT,,G0171K101,BMG0171K1018,BRXVS60,0,1406.89655,0.00000,0.871826,HKD,1.000000,,,,,,,
EQUITY,ALIBABA PICTURES GROUP LTD,,G0171W105,BMG0171W1055,BPYM749,0,5172.41379,0.00000,0.166973,HKD,1.000000,,,,,,,
EQUITY,ALLIANCE BANK MALAYSIA BHD,,Y0034W102,MYL2488OO004,6556938,900,995.17241,0.00000,1.028433,MYR,1.000000,,,,,,,
EQUITY,ALLIANCE GLOBAL GROUP INC,,Y00334105,PHY003341054,6147105,3900,3922.75862,0.00000,0.265584,PHP,1.000000,,,,,,,
EQUITY,ALUMINUM CORPORATION OF CHINA CORP,,Y0094N109,CNE1000001T8,6425395,2000,3903.44827,0.00000,0.350515,HKD,1.000000,,,,,,,
EQUITY,AMBUJA CEMENTS LTD,,Y6140K106,INE079A01024,B09QQ11,533,533.88275,0.00000,2.994102,INR,1.000000,,,,,,,
EQUITY,AMMB HOLDINGS,,Y0122P100,MYL1015OO006,6047023,1500,1500.68965,0.00000,1.096189,MYR,1.000000,,,,,,,
EQUITY,AMOREG,,Y0126C105,KR7002790004,6665931,25,25.75862,0.00000,57.046831,KRW,1.000000,,,,,,,
EQUITY,AMOREPACIFIC CORP,,Y01258105,KR7090430000,B15SK50,28,28.66896,0.00000,154.778225,KRW,1.000000,,,,,,,
EQUITY,AMOREPACIFIC PREF CORP,,Y01258113,KR7090431008,B1638D8,7,7.22758,0.00000,86.233582,KRW,1.000000,,,,,,,
EQUITY,ANGANG STEEL LTD A,,Y0132F100,CNE000000SQ4,BD5CQ47,100,185.51724,0.00000,0.763415,CNY,1.000000,,,,,,,
EQUITY,ANGANG STEEL LTD H,,Y0132D105,CNE1000001V4,6015644,0,868.96551,0.00000,0.708677,HKD,1.000000,,,,,,,
EQUITY,ANHUI CONCH CEMENT LTD A,,Y01373110,CNE0000019V8,BP3R2Z1,0,66.89655,0.00000,4.465977,CNY,1.000000,,,,,,,
EQUITY,ANHUI CONCH CEMENT LTD H,,Y01373102,CNE1000001W2,6080396,1000,1041.37931,0.00000,4.983685,HKD,1.000000,,,,,,,
EQUITY,ANTA SPORTS PRODUCTS LTD,,G04011105,KYG040111059,B1YVKN8,0,937.93103,0.00000,4.837106,HKD,1.000000,,,,,,,
EQUITY,ASE INDUSTRIAL HOLDING LTD,,Y0249T100,TW0003711008,BFXZDY1,3000,3051.61379,0.00000,1.893388,TWD,1.000000,,,,,,,
EQUITY,ASHOK LEYLAND LTD,,Y0266N143,INE208A01029,B01NFT1,1034,1034.81379,0.00000,1.231383,INR,1.000000,,,,,,,
EQUITY,ASIA CEMENT CORP,,Y0275F107,TW0001102002,6056331,1000,1946.40689,0.00000,1.158689,TWD,1.000000,,,,,,,
EQUITY,ASIAN PAINTS LTD,,Y03638114,INE021A01026,BCRWL65,255,255.57241,0.00000,19.698630,INR,1.000000,,,,,,,
EQUITY,ASTRA INTERNATIONAL,,Y7117N172,ID1000122807,B800MQ5,17900,17956.55172,0.00000,0.576855,IDR,1.000000,,,,,,,
EQUITY,ASUSTEK COMPUTER INC,,Y04327105,TW0002357001,6051046,0,613.79310,0.00000,7.444088,TWD,1.000000,,,,,,,
EQUITY,AU OPTRONICS CORP,,Y0453H107,TW0002409000,6288190,7000,7289.65517,0.00000,0.398097,TWD,1.000000,,,,,,,
EQUITY,AUROBINDO PHARMA LTD,,Y04527142,INE406A01037,6702634,239,239.00000,0.00000,11.046046,INR,1.000000,,,,,,,
EQUITY,AUTOHOME ADR REPRESENTING INC CLAS,,05278C107,US05278C1071,BH5QGR0,51,51.64137,0.00000,73.980000,USD,1.000000,,,,,,,
EQUITY,AVENUE SUPERMARTS LTD,,Y04895101,INE192R01011,BYW1G33,111,111.61379,0.00000,19.011883,INR,1.000000,,,,,,,
EQUITY,AVICHINA INDUSTRY & TECHNOLOGY LTD,,Y0485Q109,CNE1000001Y8,6707899,2000,2082.75862,0.00000,0.623279,HKD,1.000000,,,,,,,
EQUITY,AXIATA GROUP,,Y0488A101,MYL6888OO001,B2QZGV5,2400,2486.89655,0.00000,0.996975,MYR,1.000000,,,,,,,
EQUITY,AXIS BANK LTD,,Y0487S137,INE238A01034,BPFJHC7,1565,1565.28965,0.00000,9.263025,INR,1.000000,,,,,,,
EQUITY,AYALA CORP,,Y0486V115,PHY0486V1154,B09JBT3,210,216.20689,0.00000,17.208160,PHP,1.000000,,,,,,,
EQUITY,AYALA LAND INC,,Y0488F100,PHY0488F1004,6055112,6300,6361.37931,0.00000,0.844352,PHP,1.000000,,,,,,,
EQUITY,BAIC MOTOR CORP LTD H,,Y0506H104,CNE100001TJ4,BTF8BT7,1500,1668.96551,0.00000,0.601611,HKD,1.000000,,,,,,,
EQUITY,BAIDU ADR REPTG   INC CLASS A,,056752108,US0567521085,B0FXT17,243,243.17241,0.00000,160.390000,USD,1.000000,,,,,,,
EQUITY,BAJAJ AUTO LTD,,Y05490100,INE917I01010,B2QKXW0,74,74.26896,0.00000,37.639441,INR,1.000000,,,,,,,
