Fund Level
Fund Name,iShares MSCI Emerging Markets Small-Cap ETF
Fund Ticker,EEMS
Fund ISIN,US4642864759
Fund Cusip,464286475
Fund LEI,
Total NAV per share,42.876595,Jan 22 2019
Distribution per Share,,
Fund Size,270122548.50,Jan 22 2019
Shares Outstanding,6300000,Jan 22 2019
Baskets Outstanding,126.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,18637.09,Jan 23 2019
Projected Cash for Deliverable Basket,338384.48,Jan 23 2019
Confirmed Cash for Deliverable Basket,332449.59,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,21VIANET GROUP ADR REPRESENTING SI,,90138A103,US90138A1034,B3Q0VS9,231,231.07936,0.00000,8.900000,USD,1.000000,,,,,,,
EQUITY,361 DEGREES INTERNATIONAL LTD,,G88493104,KYG884931042,B51BL70,3000,3698.41269,0.00000,0.203936,HKD,1.000000,,,,,,,
EQUITY,500.COM ADR REPRESENTING  LTD CLAS,,33829R100,US33829R1005,BGK07D3,68,68.29365,0.00000,12.900000,USD,1.000000,,,,,,,
EQUITY,AARTI INDUSTRIES LTD,,Y0000F133,INE769A01020,B0VX289,132,132.69841,0.00000,21.811372,INR,1.000000,,,,,,,
EQUITY,ACBEL POLYTECH INC,,Y0002J109,TW0006282007,6676450,2000,2920.63492,0.00000,0.614946,TWD,1.000000,,,,,,,
EQUITY,ACCTON TECHNOLOGY CORP,,Y0002S109,TW0002345006,6005214,1000,1595.23809,0.00000,3.382205,TWD,1.000000,,,,,,,
EQUITY,ACE HARDWARE INDONESIA,,Y000CY105,ID1000125503,B7JW351,26300,26321.42857,0.00000,0.125572,IDR,1.000000,,,,,,,
EQUITY,ADANI ENTERPRISES LTD,,Y00106131,INE423A01024,B01VRK0,441,441.69047,0.00000,2.039938,INR,1.000000,,,,,,,
EQUITY,ADANI POWER LTD,,Y0019Q104,INE814H01011,B3WQH49,2767,2767.83333,0.00000,0.718248,INR,1.000000,,,,,,,
EQUITY,ADANI TRANSMISSION LTD,,Y0R15U100,INE931S01010,BYPCLL6,964,719.70634,0.00000,2.928298,INR,1.000000,,,,,,,
