Fund Level
Fund Name,iShares Edge MSCI Min Vol Emerging Markets ETF
Fund Ticker,EEMV
Fund ISIN,US4642865335
Fund Cusip,464286533
Fund LEI,
Total NAV per share,57.421388,Jan 22 2019
Distribution per Share,,
Fund Size,5386126194.40,Jan 22 2019
Shares Outstanding,93800000,Jan 22 2019
Baskets Outstanding,938.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,5305.62,Jan 23 2019
Projected Cash for Deliverable Basket,163679.07,Jan 23 2019
Confirmed Cash for Deliverable Basket,165199.08,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3SBIO INC,,G8875G102,KYG8875G1029,BY9D3L9,2000,2000.00000,0.00000,1.504028,HKD,1.000000,,,,,,,
EQUITY,51JOB ADR REPRESENTING INC,,316827104,US3168271043,B02TT74,62,62.00000,0.00000,66.250000,USD,1.000000,,,,,,,
EQUITY,AAC TECHNOLOGIES HOLDINGS INC,,G2953R114,KYG2953R1149,B85LKS1,1500,1500.00000,0.00000,5.805802,HKD,1.000000,,,,,,,
EQUITY,ABOITIZ EQUITY VENTURES PHP1 INC,,Y0001Z104,PHY0001Z1040,6068411,14100,14100.19189,0.00000,1.246694,PHP,1.000000,,,,,,,
EQUITY,ABOITIZ POWER CORP,,Y0005M109,PHY0005M1090,B1Z9Q99,32600,32600.00000,0.00000,0.695127,PHP,1.000000,,,,,,,
EQUITY,ADVANCED INFO SERVICE NON-VOTING D,,Y0014U175,TH0268010R11,6412609,2600,2600.00000,0.00000,5.389692,THB,1.000000,,,,,,,
EQUITY,ADVANTECH LTD,,Y0017P108,TW0002395001,6202673,4000,4242.35927,0.00000,7.427906,TWD,1.000000,,,,,,,
EQUITY,AGRICULTURAL BANK OF CHINA LTD H,,Y00289119,CNE100000Q43,B60LZR6,92000,92000.00000,0.00000,0.452483,HKD,1.000000,,,,,,,
EQUITY,AGUAS ANDINAS SA,,P4171M125,CL0000000035,2311238,57093,57093.65245,0.00000,0.584213,CLP,1.000000,,,,,,,
EQUITY,AIRPORTS OF THAILAND NON-VOTING DR,,Y0028Q129,TH0765010R16,6741206,26700,26700.00000,0.00000,2.152734,THB,1.000000,,,,,,,
EQUITY,ALIBABA GROUP HOLDING ADR REPRESEN,,01609W102,US01609W1027,BP41ZD1,408,408.00000,0.00000,152.150000,USD,1.000000,,,,,,,
EQUITY,AMBEV SA,,P0273U106,BRABEVACNOR1,BG7ZWY7,6100,6100.00000,0.00000,4.646050,BRL,1.000000,,,,,,,
EQUITY,ANGLOGOLD ASHANTI LTD,,S04255196,ZAE000043485,6565655,374,374.00000,0.00000,12.223620,ZAR,1.000000,,,,,,,
EQUITY,ANTA SPORTS PRODUCTS LTD,,G04011105,KYG040111059,B1YVKN8,3000,3000.00000,0.00000,4.837106,HKD,1.000000,,,,,,,
EQUITY,ARCA CONTINENTAL,,P0448R103,MX01AC100006,2823885,2900,2900.00000,0.00000,5.486418,MXN,1.000000,,,,,,,
EQUITY,ASIAN PAINTS LTD,,Y03638114,INE021A01026,BCRWL65,1999,1999.00000,0.00000,19.698630,INR,1.000000,,,,,,,
EQUITY,ASUSTEK COMPUTER INC,,Y04327105,TW0002357001,6051046,3000,3000.00000,0.00000,7.444088,TWD,1.000000,,,,,,,
EQUITY,AU OPTRONICS CORP,,Y0453H107,TW0002409000,6288190,26000,26000.00000,0.00000,0.398097,TWD,1.000000,,,,,,,
EQUITY,AUTOHOME ADR REPRESENTING INC CLAS,,05278C107,US05278C1071,BH5QGR0,60,60.00639,0.00000,73.980000,USD,1.000000,,,,,,,
EQUITY,BAIDU ADR REPTG   INC CLASS A,,056752108,US0567521085,B0FXT17,185,185.00000,0.00000,160.390000,USD,1.000000,,,,,,,
EQUITY,BAJAJ FINANCE LTD,,Y0547D112,INE296A01024,BD2N0P2,304,304.00000,0.00000,36.709078,INR,1.000000,,,,,,,
