Fund Level
Fund Name,iShares Edge MSCI Min Vol EAFE ETF
Fund Ticker,EFAV
Fund ISIN,US46429B6891
Fund Cusip,46429B689
Fund LEI,
Total NAV per share,68.683181,Jan 22 2019
Distribution per Share,,
Fund Size,10103295925.10,Jan 22 2019
Shares Outstanding,147100000,Jan 22 2019
Baskets Outstanding,1471.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,266,Jan 23 2019
Projected Cash for Deliverable Basket,345318.64,Jan 23 2019
Confirmed Cash for Deliverable Basket,345089.69,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ABC MART INC,,J00056101,JP3152740001,6292102,300,338.27328,0.00000,56.377924,JPY,1.000000,,,,,,,
EQUITY,ADIDAS N AG,,D0066B185,DE000A1EWWW0,4031976,17,17.52413,0.00000,233.716767,EUR,1.000000,,,,,,,
EQUITY,ADMIRAL GROUP PLC,,G0110T106,GB00B02J6398,B02J639,601,601.67437,0.00000,27.434220,GBP,1.000000,,,,,,,
EQUITY,AEROPORTS DE PARIS SA,,F00882104,FR0010340141,B164FY1,172,172.44595,0.00000,188.745027,EUR,1.000000,,,,,,,
EQUITY,AGEAS NV,,B0148L138,BE0974264930,B86S2N0,255,255.30455,0.00000,46.141459,EUR,1.000000,,,,,,,
EQUITY,AGL ENERGY LTD,,Q01630195,AU000000AGL7,BSS7GP5,759,759.19238,0.00000,14.911278,AUD,1.000000,,,,,,,
EQUITY,AIB GROUP,,G0R4HJ106,IE00BF0L3536,BF0L353,1448,1448.74575,0.00000,4.501717,EUR,1.000000,,,,,,,
EQUITY,AIR LIQUIDE SA,,F01764103,FR0000120073,B1YXBJ7,155,155.43031,0.00000,119.129683,EUR,1.000000,,,,,,,
EQUITY,AJINOMOTO INC,,J00882126,JP3119600009,6010906,800,885.99592,0.00000,17.479898,JPY,1.000000,,,,,,,
EQUITY,AMCOR LTD,,Q03080100,AU000000AMC4,6066608,1906,1906.45955,0.00000,9.636298,AUD,1.000000,,,,,,,
EQUITY,ANA HOLDINGS INC,,J0156Q112,JP3429800000,6014908,1100,1106.73011,0.00000,36.504020,JPY,1.000000,,,,,,,
EQUITY,AOZORA BANK LTD,,J0172K115,JP3711200000,B1G1854,100,153.50101,0.00000,30.747442,JPY,1.000000,,,,,,,
EQUITY,ASAHI GROUP HOLDINGS LTD,,J02100113,JP3116000005,6054409,500,500.00000,0.00000,40.625000,JPY,1.000000,,,,,,,
EQUITY,ASCENDAS REAL ESTATE INVESTMENT TR,,Y0205X103,SG1M77906915,6563875,3300,3360.50305,0.00000,1.992794,SGD,1.000000,,,,,,,
EQUITY,ASTELLAS PHARMA INC,,J03393105,JP3942400007,6985383,3400,3413.05234,0.00000,14.240680,JPY,1.000000,,,,,,,
EQUITY,ASTRAZENECA PLC,,G0593M107,GB0009895292,0989529,664,664.68184,0.00000,72.000249,GBP,1.000000,,,,,,,
EQUITY,AUCKLAND INTERNATIONAL AIRPORT LTD,,Q06213146,NZAIAE0002S6,BKX3XG2,921,921.73011,0.00000,5.000390,NZD,1.000000,,,,,,,
EQUITY,AURIZON HOLDINGS LTD,,Q0695Q104,AU000000AZJ1,B87CVM3,2460,2460.87967,0.00000,3.140719,AUD,1.000000,,,,,,,
EQUITY,AUSNET SERVICES,,Q0708Q109,AU000000AST5,BPXR7J0,6765,6765.69000,0.00000,1.174201,AUD,1.000000,,,,,,,
EQUITY,AUSTRALIA AND NEW ZEALAND BANKING,,Q09504137,AU000000ANZ3,6065586,466,466.55404,0.00000,18.423173,AUD,1.000000,,,,,,,
EQUITY,AXEL SPRINGER,,D76169115,DE0005501357,4647317,49,49.87559,0.00000,57.861367,EUR,1.000000,,,,,,,
EQUITY,AZRIELI GROUP LTD,,M1571Q105,IL0011194789,B5MN1W0,66,66.26852,0.00000,49.843729,ILS,1.000000,,,,,,,
EQUITY,BAE SYSTEMS PLC,,G06940103,GB0002634946,0263494,4326,4326.90414,0.00000,6.629829,GBP,1.000000,,,,,,,
EQUITY,BALOISE HOLDING AG,,H04530202,CH0012410517,7124594,236,236.92182,0.00000,154.470730,CHF,1.000000,,,,,,,
EQUITY,BANK HAPOALIM BM,,M1586M115,IL0006625771,6075808,3732,3732.77294,0.00000,6.462835,ILS,1.000000,,,,,,,
EQUITY,BANK LEUMI LE ISRAEL,,M16043107,IL0006046119,6076425,5259,5259.42080,0.00000,6.348689,ILS,1.000000,,,,,,,
EQUITY,BARRY CALLEBAUT AG,,H05072105,CH0009002962,5476929,11,11.00000,0.00000,1590.817963,CHF,1.000000,,,,,,,
EQUITY,BEIERSDORF AG,,D08792109,DE0005200000,5107401,326,326.83888,0.00000,98.597132,EUR,1.000000,,,,,,,
EQUITY,BENESSE HOLDINGS INC,,J0429N102,JP3835620000,6121927,100,193.13392,0.00000,25.758406,JPY,1.000000,,,,,,,
EQUITY,BERKELEY GROUP HOLDINGS (THE) PLC,,G1191G120,GB00B02L3W35,B02L3W3,100,100.91434,0.00000,49.062805,GBP,1.000000,,,,,,,
EQUITY,BEZEQ ISRAELI TELECOMMUNICATION CO,,M2012Q100,IL0002300114,6098032,3649,3649.24473,0.00000,0.871586,ILS,1.000000,,,,,,,
EQUITY,BIC SA,,F10080103,FR0000120966,5298781,86,86.06458,0.00000,102.492411,EUR,1.000000,,,,,,,
EQUITY,BOC HONG KONG HOLDINGS LTD,,Y0920U103,HK2388011192,6536112,3000,3440.17675,0.00000,3.830172,HKD,1.000000,,,,,,,
EQUITY,BP PLC,,G12793108,GB0007980591,0798059,1211,1211.60503,0.00000,6.642788,GBP,1.000000,,,,,,,
EQUITY,BRAMBLES LTD,,Q6634U106,AU000000BXB1,B1FJ0C0,834,834.91162,0.00000,7.659072,AUD,1.000000,,,,,,,
EQUITY,BRITISH AMERICAN TOBACCO PLC,,G1510J102,GB0002875804,0287580,427,427.60978,0.00000,32.779811,GBP,1.000000,,,,,,,
EQUITY,BT GROUP PLC,,G16612106,GB0030913577,3091357,4874,4874.92318,0.00000,3.084244,GBP,1.000000,,,,,,,
EQUITY,BUNZL,,G16968110,GB00B0744B38,B0744B3,171,171.56764,0.00000,31.231209,GBP,1.000000,,,,,,,
EQUITY,BURBERRY GROUP PLC,,G1700D105,GB0031743007,3174300,326,326.85520,0.00000,23.015198,GBP,1.000000,,,,,,,
EQUITY,CALTEX AUSTRALIA LTD,,Q19884107,AU000000CTX1,6161503,594,594.32630,0.00000,18.972799,AUD,1.000000,,,,,,,
EQUITY,CANON INC,,J05124144,JP3242800005,6172323,2000,2074.09925,0.00000,28.051901,JPY,1.000000,,,,,,,
EQUITY,CAPITALAND MALL TRUST,,Y1100L160,SG1M51904654,6420129,17300,17392.38613,0.00000,1.669240,SGD,1.000000,,,,,,,
EQUITY,CARLSBERG AS  CL B,,K36628137,DK0010181759,4169219,140,140.66621,0.00000,110.962404,DKK,1.000000,,,,,,,
EQUITY,CARNIVAL PLC,,G19081101,GB0031215220,3121522,376,376.77906,0.00000,53.870597,GBP,1.000000,,,,,,,
EQUITY,CENTRAL JAPAN RAILWAY,,J05523105,JP3566800003,6183552,100,109.38137,0.00000,213.907164,JPY,1.000000,,,,,,,
EQUITY,CENTRICA PLC,,G2018Z143,GB00B033F229,B033F22,1726,1726.28891,0.00000,1.737803,GBP,1.000000,,,,,,,
EQUITY,CHECK POINT SOFTWARE TECHNOLOGIES,,M22465104,IL0010824113,2181334,168,168.26784,0.00000,106.660000,USD,1.000000,,,,,,,
EQUITY,CHEUNG KONG INFRASTRUCTURE HOLDING,,G2178K100,BMG2178K1009,BYVS6J1,4000,4326.30863,0.00000,7.902519,HKD,1.000000,,,,,,,
EQUITY,CHOCOLADEFABRIKEN LINDT & SPRUENGL,,H49983184,CH0010570767,5962280,6,6.00000,0.00000,6199.879711,CHF,1.000000,,,,,,,
EQUITY,CHOCOLADEFABRIKEN LINDT & SPRUENGL,,H49983176,CH0010570759,5962309,0,0.22569,0.00000,72373.696873,CHF,1.000000,,,,,,,
EQUITY,CHR HANSEN HOLDING,,K1830B107,DK0060227585,B573M11,129,129.14276,0.00000,93.594111,DKK,1.000000,,,,,,,
EQUITY,CHUGAI PHARMACEUTICAL LTD,,J06930101,JP3519400000,6196408,100,156.15227,0.00000,59.941520,JPY,1.000000,,,,,,,
EQUITY,CHUGOKU ELECTRIC POWER INC,,J07098106,JP3522200009,6195900,1400,1465.19374,0.00000,13.824927,JPY,1.000000,,,,,,,
EQUITY,CLP HOLDINGS LTD,,Y1660Q104,HK0002007356,6097017,9000,9014.27600,0.00000,11.586112,HKD,1.000000,,,,,,,
EQUITY,COCA COLA EUROPEAN PARTNERS PLC,,G25839104,GB00BDCPN049,BYQQ3P5,327,327.55404,0.00000,45.870000,USD,1.000000,,,,,,,
EQUITY,COCA-COLA AMATIL LTD,,Q2594P146,AU000000CCL2,6123451,1221,1221.52685,0.00000,5.931677,AUD,1.000000,,,,,,,
EQUITY,COCHLEAR LTD,,Q25953102,AU000000COH5,6211798,99,99.28008,0.00000,135.457792,AUD,1.000000,,,,,,,
EQUITY,COLOPLAST B,,K16018192,DK0060448595,B8FMRX8,225,225.09313,0.00000,92.316584,DKK,1.000000,,,,,,,
EQUITY,COMMONWEALTH BANK OF AUSTRALIA,,Q26915100,AU000000CBA7,6215035,659,659.25560,0.00000,51.522071,AUD,1.000000,,,,,,,
EQUITY,COMPAGNIE FINANCIERE RICHEMONT SA,,H25662182,CH0210483332,BCRWZ18,52,52.26852,0.00000,69.165998,CHF,1.000000,,,,,,,
EQUITY,COMPASS GROUP PLC,,G23296208,GB00BD6K4575,BD6K457,2964,2964.92386,0.00000,21.090786,GBP,1.000000,,,,,,,
EQUITY,COVIVIO SA,,F3832Y172,FR0000064578,7745638,91,91.01359,0.00000,99.085461,EUR,1.000000,,,,,,,
EQUITY,CRODA INTERNATIONAL PLC,,G25536148,GB00BYZWX769,BYZWX76,121,121.12168,0.00000,62.293952,GBP,1.000000,,,,,,,
EQUITY,CSL LTD,,Q3018U109,AU000000CSL8,6185495,106,106.92794,0.00000,139.690625,AUD,1.000000,,,,,,,
EQUITY,DAIICHI SANKYO LTD,,J11257102,JP3475350009,B0J7D91,300,350.37389,0.00000,34.320175,JPY,1.000000,,,,,,,
EQUITY,DAIRY FARM INTERNATIONAL HOLDINGS,,G2624N153,BMG2624N1535,6180274,1700,1757.10401,0.00000,9.430000,USD,1.000000,,,,,,,
EQUITY,DAITO TRUST CONSTRUCTION LTD,,J11151107,JP3486800000,6250508,100,104.55472,0.00000,138.706140,JPY,1.000000,,,,,,,
EQUITY,DAIWA HOUSE REIT CORP,,J12380101,JP3046390005,B0Z6WY0,18,18.33650,0.00000,2281.615497,JPY,1.000000,,,,,,,
EQUITY,DANONE SA,,F12033134,FR0000120644,B1Y9TB3,359,359.23997,0.00000,71.330175,EUR,1.000000,,,,,,,
EQUITY,DASSAULT AVIATION SA,,F24539102,FR0000121725,4067164,2,2.00000,0.00000,1454.767629,EUR,1.000000,,,,,,,
EQUITY,DASSAULT SYSTEMES,,F2457H472,FR0000130650,5330047,38,38.63698,0.00000,125.148628,EUR,1.000000,,,,,,,
EQUITY,DBS GROUP HOLDINGS LTD,,Y20246107,SG1L01001701,6175203,2200,2284.09245,0.00000,18.052798,SGD,1.000000,,,,,,,
EQUITY,DEUTSCHE LUFTHANSA AG,,D1908N106,DE0008232125,5287488,178,178.88647,0.00000,24.177988,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE TELEKOM N AG,,D2035M136,DE0005557508,5842359,1388,1388.60163,0.00000,16.512351,EUR,1.000000,,,,,,,
EQUITY,DEXUS STAPLED UNITS,,Q3190P134,AU000000DXS1,B033YN6,2071,2071.06594,0.00000,7.980282,AUD,1.000000,,,,,,,
EQUITY,DIAGEO PLC,,G42089113,GB0002374006,0237400,1820,1820.61182,0.00000,35.676149,GBP,1.000000,,,,,,,
EQUITY,DIRECT LINE INSURANCE PLC,,G2871V114,GB00BY9D0Y18,BY9D0Y1,9352,9352.43915,0.00000,4.282952,GBP,1.000000,,,,,,,
EQUITY,DSV,,K3013J154,DK0060079531,B1WT5G2,352,352.09585,0.00000,78.567952,DKK,1.000000,,,,,,,
EQUITY,EAST JAPAN RAILWAY,,J1257M109,JP3783600004,6298542,400,400.00000,0.00000,91.876827,JPY,1.000000,,,,,,,
EQUITY,ELBIT SYSTEMS LTD,,M3760D101,IL0010811243,6308913,31,31.64581,0.00000,123.603751,ILS,1.000000,,,,,,,
