Fund Level
Fund Name,iShares MSCI EAFE Growth ETF
Fund Ticker,EFG
Fund ISIN,US4642888857
Fund Cusip,464288885
Fund LEI,
Total NAV per share,71.833692,Jan 22 2019
Distribution per Share,,
Fund Size,3735351984.00,Jan 22 2019
Shares Outstanding,52000000,Jan 22 2019
Baskets Outstanding,130.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),400000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,-16606.49,Jan 23 2019
Projected Cash for Deliverable Basket,845729.52,Jan 23 2019
Confirmed Cash for Deliverable Basket,878401.48,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,111,111.05384,0.00000,43.858802,EUR,1.000000,,,,,,,
EQUITY,ABB LTD,,H0010V101,CH0012221716,7108899,8170,8170.00000,0.00000,19.181034,CHF,1.000000,,,,,,,
EQUITY,ABC MART INC,,J00056101,JP3152740001,6292102,100,130.00000,0.00000,56.377924,JPY,1.000000,,,,,,,
EQUITY,ACCOR SA,,F00189120,FR0000120404,5852842,831,831.67692,0.00000,44.233567,EUR,1.000000,,,,,,,
EQUITY,ACOM LTD,,J00105106,JP3108600002,6049784,1700,1756.92307,0.00000,3.508772,JPY,1.000000,,,,,,,
EQUITY,ADIDAS N AG,,D0066B185,DE000A1EWWW0,4031976,830,830.20000,0.00000,233.716767,EUR,1.000000,,,,,,,
EQUITY,AENA SME SA,,E526K0106,ES0105046009,BVRZ8L1,302,302.76153,0.00000,166.997330,EUR,1.000000,,,,,,,
EQUITY,AEON LTD,,J00288100,JP3388200002,6480048,1700,1743.84615,0.00000,20.134320,JPY,1.000000,,,,,,,
EQUITY,AEON MALL LTD,,J10005106,JP3131430005,6534202,400,449.30769,0.00000,16.091009,JPY,1.000000,,,,,,,
EQUITY,AEROPORTS DE PARIS SA,,F00882104,FR0010340141,B164FY1,129,129.64615,0.00000,188.745027,EUR,1.000000,,,,,,,
