Fund Level
Fund Name,iShares MSCI EAFE Value ETF
Fund Ticker,EFV
Fund ISIN,US4642888774
Fund Cusip,464288877
Fund LEI,
Total NAV per share,47.410753,Jan 22 2019
Distribution per Share,,
Fund Size,6049612082.80,Jan 22 2019
Shares Outstanding,127600000,Jan 22 2019
Baskets Outstanding,319.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),400000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,867.76,Jan 23 2019
Projected Cash for Deliverable Basket,504958.69,Jan 23 2019
Confirmed Cash for Deliverable Basket,540848.88,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,77,77.10971,0.00000,43.858802,EUR,1.000000,,,,,,,
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,2776,2776.00000,0.00000,10.849282,GBP,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK,,K0514G135,DK0010244425,4253059,9,9.55799,0.00000,1237.985156,DKK,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK B,,K0514G101,DK0010244508,4253048,19,19.44200,0.00000,1320.111936,DKK,1.000000,,,,,,,
EQUITY,ABN AMRO GROUP NV,,N0162C102,NL0011540547,BYQP136,1237,1237.54231,0.00000,25.449916,EUR,1.000000,,,,,,,
EQUITY,ACS ACTIVIDADES DE CONSTRUCCION Y,,E7813W163,ES0167050915,B01FLQ6,755,755.13479,0.00000,40.372357,EUR,1.000000,,,,,,,
EQUITY,ACTIVIDADES DE CONSTRUCCION Y SERV,,,ES06670509E9,BFMXP84,0,0.00000,762.23510,0.522399,EUR,1.000000,,,,,,,
EQUITY,ADECCO GROUP AG,,H00392318,CH0012138605,7110720,442,442.15047,0.00000,50.902165,CHF,1.000000,,,,,,,
EQUITY,ADMIRAL GROUP PLC,,G0110T106,GB00B02J6398,B02J639,508,508.39498,0.00000,27.434220,GBP,1.000000,,,,,,,
EQUITY,AEGON NV,,N00927298,NL0000303709,5927375,5206,5206.02194,0.00000,5.127460,EUR,1.000000,,,,,,,
EQUITY,AEON FINANCIAL SERVICES LTD,,J0021H107,JP3131400008,6037734,300,366.45768,0.00000,19.499269,JPY,1.000000,,,,,,,
EQUITY,AEON LTD,,J00288100,JP3388200002,6480048,500,589.34169,0.00000,20.134320,JPY,1.000000,,,,,,,
EQUITY,AERCAP HOLDINGS NV,,N00985106,NL0000687663,B1HHKD3,353,353.21316,0.00000,45.270000,USD,1.000000,,,,,,,
EQUITY,AGC INC,,J0025W100,JP3112000009,6055208,500,500.00000,0.00000,32.711988,JPY,1.000000,,,,,,,
EQUITY,AGEAS NV,,B0148L138,BE0974264930,B86S2N0,540,540.31347,0.00000,46.141459,EUR,1.000000,,,,,,,
EQUITY,AGL ENERGY LTD,,Q01630195,AU000000AGL7,BSS7GP5,1846,1846.81818,0.00000,14.911278,AUD,1.000000,,,,,,,
EQUITY,AIB GROUP,,G0R4HJ106,IE00BF0L3536,BF0L353,2366,2366.13166,0.00000,4.501717,EUR,1.000000,,,,,,,
EQUITY,AISIN SEIKI LTD,,J00714105,JP3102000001,6010702,400,455.79937,0.00000,39.427997,JPY,1.000000,,,,,,,
EQUITY,AKZO NOBEL NV,,,NL0013267909,BJ2KSG2,413,413.29153,0.00000,85.809713,EUR,1.000000,,,,,,,
EQUITY,ALFRESA HOLDINGS CORP,,J0109X107,JP3126340003,6687214,100,163.32288,0.00000,28.143275,JPY,1.000000,,,,,,,
EQUITY,ALLIANZ,,D03080112,DE0008404005,5231485,1231,1231.19435,0.00000,208.187355,EUR,1.000000,,,,,,,
