Fund Level
Fund Name,iShares MSCI Israel ETF
Fund Ticker,EIS
Fund ISIN,US4642866325
Fund Cusip,464286632
Fund LEI,
Total NAV per share,51.253232,Jan 22 2019
Distribution per Share,,
Fund Size,120445095.20,Jan 22 2019
Shares Outstanding,2350000,Jan 22 2019
Baskets Outstanding,47.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,67892.73,Jan 23 2019
Projected Cash for Deliverable Basket,69220.09,Jan 23 2019
Confirmed Cash for Deliverable Basket,69248.01,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ADO GROUP LTD,,M15335108,IL0005050161,6043311,170,170.55319,0.00000,20.298954,ILS,1.000000,,,,,,,
EQUITY,AFRICA ISRAEL INVESTMENTS LTD,,M02005102,IL0006110121,6008116,0,0.00893,0.00000,0.033157,ILS,1.000000,,,,,,,
EQUITY,AFRICA ISRAEL PROPERTIES LTD,,M0203G105,IL0010913544,B034CL3,435,435.00000,0.00000,22.416089,ILS,1.000000,,,,,,,
EQUITY,AIRPORT CITY LTD,,M0367L106,IL0010958358,B0Z7M21,2157,2157.95297,0.00000,12.482674,ILS,1.000000,,,,,,,
EQUITY,ALONY-HETZ PROPERTIES AND INVESTME,,M0867F104,IL0003900136,6013154,2813,2813.53191,0.00000,9.783938,ILS,1.000000,,,,,,,
EQUITY,AMOT INVESTMENTS LTD,,M1035R103,IL0010972789,B18MCB9,3534,3534.44680,0.00000,4.949042,ILS,1.000000,,,,,,,
EQUITY,AZRIELI GROUP LTD,,M1571Q105,IL0011194789,B5MN1W0,1082,1082.57446,0.00000,49.843729,ILS,1.000000,,,,,,,
EQUITY,BANK HAPOALIM BM,,M1586M115,IL0006625771,6075808,24359,24359.89361,0.00000,6.462835,ILS,1.000000,,,,,,,
EQUITY,BANK LEUMI LE ISRAEL,,M16043107,IL0006046119,6076425,34661,34661.85106,0.00000,6.348689,ILS,1.000000,,,,,,,
EQUITY,BAYSIDE LAND LTD,,M1971K112,IL0007590198,6089724,23,23.12765,0.00000,449.517597,ILS,1.000000,,,,,,,
EQUITY,BEZEQ ISRAELI TELECOMMUNICATION CO,,M2012Q100,IL0002300114,6098032,52256,52256.51063,0.00000,0.871586,ILS,1.000000,,,,,,,
EQUITY,BIG SHOPPING CENTERS  LTD,,M2014C109,IL0010972607,B1KZR22,66,66.34042,0.00000,57.888300,ILS,1.000000,,,,,,,
EQUITY,BLUE SQUARE REAL ESTATE LTD,,M20259103,IL0010985658,B1NV2H7,105,105.08510,0.00000,33.890474,ILS,1.000000,,,,,,,
EQUITY,BRACK CAPITAL NV,,N1589P106,NL0009690619,B556PC4,34,34.87765,0.00000,94.877021,ILS,1.000000,,,,,,,
EQUITY,CAESARSTONE LTD,,M20598104,IL0011259137,B796245,627,627.89361,0.00000,14.740000,USD,1.000000,,,,,,,
EQUITY,CELLCOM LTD,,M2196U109,IL0011015349,B23WQK8,2031,2031.40425,0.00000,5.000679,ILS,1.000000,,,,,,,
EQUITY,CHECK POINT SOFTWARE TECHNOLOGIES,,M22465104,IL0010824113,2181334,2904,2904.61702,0.00000,106.660000,USD,1.000000,,,,,,,
EQUITY,CLAL INSURANCE ENTERPRISES LTD,,M2R083223,IL0002240146,6200600,642,642.48936,0.00000,13.208316,ILS,1.000000,,,,,,,
EQUITY,CYBER ARK SOFTWARE LTD,,M2682V108,IL0011334468,BQT3XY6,687,687.82978,0.00000,75.630000,USD,1.000000,,,,,,,
EQUITY,DELEK AUTOMOTIVE SYSTEMS LTD,,M2756V109,IL0008290103,6266301,1255,1255.85106,0.00000,4.321239,ILS,1.000000,,,,,,,
EQUITY,DELEK GROUP LTD,,M27635107,IL0010841281,6219640,116,116.95744,0.00000,163.935317,ILS,1.000000,,,,,,,
EQUITY,DELTA GALIL INDUSTRIES LTD,,M2778B107,IL0006270347,6262020,303,303.59574,0.00000,27.259138,ILS,1.000000,,,,,,,
EQUITY,ELBIT SYSTEMS LTD,,M3760D101,IL0010811243,6308913,587,587.38297,0.00000,123.603751,ILS,1.000000,,,,,,,
EQUITY,ELCO LTD,,M3787F105,IL0006940345,6307545,198,198.04255,0.00000,17.554015,ILS,1.000000,,,,,,,
EQUITY,ELECTRA LTD,,M38004103,IL0007390375,6298821,56,56.14893,0.00000,231.172714,ILS,1.000000,,,,,,,
EQUITY,FIRST INTERNATIONAL BANK LTD,,M1648G106,IL0005930388,6123815,1186,1186.27659,0.00000,22.831907,ILS,1.000000,,,,,,,
EQUITY,FORMULA SYSTEMS  LTD,,M46518102,IL0002560162,6348425,121,121.95744,0.00000,39.325995,ILS,1.000000,,,,,,,
EQUITY,GAZIT GLOBE LTD,,M4793C102,IL0001260111,6585396,2655,2655.44680,0.00000,7.658649,ILS,1.000000,,,,,,,
EQUITY,GILAT SATELLITE NETWORKS LTD,,M51474118,IL0010825102,B01BZ39,358,358.42553,0.00000,8.781084,ILS,1.000000,,,,,,,
EQUITY,HAREL INSURANCE INVESTMENTS & FINA,,M52635105,IL0005850180,6410700,3051,3051.53191,0.00000,6.343253,ILS,1.000000,,,,,,,
EQUITY,HILAN LTD,,M5299H123,IL0010846983,6267230,146,146.85106,0.00000,24.158174,ILS,1.000000,,,,,,,
EQUITY,ICL ISRAEL CHEMICALS LTD,,M5920A109,IL0002810146,6455530,14777,14777.44680,0.00000,5.775241,ILS,1.000000,,,,,,,
EQUITY,IDI INSURANCE COMPANY LTD,,M5343H103,IL0011295016,BD04HH8,205,205.12765,0.00000,52.778910,ILS,1.000000,,,,,,,
EQUITY,INDUSTRIAL BUILDINGS CORPORATION L,,M5514Q106,IL0002260193,6416980,2432,2432.38297,0.00000,1.346650,ILS,1.000000,,,,,,,
EQUITY,ISRAEL CORPORATION LTD,,M8785N109,IL0005760173,6889678,68,68.46808,0.00000,274.493817,ILS,1.000000,,,,,,,
EQUITY,ISRAEL DISCOUNT BANK LTD,,465074201,IL0006912120,6451271,28401,28401.38297,0.00000,3.329257,ILS,1.000000,,,,,,,
EQUITY,ITURAN LOCATION AND CONTROL LTD,,M6158M104,IL0010818685,B0LNCS9,488,488.44680,0.00000,32.510000,USD,1.000000,,,,,,,
EQUITY,JERUSALEM ECONOMY LTD,,M6186V100,IL0001980106,6475884,1933,1933.02127,0.00000,2.470444,ILS,1.000000,,,,,,,
EQUITY,JOEL JERUSALEM OIL EXPLORATION LTD,,M6189Z108,IL0005830133,6477073,260,260.06382,0.00000,60.823481,ILS,1.000000,,,,,,,
EQUITY,KENON HOLDINGS LTD,,Y46717107,SG9999012629,BV8WW64,583,583.65957,0.00000,18.469901,ILS,1.000000,,,,,,,
EQUITY,KORNIT DIGITAL LTD,,M6372Q113,IL0011216723,BWFRFD7,811,811.23404,0.00000,18.380000,USD,1.000000,,,,,,,
EQUITY,MATRIX IT LTD,,M6859E153,IL0004450156,6747754,1079,1079.00000,0.00000,11.767903,ILS,1.000000,,,,,,,
EQUITY,MAYTRONICS LTD,,M68728100,IL0010910656,B034DS7,596,596.12765,0.00000,5.862210,ILS,1.000000,,,,,,,
EQUITY,MELISRON LTD,,M5128G106,IL0003230146,6565310,485,485.87234,0.00000,41.744802,ILS,1.000000,,,,,,,
EQUITY,MENORAH MIVTACHIM HOLDINGS LTD,,M69333108,IL0005660183,6577876,839,839.48936,0.00000,11.536894,ILS,1.000000,,,,,,,
EQUITY,MIGDAL INSURANCE AND FINANCIAL HOL,,M70079120,IL0010811656,6509062,11587,11587.04255,0.00000,0.837070,ILS,1.000000,,,,,,,
EQUITY,MIZRAHI TEFAHOT BANK LTD,,M7031A135,IL0006954379,6916703,3532,3532.57446,0.00000,17.896453,ILS,1.000000,,,,,,,
