Fund Level
Fund Name,iShares MSCI Norway ETF
Fund Ticker,ENOR
Fund ISIN,US46429B4995
Fund Cusip,46429B499
Fund LEI,
Total NAV per share,24.668101,Jan 22 2019
Distribution per Share,,
Fund Size,34535341.40,Jan 22 2019
Shares Outstanding,1400000,Jan 22 2019
Baskets Outstanding,14.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,1928.92,Jan 23 2019
Projected Cash for Deliverable Basket,201841.28,Jan 23 2019
Confirmed Cash for Deliverable Basket,201863.87,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AKASTOR,,R0046B102,NO0010215684,B1VLVW7,4498,4498.42857,0.00000,1.502719,NOK,1.000000,,,,,,,
EQUITY,AKER,,R0114P108,NO0010234552,B02R4D9,439,439.85714,0.00000,68.157367,NOK,1.000000,,,,,,,
EQUITY,AKER BP,,R0139K100,NO0010345853,B1L95G3,1954,1954.92857,0.00000,32.124684,NOK,1.000000,,,,,,,
EQUITY,AKER SOLUTIONS,,R0138P118,NO0010716582,BQN1C50,3210,3210.00000,0.00000,5.385130,NOK,1.000000,,,,,,,
EQUITY,ATEA,,R0728G106,NO0004822503,B12TR11,1639,1639.28571,0.00000,13.305807,NOK,1.000000,,,,,,,
EQUITY,AUSTEVOLL SEAFOOD,,R0814U100,NO0010073489,B16MKT5,1807,1807.00000,0.00000,13.468640,NOK,1.000000,,,,,,,
EQUITY,AXACTOR,,R0815G100,NO0010840515,BJ11J18,2157,2157.07142,0.00000,2.423308,NOK,1.000000,,,,,,,
EQUITY,B2HOLDING,,R08138100,NO0010633951,BTC0J36,3338,3338.42857,0.00000,1.558547,NOK,1.000000,,,,,,,
EQUITY,BAKKAFROST,,K0840B107,FO0000000179,B6632T7,774,774.00000,0.00000,50.036347,NOK,1.000000,,,,,,,
EQUITY,BORR DRILLING LTD,,G1466R108,BMG1466R1088,BYX3649,7090,7090.78571,0.00000,2.582071,NOK,1.000000,,,,,,,
EQUITY,BORREGAARD,,R1R79W105,NO0010657505,B8B6WX9,2082,2082.50000,0.00000,8.758105,NOK,1.000000,,,,,,,
EQUITY,BW LPG LTD,,G17384101,BMG173841013,BGLPC98,1899,1899.28571,0.00000,3.167108,NOK,1.000000,,,,,,,
EQUITY,BW OFFSHORE LTD,,G1738J124,BMG1738J1247,BYYNFR4,1649,1649.35714,0.00000,4.611672,NOK,1.000000,,,,,,,
EQUITY,DNB,,R1640U124,NO0010031479,4263304,16007,16007.64285,0.00000,17.772092,NOK,1.000000,,,,,,,
EQUITY,DNOORD,,R6007G105,NO0003921009,B15GGN4,13294,13294.85714,0.00000,1.885959,NOK,1.000000,,,,,,,
