Fund Level
Fund Name,iShares MSCI Pacific ex Japan ETF
Fund Ticker,EPP
Fund ISIN,US4642866655
Fund Cusip,464286665
Fund LEI,
Total NAV per share,42.824898,Jan 22 2019
Distribution per Share,,
Fund Size,2094137512.20,Jan 22 2019
Shares Outstanding,48900000,Jan 22 2019
Baskets Outstanding,163.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),300000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,-4180.41,Jan 23 2019
Projected Cash for Deliverable Basket,833813.6,Jan 23 2019
Confirmed Cash for Deliverable Basket,833960.45,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AGL ENERGY LTD,,Q01630195,AU000000AGL7,BSS7GP5,5148,5148.60736,0.00000,14.911278,AUD,1.000000,,,,,,,
EQUITY,AIA GROUP LTD,,Y002A1105,HK0000069689,B4TX8S1,95000,95122.78527,0.00000,8.769246,HKD,1.000000,,,,,,,
EQUITY,ALUMINA LTD,,Q0269M109,AU000000AWC3,6954985,19196,19196.12269,0.00000,1.670292,AUD,1.000000,,,,,,,
EQUITY,AMCOR LTD,,Q03080100,AU000000AMC4,6066608,9119,9119.30061,0.00000,9.636298,AUD,1.000000,,,,,,,
EQUITY,AMP LTD,,Q0344G101,AU000000AMP6,6709958,22830,22830.30674,0.00000,1.877294,AUD,1.000000,,,,,,,
EQUITY,APA GROUP UNITS,,Q0437B100,AU000000APA1,6247306,9267,9267.71165,0.00000,6.374232,AUD,1.000000,,,,,,,
EQUITY,ARISTOCRAT LEISURE LTD,,Q0521T108,AU000000ALL7,6253983,4519,4519.12883,0.00000,17.588028,AUD,1.000000,,,,,,,
EQUITY,ASCENDAS REAL ESTATE INVESTMENT TR,,Y0205X103,SG1M77906915,6563875,21100,21117.94478,0.00000,1.992794,SGD,1.000000,,,,,,,
EQUITY,ASM PACIFIC TECHNOLOGY LTD,,G0535Q133,KYG0535Q1331,6002453,2300,2356.44171,0.00000,9.916386,HKD,1.000000,,,,,,,
EQUITY,ASX LTD,,Q0604U105,AU000000ASX7,6129222,1525,1525.69938,0.00000,45.683189,AUD,1.000000,,,,,,,
EQUITY,AUCKLAND INTERNATIONAL AIRPORT LTD,,Q06213146,NZAIAE0002S6,BKX3XG2,7620,7620.88343,0.00000,5.000390,NZD,1.000000,,,,,,,
EQUITY,AURIZON HOLDINGS LTD,,Q0695Q104,AU000000AZJ1,B87CVM3,15671,15671.52147,0.00000,3.140719,AUD,1.000000,,,,,,,
EQUITY,AUSNET SERVICES,,Q0708Q109,AU000000AST5,BPXR7J0,13958,13958.24539,0.00000,1.174201,AUD,1.000000,,,,,,,
EQUITY,AUSTRALIA AND NEW ZEALAND BANKING,,Q09504137,AU000000ANZ3,6065586,22634,22634.11042,0.00000,18.423173,AUD,1.000000,,,,,,,
