Fund Level
Fund Name,iShares Edge MSCI Min Vol Europe ETF
Fund Ticker,EUMV
Fund ISIN,US46434V7203
Fund Cusip,46434V720
Fund LEI,
Total NAV per share,23.509810,Jan 22 2019
Distribution per Share,,
Fund Size,23509810.00,Jan 22 2019
Shares Outstanding,1000000,Jan 22 2019
Baskets Outstanding,20.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,8590.8,Jan 23 2019
Projected Cash for Deliverable Basket,37595.03,Jan 23 2019
Confirmed Cash for Deliverable Basket,40875.51,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ADIDAS N AG,,D0066B185,DE000A1EWWW0,4031976,15,15.30000,0.00000,233.716767,EUR,1.000000,,,,,,,
EQUITY,ADMIRAL GROUP PLC,,G0110T106,GB00B02J6398,B02J639,241,241.35000,0.00000,27.434220,GBP,1.000000,,,,,,,
EQUITY,AENA SME SA,,E526K0106,ES0105046009,BVRZ8L1,10,10.85000,0.00000,166.997330,EUR,1.000000,,,,,,,
EQUITY,AEROPORTS DE PARIS SA,,F00882104,FR0010340141,B164FY1,53,53.20000,0.00000,188.745027,EUR,1.000000,,,,,,,
EQUITY,AGEAS NV,,B0148L138,BE0974264930,B86S2N0,73,73.55000,0.00000,46.141459,EUR,1.000000,,,,,,,
EQUITY,AIB GROUP,,G0R4HJ106,IE00BF0L3536,BF0L353,431,431.05000,0.00000,4.501717,EUR,1.000000,,,,,,,
EQUITY,AIR LIQUIDE SA,,F01764103,FR0000120073,B1YXBJ7,57,57.55000,0.00000,119.129683,EUR,1.000000,,,,,,,
EQUITY,AKZO NOBEL NV,,,NL0013267909,BJ2KSG2,39,39.70000,0.00000,85.809713,EUR,1.000000,,,,,,,
EQUITY,ALLIANZ,,D03080112,DE0008404005,5231485,25,25.55000,0.00000,208.187355,EUR,1.000000,,,,,,,
EQUITY,ANDRITZ AG,,A11123105,AT0000730007,B1WVF68,12,12.70000,0.00000,49.400774,EUR,1.000000,,,,,,,
EQUITY,ANHEUSER BUSCH INBEV NV,,B639CJ108,BE0974293251,BYYHL23,37,37.80000,0.00000,72.851946,EUR,1.000000,,,,,,,
EQUITY,ASSA ABLOY B,,W0817X204,SE0007100581,BYPC1T4,178,178.00000,0.00000,18.496470,SEK,1.000000,,,,,,,
EQUITY,ASSOCIATED BRITISH FOODS PLC,,G05600138,GB0006731235,0673123,17,17.85000,0.00000,30.920193,GBP,1.000000,,,,,,,
EQUITY,ASTRAZENECA PLC,,G0593M107,GB0009895292,0989529,218,218.75000,0.00000,72.000249,GBP,1.000000,,,,,,,
EQUITY,AXEL SPRINGER,,D76169115,DE0005501357,4647317,60,60.80000,0.00000,57.861367,EUR,1.000000,,,,,,,
EQUITY,BAE SYSTEMS PLC,,G06940103,GB0002634946,0263494,1334,1334.30000,0.00000,6.629829,GBP,1.000000,,,,,,,
EQUITY,BALOISE HOLDING AG,,H04530202,CH0012410517,7124594,57,57.75000,0.00000,154.470730,CHF,1.000000,,,,,,,
EQUITY,BARRY CALLEBAUT AG,,H05072105,CH0009002962,5476929,3,3.15000,0.00000,1590.817963,CHF,1.000000,,,,,,,
EQUITY,BEIERSDORF AG,,D08792109,DE0005200000,5107401,72,72.90000,0.00000,98.597132,EUR,1.000000,,,,,,,
EQUITY,BIC SA,,F10080103,FR0000120966,5298781,18,18.95000,0.00000,102.492411,EUR,1.000000,,,,,,,
EQUITY,BP PLC,,G12793108,GB0007980591,0798059,998,998.30000,0.00000,6.642788,GBP,1.000000,,,,,,,
EQUITY,BRITISH AMERICAN TOBACCO PLC,,G1510J102,GB0002875804,0287580,99,99.45000,0.00000,32.779811,GBP,1.000000,,,,,,,
EQUITY,BRITISH LAND REIT PLC,,G15540118,GB0001367019,0136701,189,189.35000,0.00000,7.218167,GBP,1.000000,,,,,,,
EQUITY,BT GROUP PLC,,G16612106,GB0030913577,3091357,1629,1629.80000,0.00000,3.084244,GBP,1.000000,,,,,,,
EQUITY,BUNZL,,G16968110,GB00B0744B38,B0744B3,43,43.35000,0.00000,31.231209,GBP,1.000000,,,,,,,
EQUITY,BURBERRY GROUP PLC,,G1700D105,GB0031743007,3174300,35,35.00000,0.00000,23.015198,GBP,1.000000,,,,,,,
EQUITY,CARLSBERG AS  CL B,,K36628137,DK0010181759,4169219,51,51.65000,0.00000,110.962404,DKK,1.000000,,,,,,,
EQUITY,CARNIVAL PLC,,G19081101,GB0031215220,3121522,42,42.05000,0.00000,53.870597,GBP,1.000000,,,,,,,
EQUITY,CENTRICA PLC,,G2018Z143,GB00B033F229,B033F22,1469,1469.50000,0.00000,1.737803,GBP,1.000000,,,,,,,
EQUITY,CHOCOLADEFABRIKEN LINDT & SPRUENGL,,H49983184,CH0010570767,5962280,1,1.45000,0.00000,6199.879711,CHF,1.000000,,,,,,,
EQUITY,CHOCOLADEFABRIKEN LINDT & SPRUENGL,,H49983176,CH0010570759,5962309,0,0.05000,0.00000,72373.696873,CHF,1.000000,,,,,,,
EQUITY,CHR HANSEN HOLDING,,K1830B107,DK0060227585,B573M11,47,47.10000,0.00000,93.594111,DKK,1.000000,,,,,,,
EQUITY,COCA COLA EUROPEAN PARTNERS PLC,,G25839104,GB00BDCPN049,BYQQ3P5,168,168.25000,0.00000,45.870000,USD,1.000000,,,,,,,
EQUITY,COLOPLAST B,,K16018192,DK0060448595,B8FMRX8,110,110.50000,0.00000,92.316584,DKK,1.000000,,,,,,,
EQUITY,COMPAGNIE FINANCIERE RICHEMONT SA,,H25662182,CH0210483332,BCRWZ18,7,7.80000,0.00000,69.165998,CHF,1.000000,,,,,,,
EQUITY,COMPASS GROUP PLC,,G23296208,GB00BD6K4575,BD6K457,807,807.65000,0.00000,21.090786,GBP,1.000000,,,,,,,
EQUITY,COVIVIO SA,,F3832Y172,FR0000064578,7745638,83,83.85000,0.00000,99.085461,EUR,1.000000,,,,,,,
EQUITY,CRODA INTERNATIONAL PLC,,G25536148,GB00BYZWX769,BYZWX76,20,20.20000,0.00000,62.293952,GBP,1.000000,,,,,,,
EQUITY,DANONE SA,,F12033134,FR0000120644,B1Y9TB3,111,111.80000,0.00000,71.330175,EUR,1.000000,,,,,,,
EQUITY,DASSAULT AVIATION SA,,F24539102,FR0000121725,4067164,1,1.80000,0.00000,1454.767629,EUR,1.000000,,,,,,,
EQUITY,DASSAULT SYSTEMES,,F2457H472,FR0000130650,5330047,28,28.80000,0.00000,125.148628,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE BOERSE AG,,D1882G119,DE0005810055,7021963,14,14.80000,0.00000,128.612361,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE TELEKOM N AG,,D2035M136,DE0005557508,5842359,1012,1012.80000,0.00000,16.512351,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE WOHNEN,,D2046U176,DE000A0HN5C6,B0YZ0Z5,30,30.90000,0.00000,47.969855,EUR,1.000000,,,,,,,
EQUITY,DIAGEO PLC,,G42089113,GB0002374006,0237400,486,486.80000,0.00000,35.676149,GBP,1.000000,,,,,,,
EQUITY,DIRECT LINE INSURANCE PLC,,G2871V114,GB00BY9D0Y18,BY9D0Y1,1934,1934.25000,0.00000,4.282952,GBP,1.000000,,,,,,,
EQUITY,DNB,,R1640U124,NO0010031479,4263304,35,35.65000,0.00000,17.772092,NOK,1.000000,,,,,,,
EQUITY,DSV,,K3013J154,DK0060079531,B1WT5G2,126,126.75000,0.00000,78.567952,DKK,1.000000,,,,,,,
EQUITY,EASYJET PLC,,G3030S109,GB00B7KR2P84,B7KR2P8,42,42.40000,0.00000,15.997895,GBP,1.000000,,,,,,,
EQUITY,ELISA,,X1949T102,FI0009007884,5701513,303,303.25000,0.00000,44.949026,EUR,1.000000,,,,,,,
EQUITY,ENDESA SA,,E41222113,ES0130670112,5271782,375,375.90000,0.00000,24.087136,EUR,1.000000,,,,,,,
EQUITY,EQUINOR,,R2R90P103,NO0010096985,7133608,469,469.10000,0.00000,22.156960,NOK,1.000000,,,,,,,
EQUITY,ERICSSON B,,W26049119,SE0000108656,5959378,101,101.90000,0.00000,8.464073,SEK,1.000000,,,,,,,
EQUITY,ERSTE GROUP BANK AG,,A19494102,AT0000652011,5289837,58,58.55000,0.00000,33.490318,EUR,1.000000,,,,,,,
EQUITY,ESSILORLUXOTTICA SA,,F31665106,FR0000121667,7212477,128,128.50000,0.00000,127.306363,EUR,1.000000,,,,,,,
EQUITY,ESSITY CLASS B,,W3R06F100,SE0009922164,BF1K7P7,26,26.60000,0.00000,24.787484,SEK,1.000000,,,,,,,
EQUITY,ETABLISSEMENTEN FRANZ COLRUYT NV,,B26882231,BE0974256852,5806225,161,161.45000,0.00000,70.455725,EUR,1.000000,,,,,,,
EQUITY,EUTELSAT COMMUNICATIONS SA,,F3692M128,FR0010221234,B0M7KJ7,40,40.45000,0.00000,20.844855,EUR,1.000000,,,,,,,
EQUITY,EXPERIAN PLC,,G32655105,GB00B19NLV48,B19NLV4,198,198.10000,0.00000,25.205271,GBP,1.000000,,,,,,,
EQUITY,FORTUM,,X2978Z118,FI0009007132,5579550,220,220.60000,0.00000,22.343913,EUR,1.000000,,,,,,,
EQUITY,FRAPORT FRANKFURT AIRPORT SERVICES,,D3856U108,DE0005773303,7107551,58,58.65000,0.00000,74.725769,EUR,1.000000,,,,,,,
EQUITY,FRESENIUS MEDICAL CARE AG,,D2734Z107,DE0005785802,5129074,98,98.20000,0.00000,70.137743,EUR,1.000000,,,,,,,
EQUITY,FRESENIUS SE AND CO KGAA,,D27348263,DE0005785604,4352097,9,9.85000,0.00000,48.764810,EUR,1.000000,,,,,,,
EQUITY,GEBERIT AG,,H2942E124,CH0030170408,B1WGG93,5,5.50000,0.00000,388.231756,CHF,1.000000,,,,,,,
EQUITY,GECINA REIT SA,,F4268U171,FR0010040865,7742468,35,35.30000,0.00000,135.823738,EUR,1.000000,,,,,,,
EQUITY,GETLINK,,F477AL114,FR0010533075,B292JQ9,430,430.35000,0.00000,14.082060,EUR,1.000000,,,,,,,
EQUITY,GIVAUDAN SA,,H3238Q102,CH0010645932,5980613,5,5.90000,0.00000,2470.930233,CHF,1.000000,,,,,,,
EQUITY,GJENSIDIGE FORSIKRING,,R2763X101,NO0010582521,B4PH0C5,458,458.95000,0.00000,16.562473,NOK,1.000000,,,,,,,
EQUITY,GLAXOSMITHKLINE PLC,,G3910J112,GB0009252882,0925288,864,864.05000,0.00000,19.319289,GBP,1.000000,,,,,,,
EQUITY,GROUPE BRUXELLES LAMBERT NV,,B4746J115,BE0003797140,7097328,174,174.40000,0.00000,92.328344,EUR,1.000000,,,,,,,
EQUITY,H LUNDBECK,,K4406L129,DK0010287234,7085259,51,51.05000,0.00000,44.728677,DKK,1.000000,,,,,,,
EQUITY,HANNOVER RUECK,,D3015J135,DE0008402215,4511809,61,61.85000,0.00000,143.205463,EUR,1.000000,,,,,,,
EQUITY,HEINEKEN HOLDING NV,,N39338194,NL0000008977,B0CCH46,85,85.35000,0.00000,83.981316,EUR,1.000000,,,,,,,
EQUITY,HEINEKEN NV,,N39427211,NL0000009165,7792559,127,127.40000,0.00000,86.309399,EUR,1.000000,,,,,,,
EQUITY,HENKEL AG,,D3207M102,DE0006048408,5002465,69,69.90000,0.00000,90.681651,EUR,1.000000,,,,,,,
EQUITY,HENNES & MAURITZ,,W41422101,SE0000106270,5687431,245,245.15000,0.00000,14.936730,SEK,1.000000,,,,,,,
EQUITY,HERMES INTERNATIONAL,,F48051100,FR0000052292,5253973,27,27.05000,0.00000,566.462212,EUR,1.000000,,,,,,,
EQUITY,HEXAGON B,,W40063104,SE0000103699,B1XFTL2,12,12.95000,0.00000,48.899349,SEK,1.000000,,,,,,,
EQUITY,HSBC HOLDINGS PLC,,G4634U169,GB0005405286,0540528,1562,1562.15000,0.00000,8.310612,GBP,1.000000,,,,,,,
EQUITY,IBERDROLA RIGHTS SA,,,ES06445809H0,BJ0VVY6,0,0.00000,1286.10000,0.178297,EUR,1.000000,,,,,,,
EQUITY,IBERDROLA SA,,E6165F166,ES0144580Y14,B288C92,1286,1286.10000,0.00000,8.004061,EUR,1.000000,,,,,,,
EQUITY,ICA GRUPPEN,,W4241E105,SE0000652216,B0S1651,133,133.75000,0.00000,35.364807,SEK,1.000000,,,,,,,
EQUITY,IMPERIAL BRANDS PLC,,G4720C107,GB0004544929,0454492,90,90.10000,0.00000,31.995791,GBP,1.000000,,,,,,,
