Fund Level
Fund Name,iShares MSCI Canada ETF
Fund Ticker,EWC
Fund ISIN,US4642865095
Fund Cusip,464286509
Fund LEI,
Total NAV per share,26.198523,Jan 22 2019
Distribution per Share,,
Fund Size,2517678060.30,Jan 22 2019
Shares Outstanding,96100000,Jan 22 2019
Baskets Outstanding,961.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,2167.32,Jan 23 2019
Projected Cash for Deliverable Basket,14595.52,Jan 23 2019
Confirmed Cash for Deliverable Basket,33166.07,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AGNICO EAGLE MINES LTD,,008474108,CA0084741085,2009823,472,472.72112,0.00000,39.365651,CAD,1.000000,,,,,,,
EQUITY,ALIMENTATION COUCHE TARD SUB VOTIN,,01626P403,CA01626P4033,2011646,872,872.73361,0.00000,53.214861,CAD,1.000000,,,,,,,
EQUITY,ALTAGAS LTD,,021361100,CA0213611001,B43WJC5,552,552.86784,0.00000,10.475012,CAD,1.000000,,,,,,,
EQUITY,ARC RESOURCES LTD,,00208D408,CA00208D4084,B6463M8,750,739.80437,0.00000,7.295767,CAD,1.000000,,,,,,,
EQUITY,ATCO LTD CLASS I,,046789400,CA0467894006,2060615,156,156.37981,0.00000,30.135343,CAD,1.000000,,,,,,,
EQUITY,AURORA CANNABIS INC,,05156X108,CA05156X1087,BTGWJY9,621,621.41831,0.00000,6.208525,CAD,1.000000,,,,,,,
EQUITY,BANK OF MONTREAL,,063671101,CA0636711016,2076009,1298,1298.85015,0.00000,72.507779,CAD,1.000000,,,,,,,
EQUITY,BANK OF NOVA SCOTIA,,064149107,CA0641491075,2076281,2383,2383.37044,0.00000,55.336857,CAD,1.000000,,,,,,,
EQUITY,BARRICK GOLD CORP,,067901108,CA0679011084,2024644,3521,3521.58064,0.00000,11.802197,CAD,1.000000,,,,,,,
EQUITY,BAUSCH HEALTH COMPANIES INC,,071734107,CA0717341071,BFFY852,636,636.49739,0.00000,22.959547,CAD,1.000000,,,,,,,
EQUITY,BCE INC,,05534B760,CA05534B7604,B188TH2,316,313.48491,0.00000,41.810070,CAD,1.000000,,,,,,,
EQUITY,BLACKBERRY LTD,,09228F103,CA09228F1036,BCBHZ31,1047,1047.98231,0.00000,7.625689,CAD,1.000000,,,,,,,
EQUITY,BOMBARDIER INC CLASS B,,097751200,CA0977512007,2109723,4313,4313.44745,0.00000,1.544633,CAD,1.000000,,,,,,,
EQUITY,BROOKFIELD ASSET MANAGEMENT INC CL,,112585104,CA1125851040,2092599,1691,1691.81581,0.00000,41.570127,CAD,1.000000,,,,,,,
EQUITY,CAE INC,,124765108,CA1247651088,2162760,549,545.32154,0.00000,20.275185,CAD,1.000000,,,,,,,
EQUITY,CAMECO CORP,,13321L108,CA13321L1085,2166160,818,811.43600,0.00000,11.592247,CAD,1.000000,,,,,,,
EQUITY,CANADIAN IMPERIAL BANK OF COMMERCE,,136069101,CA1360691010,2170525,884,884.84703,0.00000,82.285457,CAD,1.000000,,,,,,,
EQUITY,CANADIAN NATIONAL RAILWAY,,136375102,CA1363751027,2180632,1440,1439.24245,0.00000,81.138230,CAD,1.000000,,,,,,,
EQUITY,CANADIAN NATURAL RESOURCES LTD,,136385101,CA1363851017,2171573,2463,2460.95837,0.00000,25.748885,CAD,1.000000,,,,,,,
EQUITY,CANADIAN PACIFIC RAILWAY LTD,,13645T100,CA13645T1003,2793115,291,290.65660,0.00000,196.183406,CAD,1.000000,,,,,,,
EQUITY,CANADIAN TIRE LTD CLASS A,,136681202,CA1366812024,2172286,127,126.93028,0.00000,110.733701,CAD,1.000000,,,,,,,
EQUITY,CANADIAN UTILITIES LTD CLASS A,,136717832,CA1367178326,2172639,267,263.03225,0.00000,25.021557,CAD,1.000000,,,,,,,
EQUITY,CANOPY GROWTH CORP,,138035100,CA1380351009,BYTN3W0,254,254.73048,0.00000,43.677127,CAD,1.000000,,,,,,,
EQUITY,CCL INDUSTRIES INC CLASS B,,124900309,CA1249003098,2159795,300,300.64412,0.00000,40.887789,CAD,1.000000,,,,,,,
EQUITY,CENOVUS ENERGY INC,,15135U109,CA15135U1093,B57FG04,2129,2119.59729,0.00000,7.760657,CAD,1.000000,,,,,,,
EQUITY,CGI GROUP CLASS A,,39945C109,CA39945C1095,2159740,518,516.91987,0.00000,64.469688,CAD,1.000000,,,,,,,
EQUITY,CI FINANCIAL CORP,,125491100,CA1254911003,B3KT0S5,558,558.91779,0.00000,13.331834,CAD,1.000000,,,,,,,
EQUITY,CONSTELLATION SOFTWARE INC,,21037X100,CA21037X1006,B15C4L6,40,40.75442,0.00000,695.827241,CAD,1.000000,,,,,,,
EQUITY,DOLLARAMA INC,,25675T107,CA25675T1075,B4TP9G2,631,631.89698,0.00000,26.378735,CAD,1.000000,,,,,,,
EQUITY,EMERA INC,,290876101,CA2908761018,2650050,123,121.58688,0.00000,33.644509,CAD,1.000000,,,,,,,
EQUITY,EMPIRE LTD CLASS A,,291843407,CA2918434077,2314000,356,356.54942,0.00000,22.644622,CAD,1.000000,,,,,,,
EQUITY,ENBRIDGE INC,,29250N105,CA29250N1050,2466149,3476,3564.56711,0.00000,35.699021,CAD,1.000000,,,,,,,
EQUITY,ENCANA,,292505104,CA2925051047,2793193,1996,1985.06451,0.00000,6.770892,CAD,1.000000,,,,,,,
EQUITY,FAIRFAX FINANCIAL HOLDINGS SUB VOT,,303901102,CA3039011026,2566351,56,56.23621,0.00000,464.514678,CAD,1.000000,,,,,,,
EQUITY,FINNING INTERNATIONAL INC,,318071404,CA3180714048,2339177,345,345.23204,0.00000,18.633075,CAD,1.000000,,,,,,,
EQUITY,FIRST CAPITAL REALTY INC,,31943B100,CA31943B1004,2185596,349,349.28720,0.00000,15.183894,CAD,1.000000,,,,,,,
EQUITY,FIRST QUANTUM MINERALS LTD,,335934105,CA3359341052,2347608,1412,1404.15920,0.00000,9.455254,CAD,1.000000,,,,,,,
EQUITY,FORTIS INC,,349553107,CA3495531079,2347200,858,854.59833,0.00000,34.754246,CAD,1.000000,,,,,,,
EQUITY,FRANCO NEVADA CORP,,351858105,CA3518581051,B29NF31,376,376.74505,0.00000,70.033367,CAD,1.000000,,,,,,,
EQUITY,GEORGE WESTON LTD,,961148509,CA9611485090,2956662,155,155.69198,0.00000,70.670716,CAD,1.000000,,,,,,,
EQUITY,GILDAN ACTIVEWEAR INC,,375916103,CA3759161035,2254645,444,444.91050,0.00000,32.729727,CAD,1.000000,,,,,,,
EQUITY,GOLDCORP INC,,380956409,CA3809564097,2676302,1758,1758.26430,0.00000,10.482510,CAD,1.000000,,,,,,,
EQUITY,GREAT WEST LIFECO INC,,39138C106,CA39138C1068,2384951,602,602.00000,0.00000,21.887302,CAD,1.000000,,,,,,,
EQUITY,HANDR REAL ESTATE INVESTMENT TRUST,,403925407,CA4039254079,BGM8DW6,294,294.67117,0.00000,16.301128,CAD,1.000000,,,,,,,
EQUITY,HUSKY ENERGY INC,,448055103,CA4480551031,2623836,738,729.75130,0.00000,12.282083,CAD,1.000000,,,,,,,
EQUITY,HYDRO ONE LTD,,448811208,CA4488112083,BYYXJY9,667,667.36316,0.00000,15.288869,CAD,1.000000,,,,,,,
EQUITY,IA FINANCIAL INC,,45075E104,CA45075E1043,BJ2ZH37,218,218.82310,0.00000,36.351367,CAD,1.000000,,,,,,,
EQUITY,IGM FINANCIAL INC,,449586106,CA4495861060,2469375,175,172.74817,0.00000,24.579162,CAD,1.000000,,,,,,,
EQUITY,IMPERIAL OIL LTD,,453038408,CA4530384086,2454241,604,598.07284,0.00000,27.413489,CAD,1.000000,,,,,,,
