Fund Level
Fund Name,iShares MSCI Germany Small-Cap ETF
Fund Ticker,EWGS
Fund ISIN,US46429B4656
Fund Cusip,46429B465
Fund LEI,
Total NAV per share,51.632776,Jan 22 2019
Distribution per Share,,
Fund Size,41306220.80,Jan 22 2019
Shares Outstanding,800000,Jan 22 2019
Baskets Outstanding,16.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,4128.76,Jan 23 2019
Projected Cash for Deliverable Basket,6930.76,Jan 23 2019
Confirmed Cash for Deliverable Basket,6912.91,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AAREAL BANK AG,,D00379111,DE0005408116,7380062,1140,1140.31250,0.00000,32.581798,EUR,1.000000,,,,,,,
EQUITY,ADLER REAL ESTATE AG,,D0190J112,DE0005008007,7100099,694,694.68750,0.00000,15.944526,EUR,1.000000,,,,,,,
EQUITY,ADO PROPERTIES,,L0120V103,LU1250154413,BYNXBZ5,574,574.75000,0.00000,56.952847,EUR,1.000000,,,,,,,
EQUITY,ADVA OPTICAL NETWORKING,,D0190E105,DE0005103006,5653487,843,843.50000,0.00000,7.994976,EUR,1.000000,,,,,,,
EQUITY,AIXTRON,,D0257Y135,DE000A0WMPJ6,5468346,2264,2264.12500,0.00000,9.373655,EUR,1.000000,,,,,,,
EQUITY,ALSTRIA OFFICE REIT AG,,D0378R100,DE000A0LD2U1,B1VP947,3025,3025.06250,0.00000,14.479537,EUR,1.000000,,,,,,,
EQUITY,AMADEUS FIRE AG,,D0349N105,DE0005093108,5623662,104,104.37500,0.00000,101.867804,EUR,1.000000,,,,,,,
EQUITY,AUMANN AG,,D0R9AW106,DE000A2DAM03,BYW82K3,153,153.93750,0.00000,39.463837,EUR,1.000000,,,,,,,
EQUITY,AURELIUS,,D0R9AT103,DE000A0JK2A8,B17NLM7,462,462.75000,0.00000,39.793175,EUR,1.000000,,,,,,,
EQUITY,AURUBIS AG,,D10004105,DE0006766504,5485527,766,766.18750,0.00000,51.899204,EUR,1.000000,,,,,,,
EQUITY,BASLER AG,,D0629N106,DE0005102008,5644588,24,24.31250,0.00000,162.852208,EUR,1.000000,,,,,,,
EQUITY,BAYWA AG,,D08232114,DE0005194062,5838057,289,289.31250,0.00000,27.596295,EUR,1.000000,,,,,,,
EQUITY,BECHTLE AG,,D0873U103,DE0005158703,5932409,589,589.50000,0.00000,79.041239,EUR,1.000000,,,,,,,
EQUITY,BERTRANDT AG,,D1014N107,DE0005232805,5130861,111,111.25000,0.00000,86.706876,EUR,1.000000,,,,,,,
EQUITY,BET-AT-HOME.COM AG,,D1020B105,DE000A0DNAY5,B05GS53,56,56.37500,0.00000,69.104302,EUR,1.000000,,,,,,,
EQUITY,BILFINGER,,D11648108,DE0005909006,5117381,620,620.56250,0.00000,32.661294,EUR,1.000000,,,,,,,
EQUITY,BIOTEST PREF AG,,D11760101,DE0005227235,5119893,397,397.31250,0.00000,25.381777,EUR,1.000000,,,,,,,
EQUITY,BORUSSIA DORTMUND,,D9343K108,DE0005493092,4627193,1199,1199.12500,0.00000,10.198137,EUR,1.000000,,,,,,,
EQUITY,CANCOM,,D8238N102,DE0005419105,5772627,667,667.50000,0.00000,36.817772,EUR,1.000000,,,,,,,
EQUITY,CARL ZEISS MEDITEC AG,,D14895102,DE0005313704,5922961,806,806.87500,0.00000,89.432436,EUR,1.000000,,,,,,,
EQUITY,CECONOMY AG,,D1497L107,DE0007257503,5041413,3577,3577.43750,0.00000,4.279129,EUR,1.000000,,,,,,,
EQUITY,CEWE STIFTUNG,,D1499B107,DE0005403901,5740806,103,103.37500,0.00000,78.700544,EUR,1.000000,,,,,,,
EQUITY,COMDIRECT BANK AG,,D1548W102,DE0005428007,5975266,563,563.56250,0.00000,11.254291,EUR,1.000000,,,,,,,
EQUITY,COMPUGROUP MEDICAL,,D15813211,DE0005437305,5094536,480,480.25000,0.00000,49.537052,EUR,1.000000,,,,,,,
EQUITY,CONSUS REAL ESTATE AG,,D1S9TZ106,DE000A2DA414,BDD94V3,693,693.93750,0.00000,8.630940,EUR,1.000000,,,,,,,
EQUITY,CORESTATE CAPITAL HOLDING SA,,L1994V104,LU1296758029,BZ168H4,256,256.62500,0.00000,34.012717,EUR,1.000000,,,,,,,
EQUITY,CTS EVENTIM AG,,D1648T108,DE0005470306,5881857,1154,1154.87500,0.00000,41.950910,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE BETEILIGUNGS AG,,D18150181,DE000A1TNUT7,BBNBQJ7,256,256.81250,0.00000,38.441752,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE EUROSHOP AG,,D1854M102,DE0007480204,4754972,991,991.75000,0.00000,29.413335,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE PFANDBRIEFBANK AG,,D1R83Y100,DE0008019001,BYM6917,2696,2696.43750,0.00000,10.868170,EUR,1.000000,,,,,,,
EQUITY,DEUTZ AG,,D39176108,DE0006305006,4557847,2422,2422.37500,0.00000,6.439135,EUR,1.000000,,,,,,,
EQUITY,DIALOG SEMICON PLC,,G5821P111,GB0059822006,5982200,1531,1531.31250,0.00000,26.119950,EUR,1.000000,,,,,,,
EQUITY,DIC ASSET AG,,D2837E191,DE000A1X3XX4,BD1NML3,984,984.87500,0.00000,10.697823,EUR,1.000000,,,,,,,
EQUITY,DMG MORI AG,,D2251X105,DE0005878003,5753398,395,395.18750,0.00000,49.627904,EUR,1.000000,,,,,,,
EQUITY,DRAEGERWERK AG SHS,,D22938100,DE0005550602,B3P3LW3,60,60.75000,0.00000,46.731997,EUR,1.000000,,,,,,,
EQUITY,DRAEGERWERK PREF AG,,D22938118,DE0005550636,5169218,152,152.81250,0.00000,52.671446,EUR,1.000000,,,,,,,
EQUITY,DUERR AG,,D23279108,DE0005565204,5119901,1040,1040.62500,0.00000,39.236707,EUR,1.000000,,,,,,,
EQUITY,DWS GROUP & GMBH CO KGAA,,D23390103,DE000DWS1007,BFMHVQ6,802,802.12500,0.00000,26.506071,EUR,1.000000,,,,,,,
EQUITY,EDAG ENGINEERING GROUP AG,,H00549107,CH0303692047,BYM8DF5,173,173.25000,0.00000,18.488382,EUR,1.000000,,,,,,,
EQUITY,ELMOS SEMICONDUCTOR AG,,D2462G107,DE0005677108,5695423,220,220.12500,0.00000,26.914905,EUR,1.000000,,,,,,,
EQUITY,ELRINGKLINGER AG,,D2462K108,DE0007856023,5138638,630,630.50000,0.00000,8.517375,EUR,1.000000,,,,,,,
