Fund Level
Fund Name,iShares MSCI Hong Kong ETF
Fund Ticker,EWH
Fund ISIN,US4642868719
Fund Cusip,464286871
Fund LEI,
Total NAV per share,23.799477,Jan 22 2019
Distribution per Share,,
Fund Size,2454321065.62,Jan 22 2019
Shares Outstanding,103125000,Jan 22 2019
Baskets Outstanding,1375.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),75000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,165.82,Jan 23 2019
Projected Cash for Deliverable Basket,190596.98,Jan 23 2019
Confirmed Cash for Deliverable Basket,190620.96,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AIA GROUP LTD,,Y002A1105,HK0000069689,B4TX8S1,42000,42088.72727,0.00000,8.769246,HKD,1.000000,,,,,,,
EQUITY,ASM PACIFIC TECHNOLOGY LTD,,G0535Q133,KYG0535Q1331,6002453,1000,1056.72727,0.00000,9.916386,HKD,1.000000,,,,,,,
EQUITY,BANK OF EAST ASIA LTD,,Y06942109,HK0023000190,6075648,4400,4402.77090,0.00000,3.307586,HKD,1.000000,,,,,,,
EQUITY,BEIGENE ADR REPRESENTING LTD,,07725L102,US07725L1026,BYYWPW6,113,113.69527,0.00000,136.290000,USD,1.000000,,,,,,,
EQUITY,BOC HONG KONG HOLDINGS LTD,,Y0920U103,HK2388011192,6536112,12500,12894.54545,0.00000,3.830172,HKD,1.000000,,,,,,,
EQUITY,CHEUNG KONG INFRASTRUCTURE HOLDING,,G2178K100,BMG2178K1009,BYVS6J1,2000,2307.27272,0.00000,7.902519,HKD,1.000000,,,,,,,
EQUITY,CK ASSET HOLDINGS LTD,,G2177B101,KYG2177B1014,BYZQ077,9000,9020.55781,0.00000,8.074590,HKD,1.000000,,,,,,,
EQUITY,CK HUTCHISON HOLDINGS LTD,,G21765105,KYG217651051,BW9P816,9000,9408.55781,0.00000,9.967370,HKD,1.000000,,,,,,,
EQUITY,CLP HOLDINGS LTD,,Y1660Q104,HK0002007356,6097017,5500,5721.96363,0.00000,11.586112,HKD,1.000000,,,,,,,
EQUITY,DAIRY FARM INTERNATIONAL HOLDINGS,,G2624N153,BMG2624N1535,6180274,1100,1178.03636,0.00000,9.430000,USD,1.000000,,,,,,,
EQUITY,GALAXY ENTERTAINMENT GROUP LTD,,Y2679D118,HK0027032686,6465874,8000,8278.54545,0.00000,6.296523,HKD,1.000000,,,,,,,
EQUITY,HANG LUNG GROUP LTD,,Y30148111,HK0010000088,6408352,3000,3084.36363,0.00000,2.695779,HKD,1.000000,,,,,,,
EQUITY,HANG LUNG PROPERTIES LTD,,Y30166105,HK0101000591,6030506,7000,7053.81818,0.00000,2.029163,HKD,1.000000,,,,,,,
EQUITY,HANG SENG BANK LTD,,Y30327103,HK0011000095,6408374,2600,2664.87272,0.00000,22.509432,HKD,1.000000,,,,,,,
EQUITY,HENDERSON LAND DEVELOPMENT LTD,,Y31476107,HK0012000102,6420538,4000,4597.19854,0.00000,5.448914,HKD,1.000000,,,,,,,
EQUITY,HK ELECTRIC INVESTMENTS UNITS LTD,,Y32359104,HK0000179108,BJ3WDZ1,9000,9237.45454,0.00000,1.032426,HKD,1.000000,,,,,,,
EQUITY,HKT TRUST AND HKT UNITS LTD,,Y3R29Z107,HK0000093390,B4TXDZ3,13000,13193.81818,0.00000,1.501479,HKD,1.000000,,,,,,,
EQUITY,HONG KONG AND CHINA GAS LTD,,Y33370100,HK0003000038,6436557,32000,32174.67781,0.00000,2.141328,HKD,1.000000,,,,,,,
EQUITY,HONG KONG EXCHANGES AND CLEARING L,,Y3506N139,HK0388045442,6267359,0,4125.01818,0.00000,30.717855,HKD,1.000000,,,,,,,
EQUITY,HONGKONG LAND HOLDINGS LTD,,G4587L109,BMG4587L1090,6434915,4000,4078.10909,0.00000,6.930000,USD,1.000000,,,,,,,
EQUITY,HYSAN DEVELOPMENT LTD,,Y38203124,HK0014000126,6449629,2000,2186.90909,0.00000,4.919955,HKD,1.000000,,,,,,,
EQUITY,JARDINE MATHESON HOLDINGS LTD,,G50736100,BMG507361001,6472119,700,769.38181,0.00000,66.850000,USD,1.000000,,,,,,,
EQUITY,JARDINE STRATEGIC HOLDINGS LTD,,G50764102,BMG507641022,6472960,700,771.70909,0.00000,37.100000,USD,1.000000,,,,,,,
EQUITY,KERRY PROPERTIES LTD,,G52440107,BMG524401079,6486314,2000,2293.81818,0.00000,3.683593,HKD,1.000000,,,,,,,
EQUITY,LINK REAL ESTATE INVESTMENT TRUST,,Y5281M111,HK0823032773,B0PB4M7,7000,7369.09090,0.00000,10.209544,HKD,1.000000,,,,,,,
EQUITY,MELCO RESORTS ENTERTAINMENT ADR LT,,585464100,US5854641009,B1KYHF2,861,861.45018,0.00000,20.950000,USD,1.000000,,,,,,,
EQUITY,MGM CHINA HOLDINGS LTD,,G60744102,KYG607441022,B4P8HQ1,3200,3310.17309,0.00000,1.738554,HKD,1.000000,,,,,,,
EQUITY,MINTH GROUP LTD,,G6145U109,KYG6145U1094,B0RJCG9,2000,2590.54545,0.00000,3.377689,HKD,1.000000,,,,,,,
EQUITY,MTR CORPORATION CORP LTD,,Y6146T101,HK0066009694,6290054,5000,5316.06036,0.00000,5.397930,HKD,1.000000,,,,,,,
EQUITY,NEW WORLD DEVELOPMENT LTD,,Y63084126,HK0017000149,6633767,21000,21338.95709,0.00000,1.478536,HKD,1.000000,,,,,,,
EQUITY,NWS HOLDINGS LTD,,G66897110,BMG668971101,6568353,5000,5429.09090,0.00000,2.194861,HKD,1.000000,,,,,,,
EQUITY,PCCW LTD,,Y6802P120,HK0008011667,6574071,14000,14792.12290,0.00000,0.599062,HKD,1.000000,,,,,,,
