Fund Level
Fund Name,iShares MSCI Japan ETF
Fund Ticker,EWJ
Fund ISIN,US46434G8226
Fund Cusip,46434G822
Fund LEI,
Total NAV per share,53.581629,Jan 22 2019
Distribution per Share,,
Fund Size,15632440260.80,Jan 22 2019
Shares Outstanding,291750000,Jan 22 2019
Baskets Outstanding,1945.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),150000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,-5028.32,Jan 23 2019
Projected Cash for Deliverable Basket,521100.39,Jan 23 2019
Confirmed Cash for Deliverable Basket,530966.7,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ABC MART INC,,J00056101,JP3152740001,6292102,100,100.00000,0.00000,56.377924,JPY,1.000000,,,,,,,
EQUITY,ACOM LTD,,J00105106,JP3108600002,6049784,900,901.64524,0.00000,3.508772,JPY,1.000000,,,,,,,
EQUITY,AEON FINANCIAL SERVICES LTD,,J0021H107,JP3131400008,6037734,300,301.37275,0.00000,19.499269,JPY,1.000000,,,,,,,
EQUITY,AEON LTD,,J00288100,JP3388200002,6480048,1400,1400.00000,0.00000,20.134320,JPY,1.000000,,,,,,,
EQUITY,AEON MALL LTD,,J10005106,JP3131430005,6534202,200,278.97172,0.00000,16.091009,JPY,1.000000,,,,,,,
EQUITY,AGC INC,,J0025W100,JP3112000009,6055208,400,479.28020,0.00000,32.711988,JPY,1.000000,,,,,,,
EQUITY,AIR WATER INC,,J00662114,JP3160670000,6441465,300,394.85861,0.00000,16.301170,JPY,1.000000,,,,,,,
EQUITY,AISIN SEIKI LTD,,J00714105,JP3102000001,6010702,400,402.98200,0.00000,39.427997,JPY,1.000000,,,,,,,
EQUITY,AJINOMOTO INC,,J00882126,JP3119600009,6010906,1100,1100.00000,0.00000,17.479898,JPY,1.000000,,,,,,,
EQUITY,ALFRESA HOLDINGS CORP,,J0109X107,JP3126340003,6687214,400,487.35218,0.00000,28.143275,JPY,1.000000,,,,,,,
EQUITY,ALPS ALPINE LTD,,J01176114,JP3126400005,6021500,500,540.15424,0.00000,19.819079,JPY,1.000000,,,,,,,
EQUITY,AMADA HOLDINGS LTD,,J01218106,JP3122800000,6022105,800,802.72493,0.00000,9.795322,JPY,1.000000,,,,,,,
EQUITY,ANA HOLDINGS INC,,J0156Q112,JP3429800000,6014908,300,300.00000,0.00000,36.504020,JPY,1.000000,,,,,,,
EQUITY,AOZORA BANK LTD,,J0172K115,JP3711200000,B1G1854,300,301.33676,0.00000,30.747442,JPY,1.000000,,,,,,,
EQUITY,ASAHI GROUP HOLDINGS LTD,,J02100113,JP3116000005,6054409,900,900.00000,0.00000,40.625000,JPY,1.000000,,,,,,,
EQUITY,ASAHI INTECC LTD,,J0279C107,JP3110650003,B019MQ5,200,231.10539,0.00000,43.402778,JPY,1.000000,,,,,,,
EQUITY,ASAHI KASEI CORP,,J0242P110,JP3111200006,6054603,3000,3061.13110,0.00000,10.508041,JPY,1.000000,,,,,,,
EQUITY,ASICS CORP,,J03234150,JP3118000003,6057378,400,400.61696,0.00000,14.290936,JPY,1.000000,,,,,,,
