Fund Level
Fund Name,iShares MSCI Belgium ETF
Fund Ticker,EWK
Fund ISIN,US4642863017
Fund Cusip,464286301
Fund LEI,
Total NAV per share,17.219281,Jan 22 2019
Distribution per Share,,
Fund Size,44081359.36,Jan 22 2019
Shares Outstanding,2560000,Jan 22 2019
Baskets Outstanding,32.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),80000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,4380.27,Jan 23 2019
Projected Cash for Deliverable Basket,5588.25,Jan 23 2019
Confirmed Cash for Deliverable Basket,5597.38,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AANNEMINGSMAATSCHAPPIJ CFE NV,,B27818135,BE0003883031,4318260,112,112.62500,0.00000,104.139103,EUR,1.000000,,,,,,,
EQUITY,ACKERMANS & VAN HAAREN NV,,B01165156,BE0003764785,5715774,222,222.34375,0.00000,158.309608,EUR,1.000000,,,,,,,
EQUITY,AEDIFICA REIT SA,,B0130A108,BE0003851681,B1G5XP1,210,210.09375,0.00000,87.672179,EUR,1.000000,,,,,,,
EQUITY,AGEAS NV,,B0148L138,BE0974264930,B86S2N0,1273,1273.46875,0.00000,46.141459,EUR,1.000000,,,,,,,
EQUITY,AGFA-GEVAERT NV,,B0302M104,BE0003755692,5689051,2596,2596.21875,0.00000,3.852125,EUR,1.000000,,,,,,,
EQUITY,ANHEUSER BUSCH INBEV NV,,B639CJ108,BE0974293251,BYYHL23,4109,4109.62500,0.00000,72.851946,EUR,1.000000,,,,,,,
EQUITY,ARGENX,,N0610Q109,NL0010832176,BNHKYX4,166,166.96875,0.00000,105.274753,EUR,1.000000,,,,,,,
EQUITY,BARCO NV,,B0833F107,BE0003790079,4704096,120,120.65625,0.00000,115.154908,EUR,1.000000,,,,,,,
EQUITY,BEFIMMO SA,,B09186105,BE0003678894,4082628,259,259.50000,0.00000,56.044327,EUR,1.000000,,,,,,,
EQUITY,BEKAERT (D) SA,,B6346B111,BE0974258874,5827431,454,454.62500,0.00000,25.052439,EUR,1.000000,,,,,,,
EQUITY,BIOCARTIS GROUP NV,,B1333M105,BE0974281132,BWWYKX6,667,667.09375,0.00000,13.627800,EUR,1.000000,,,,,,,
