Fund Level
Fund Name,iShares MSCI United Kingdom Small-Cap ETF
Fund Ticker,EWUS
Fund ISIN,US46429B4169
Fund Cusip,46429B416
Fund LEI,
Total NAV per share,36.969348,Jan 22 2019
Distribution per Share,,
Fund Size,48060152.40,Jan 22 2019
Shares Outstanding,1300000,Jan 22 2019
Baskets Outstanding,26.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,6681.5,Jan 23 2019
Projected Cash for Deliverable Basket,10681.97,Jan 23 2019
Confirmed Cash for Deliverable Basket,10693.49,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,888 HOLDINGS PLC,,X19526106,GI000A0F6407,B0L4LM9,1594,1594.50000,0.00000,2.181001,GBP,1.000000,,,,,,,
EQUITY,AA PLC,,G0013T104,GB00BMSKPJ95,BMSKPJ9,2712,2712.65384,0.00000,1.000954,GBP,1.000000,,,,,,,
EQUITY,ABCAM PLC,,G0060R118,GB00B6774699,B677469,820,820.57692,0.00000,16.133965,GBP,1.000000,,,,,,,
EQUITY,ACACIA MINING PLC,,G0067D104,GB00B61D2N63,B61D2N6,736,736.15384,0.00000,2.300224,GBP,1.000000,,,,,,,
EQUITY,ACCESSO TECHNOLOGY GROUP PLC,,G1150H101,GB0001771426,0177142,113,113.88461,0.00000,19.049742,GBP,1.000000,,,,,,,
EQUITY,ADVANCED MEDICAL SOLUTIONS GROUP P,,G0098X103,GB0004536594,0453659,854,854.15384,0.00000,3.822907,GBP,1.000000,,,,,,,
EQUITY,AGGREKO PLC,,G0116S185,GB00BK1PTB77,BK1PTB7,1135,1135.03846,0.00000,9.213855,GBP,1.000000,,,,,,,
EQUITY,ALFA FINANCIAL SOFTWARE HOLDINGS P,,G01682106,GB00BDHXPG30,BDHXPG3,402,402.23076,0.00000,1.674304,GBP,1.000000,,,,,,,
EQUITY,ALLIANCE PHARMA PLC,,G0179G102,GB0031030819,3103081,1737,1737.53846,0.00000,0.842336,GBP,1.000000,,,,,,,
EQUITY,AMIGO HOLDINGS PLC,,,GB00BFFK8T45,BFFK8T4,534,534.42307,0.00000,3.316858,GBP,1.000000,,,,,,,
EQUITY,AO WORLD PLC,,G0403D107,GB00BJTNFH41,BJTNFH4,1014,1014.30769,0.00000,1.697630,GBP,1.000000,,,,,,,
EQUITY,ARROW GLOBAL PLC,,G05163103,GB00BDGTXM47,BDGTXM4,741,741.96153,0.00000,2.459620,GBP,1.000000,,,,,,,
EQUITY,ASCENTIAL PLC,,G0519G101,GB00BYM8GJ06,BYM8GJ0,1686,1686.38461,0.00000,5.007361,GBP,1.000000,,,,,,,
EQUITY,ASHMORE GROUP PLC,,G0609C101,GB00B132NW22,B132NW2,1725,1725.07692,0.00000,5.051421,GBP,1.000000,,,,,,,
EQUITY,ASOS PLC,,G0536Q108,GB0030927254,3092725,240,240.96153,0.00000,39.434262,GBP,1.000000,,,,,,,
EQUITY,ASSURA REIT PLC,,G2386T109,GB00BVGBWW93,BVGBWW9,10589,10589.42307,0.00000,0.711450,GBP,1.000000,,,,,,,
EQUITY,AVAST PLC,,G0713S109,GB00BDD85M81,BDD85M8,1266,1266.07692,0.00000,3.685542,GBP,1.000000,,,,,,,
EQUITY,AVEVA GROUP PLC,,G06812120,GB00BBG9VN75,BBG9VN7,285,285.80769,0.00000,36.181551,GBP,1.000000,,,,,,,
EQUITY,B&M EUROPEAN VALUE RETAIL SA,,L1175H106,LU1072616219,BMTRW10,4002,4002.23076,0.00000,4.196127,GBP,1.000000,,,,,,,
EQUITY,BAKKAVOR GROUP,,G0R792105,GB00BF8J3Z99,BF8J3Z9,648,648.23076,0.00000,1.788343,GBP,1.000000,,,,,,,
EQUITY,BALFOUR BEATTY PLC,,G3224V108,GB0000961622,0096162,3078,3078.15384,0.00000,3.618155,GBP,1.000000,,,,,,,
EQUITY,BANK OF GEORGIA GROUP PLC,,G0R1NA104,GB00BF4HYT85,BF4HYT8,169,169.42307,0.00000,19.855792,GBP,1.000000,,,,,,,
EQUITY,BBA AVIATION PLC,,G08932165,GB00B1FP8915,B1FP891,4573,4573.11538,0.00000,3.032408,GBP,1.000000,,,,,,,
EQUITY,BCA MARKETPLACE PLC,,G1094F104,GB00BP0S1D85,BP0S1D8,3358,3358.19230,0.00000,2.669556,GBP,1.000000,,,,,,,
EQUITY,BEAZLEY PLC,,G0936K107,GB00BYQ0JC66,BYQ0JC6,2339,2339.42307,0.00000,6.913631,GBP,1.000000,,,,,,,
EQUITY,BELLWAY PLC,,G09744155,GB0000904986,0090498,547,547.26923,0.00000,37.827345,GBP,1.000000,,,,,,,
EQUITY,BIFFA PLC,,G1R62B102,GB00BD8DR117,BD8DR11,1053,1053.30769,0.00000,2.428518,GBP,1.000000,,,,,,,
EQUITY,BIG YELLOW GROUP PLC,,G1093E108,GB0002869419,0286941,671,671.11538,0.00000,12.155550,GBP,1.000000,,,,,,,
EQUITY,BLUE PRISM GROUP PLC,,G1193C101,GB00BYQ0HV16,BYQ0HV1,222,222.34615,0.00000,14.902859,GBP,1.000000,,,,,,,
EQUITY,BODYCOTE PLC,,G1214R111,GB00B3FLWH99,B3FLWH9,848,848.19230,0.00000,10.250575,GBP,1.000000,,,,,,,
EQUITY,BOOHOO GROUP PLC,,G6153P109,JE00BG6L7297,BG6L729,3312,3312.92307,0.00000,2.378626,GBP,1.000000,,,,,,,
EQUITY,BOVIS HOMES GROUP PLC,,G12698109,GB0001859296,0185929,596,596.88461,0.00000,12.819051,GBP,1.000000,,,,,,,
EQUITY,BREWIN DOLPHIN HOLDINGS PLC,,G1338M113,GB0001765816,0176581,1255,1255.23076,0.00000,4.076904,GBP,1.000000,,,,,,,
EQUITY,BRITVIC PLC,,G17387104,GB00B0N8QD54,B0N8QD5,1172,1172.38461,0.00000,11.416886,GBP,1.000000,,,,,,,
EQUITY,BROWN(N.)GROUP PLC,,G64036125,GB00B1P6ZR11,B1P6ZR1,701,701.61538,0.00000,1.147520,GBP,1.000000,,,,,,,
EQUITY,BTG PLC,,G1660V103,GB0001001592,0100159,1376,1376.80769,0.00000,10.717100,GBP,1.000000,,,,,,,
EQUITY,BURFORD CAPITAL LTD,,G17977102,GG00B4L84979,B4L8497,879,879.07692,0.00000,22.056232,GBP,1.000000,,,,,,,
