Fund Level
Fund Name,iShares MSCI United Kingdom ETF
Fund Ticker,EWU
Fund ISIN,US46435G3341
Fund Cusip,46435G334
Fund LEI,
Total NAV per share,30.786948,Jan 22 2019
Distribution per Share,,
Fund Size,1896475996.80,Jan 22 2019
Shares Outstanding,61600000,Jan 22 2019
Baskets Outstanding,616.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,800.97,Jan 23 2019
Projected Cash for Deliverable Basket,21346.37,Jan 23 2019
Confirmed Cash for Deliverable Basket,21388.32,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,1352,1352.78571,0.00000,10.849282,GBP,1.000000,,,,,,,
EQUITY,ADMIRAL GROUP PLC,,G0110T106,GB00B02J6398,B02J639,278,278.49025,0.00000,27.434220,GBP,1.000000,,,,,,,
EQUITY,ANGLO AMERICAN PLC,,G03764134,GB00B1XZS820,B1XZS82,1461,1461.08279,0.00000,23.274378,GBP,1.000000,,,,,,,
EQUITY,ANTOFAGASTA PLC,,G0398N128,GB0000456144,0045614,545,545.05357,0.00000,10.546041,GBP,1.000000,,,,,,,
EQUITY,ASHTEAD GROUP PLC,,G05320109,GB0000536739,0053673,674,674.71428,0.00000,24.984968,GBP,1.000000,,,,,,,
EQUITY,ASSOCIATED BRITISH FOODS PLC,,G05600138,GB0006731235,0673123,494,494.88311,0.00000,30.920193,GBP,1.000000,,,,,,,
EQUITY,ASTRAZENECA PLC,,G0593M107,GB0009895292,0989529,1756,1756.32629,0.00000,72.000249,GBP,1.000000,,,,,,,
EQUITY,AUTO TRADER GROUP PLC,,G06708104,GB00BVYVFW23,BVYVFW2,1311,1311.39285,0.00000,5.836737,GBP,1.000000,,,,,,,
EQUITY,AVIVA PLC,,G0683Q109,GB0002162385,0216238,5439,5439.94967,0.00000,5.397427,GBP,1.000000,,,,,,,
EQUITY,BABCOCK INTERNATIONAL GROUP PLC,,G0689Q152,GB0009697037,0969703,350,350.22077,0.00000,7.179290,GBP,1.000000,,,,,,,
