Fund Level
Fund Name,iShares MSCI Mexico ETF
Fund Ticker,EWW
Fund ISIN,US4642868222
Fund Cusip,464286822
Fund LEI,
Total NAV per share,44.436416,Jan 22 2019
Distribution per Share,,
Fund Size,1168677740.80,Jan 22 2019
Shares Outstanding,26300000,Jan 22 2019
Baskets Outstanding,263.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,1866.36,Jan 23 2019
Projected Cash for Deliverable Basket,11732.11,Jan 23 2019
Confirmed Cash for Deliverable Basket,11790.52,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ALFA A,,P0156P117,MXP000511016,2043423,85100,85100.19391,0.00000,1.242641,MXN,1.000000,,,,,,,
EQUITY,ALSEA DE CV,,P0212A104,MXP001391012,2563017,15800,15813.93916,0.00000,2.644007,MXN,1.000000,,,,,,,
EQUITY,AMERICA MOVIL L,,P0280A101,MXP001691213,2667470,896600,896600.44866,0.00000,0.796230,MXN,1.000000,,,,,,,
EQUITY,ARCA CONTINENTAL,,P0448R103,MX01AC100006,2823885,12900,12944.59695,0.00000,5.486418,MXN,1.000000,,,,,,,
EQUITY,AXTEL CPO,,P0606P105,MX01AX040009,B0T0DH8,48000,48040.59695,0.00000,0.156635,MXN,1.000000,,,,,,,
EQUITY,BANCO DEL BAJIO INSTITUCION DE BAN,,P1R2ZN117,MX41BB000000,BYSX0F3,20900,20950.68441,0.00000,2.100482,MXN,1.000000,,,,,,,
EQUITY,BANCO SANTANDER B SA,,P1507S164,MX41BS060005,BF1FXN2,53800,53834.03041,0.00000,1.378392,MXN,1.000000,,,,,,,
EQUITY,BOLSA MEXICANA DE VALORES,,P17330104,MX01BM1B0000,B39VVF6,14400,14438.35361,0.00000,1.918262,MXN,1.000000,,,,,,,
EQUITY,CEMEX CPO,,P2253T133,MXP225611567,2406457,351700,351716.07984,0.00000,0.542481,MXN,1.000000,,,,,,,
EQUITY,COCA-COLA FEMSA CLASS L,,P2861Y136,MXP2861W1067,2141899,10900,10905.88212,0.00000,6.396470,MXN,1.000000,,,,,,,
EQUITY,CONCENTRADORA HIPOTECARIA MORTGAGE,,P1R44B436,MXFHFH020001,BSJX276,13100,13105.32319,0.00000,0.715824,MXN,1.000000,,,,,,,
EQUITY,CONSORCIO ARA,,P3084R106,MXP001161019,B1TV969,38700,38713.38022,0.00000,0.257404,MXN,1.000000,,,,,,,
EQUITY,CONTROLADORA VUELA COMPANIA DE AVI,,P30987104,MX01VO000009,BDZDPH6,21500,21537.64258,0.00000,0.736709,MXN,1.000000,,,,,,,
EQUITY,CORPORACION INMOBILIARIA VESTA,,P9781N108,MX01VE0M0003,B8F6ZF8,19200,19272.04942,0.00000,1.347587,MXN,1.000000,,,,,,,
EQUITY,CREDITO REAL SOFOM ENR,,P32486105,MX00CR000000,B8DST54,9400,9482.79087,0.00000,1.006122,MXN,1.000000,,,,,,,
