Fund Level
Fund Name,iShares MSCI South Korea ETF
Fund Ticker,EWY
Fund ISIN,US4642867729
Fund Cusip,464286772
Fund LEI,
Total NAV per share,60.340401,Jan 22 2019
Distribution per Share,,
Fund Size,4640176836.90,Jan 22 2019
Shares Outstanding,76900000,Jan 22 2019
Baskets Outstanding,1538.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,2749.89,Jan 23 2019
Projected Cash for Deliverable Basket,201282.28,Jan 23 2019
Confirmed Cash for Deliverable Basket,201281.66,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AMOREG,,Y0126C105,KR7002790004,6665931,149,149.03250,0.00000,57.046831,KRW,1.000000,,,,,,,
EQUITY,AMOREPACIFIC CORP,,Y01258105,KR7090430000,B15SK50,149,149.55656,0.00000,154.778225,KRW,1.000000,,,,,,,
EQUITY,AMOREPACIFIC PREF CORP,,Y01258113,KR7090431008,B1638D8,57,57.55786,0.00000,86.233582,KRW,1.000000,,,,,,,
EQUITY,BGF RETAIL LTD,,Y0R8SQ109,KR7282330000,BD95QN1,48,48.09102,0.00000,162.296024,KRW,1.000000,,,,,,,
EQUITY,BNK FINANCIAL GROUP INC,,Y0R7ZV102,KR7138930003,B3S98W7,1425,1425.14499,0.00000,6.111529,KRW,1.000000,,,,,,,
EQUITY,CELLTRION HEALTHCARE LTD,,Y6S3BE101,KR7091990002,BYZ6DH8,211,211.67620,0.00000,58.108168,KRW,1.000000,,,,,,,
EQUITY,CELLTRION INC,,Y1242A106,KR7068270008,B0C5YV1,372,372.86736,0.00000,176.889400,KRW,1.000000,,,,,,,
EQUITY,CHEIL WORLDWIDE INC,,Y1296G108,KR7030000004,6093231,440,440.54226,0.00000,19.944280,KRW,1.000000,,,,,,,
EQUITY,CJ CHEILJEDANG CORP,,Y16691126,KR7097950000,B2492F5,44,44.09882,0.00000,300.711980,KRW,1.000000,,,,,,,
EQUITY,CJ CORP,,Y1848L118,KR7001040005,6189516,82,82.15929,0.00000,104.364746,KRW,1.000000,,,,,,,
