Fund Level
Fund Name,iShares MSCI Brazil Small-Cap ETF
Fund Ticker,EWZS
Fund ISIN,US4642891315
Fund Cusip,464289131
Fund LEI,
Total NAV per share,15.683897,Jan 22 2019
Distribution per Share,,
Fund Size,79987874.70,Jan 22 2019
Shares Outstanding,5100000,Jan 22 2019
Baskets Outstanding,102.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,5019.9,Jan 23 2019
Projected Cash for Deliverable Basket,10849.61,Jan 23 2019
Confirmed Cash for Deliverable Basket,10862.21,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AES TIETE ENERGIA UNITS SA,,P30641115,BRTIETCDAM15,BZ8W2L7,2900,2900.00000,0.00000,2.887226,BRL,1.000000,,,,,,,
EQUITY,ALIANSCE SHOPPING CENTERS SA,,P0161M109,BRALSCACNOR0,B23FNB7,1300,1300.00000,0.00000,5.149328,BRL,1.000000,,,,,,,
EQUITY,ALUPAR INVESTIMENTO UNITS SA,,P0R676126,BRALUPCDAM15,B8DWT90,2600,2600.70588,0.00000,5.157274,BRL,1.000000,,,,,,,
EQUITY,AREZZO INDUSTRIA E SA,,P04508100,BRARZZACNOR3,B3NS1W0,800,828.90196,0.00000,13.744785,BRL,1.000000,,,,,,,
EQUITY,BANCO ABC BRASIL PREF RIGHTS SA,,,BRABCBD14PR2,BJ6CHX4,0,0.00000,46.12745,1.417125,BRL,1.000000,,,,,,,
EQUITY,BANCO ABC BRASIL PREF SA,,P0763M135,BRABCBACNPR4,B23DMP8,1400,1400.36274,0.00000,4.945368,BRL,1.000000,,,,,,,
EQUITY,BANCO DO ESTADO DO RIO GRANDE DO S,,P12553247,BRBRSRACNPB4,B23F8S9,3300,3300.00000,0.00000,5.867161,BRL,1.000000,,,,,,,
EQUITY,BK BRASIL OPERACAO E ASSESSORIA A,,P1R1WQ107,BRBKBRACNOR4,BFB3ZZ2,2200,2200.00000,0.00000,5.390371,BRL,1.000000,,,,,,,
EQUITY,BR PROPERTIES SA,,P1909V120,BRBRPRACNOR9,B1FLW42,2200,2200.00000,0.00000,2.301834,BRL,1.000000,,,,,,,
EQUITY,BRADESPAR PREF SA,,P1808W104,BRBRAPACNPR2,B01SCS4,4100,4100.91176,0.00000,9.069598,BRL,1.000000,,,,,,,
EQUITY,CAMIL ALIMENTOS SA,,P1R1FL107,BRCAMLACNOR3,BZ4F3Q2,2600,2600.00000,0.00000,1.928349,BRL,1.000000,,,,,,,
EQUITY,CENTRO DE IMAGEM DIAGNOSTICOS SA,,P2380S107,BRAALRACNOR6,BYX8VJ4,1000,1000.00000,0.00000,3.758691,BRL,1.000000,,,,,,,
EQUITY,CIA ENERGETICA DO CEARA SERIES A P,,P3056A107,BRCOCEACNPA3,B1YCJ34,200,202.94117,0.00000,13.532879,BRL,1.000000,,,,,,,
EQUITY,CIA PARANAENSE DE ENERGIA COPEL PR,,P30557139,BRCPLEACNPB9,2200154,1800,1800.00000,0.00000,8.847096,BRL,1.000000,,,,,,,
EQUITY,CIA SANEAMENTO PREF,,P3058Y103,BRSAPRACNPR6,2762085,1200,1200.00000,0.00000,3.499106,BRL,1.000000,,,,,,,
