Fund Level
Fund Name,iShares MSCI Brazil ETF
Fund Ticker,EWZ
Fund ISIN,US4642864007
Fund Cusip,464286400
Fund LEI,
Total NAV per share,42.548236,Jan 22 2019
Distribution per Share,,
Fund Size,8692604614.80,Jan 22 2019
Shares Outstanding,204300000,Jan 22 2019
Baskets Outstanding,4086.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,190.21,Jan 23 2019
Projected Cash for Deliverable Basket,36053.42,Jan 23 2019
Confirmed Cash for Deliverable Basket,36087.77,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AMBEV SA,,P0273U106,BRABEVACNOR1,BG7ZWY7,20300,20320.35119,0.00000,4.646050,BRL,1.000000,,,,,,,
EQUITY,ATACADAO CARREFOUR SA,,P0565P138,BRCRFBACNOR2,BF7LBH4,2900,2948.28683,0.00000,5.191709,BRL,1.000000,,,,,,,
EQUITY,B2W COMPANHIA DIGITAL,,P19055113,BRBTOWACNOR8,B1LH3Y1,1200,1281.44884,0.00000,11.652208,BRL,1.000000,,,,,,,
EQUITY,B3 BRASIL BOLSA BALCAO SA,,P1909G107,BRB3SAACNOR6,BG36ZK1,11600,11686.53377,0.00000,7.885570,BRL,1.000000,,,,,,,
EQUITY,BANCO BRADESCO PREF SA,,P1808G117,BRBBDCACNPR8,B00FM53,16000,16078.85193,0.00000,11.125091,BRL,1.000000,,,,,,,
EQUITY,BANCO BRADESCO SA,,P1808G109,BRBBDCACNOR1,B00FM86,3300,3325.11600,0.00000,9.909278,BRL,1.000000,,,,,,,
EQUITY,BANCO DO BRASIL SA,,P11427112,BRBBASACNOR3,2328595,4900,4911.27924,0.00000,12.767366,BRL,1.000000,,,,,,,
EQUITY,BANCO SANTANDER BRASIL UNITS SA,,P1505Z160,BRSANBCDAM13,B4V5RY4,2500,2529.99877,0.00000,12.780611,BRL,1.000000,,,,,,,
EQUITY,BB SEGURIDADE SA,,P1R1WJ103,BRBBSEACNOR5,B9N3SQ0,4100,4148.16324,0.00000,7.721343,BRL,1.000000,,,,,,,
EQUITY,BR MALLS PARTICIPACOES SA,,P1908S102,BRBRMLACNOR9,B1RYG58,5400,5431.53157,0.00000,3.578571,BRL,1.000000,,,,,,,
EQUITY,BRASKEM PREF SERIES A SA,,P18533110,BRBRKMACNPA4,B0774N4,1100,1177.00832,0.00000,12.807099,BRL,1.000000,,,,,,,
EQUITY,BRF BRASIL FOODS SA,,P1905C100,BRBRFSACNOR8,2036995,3300,3343.67351,0.00000,6.161181,BRL,1.000000,,,,,,,
