Fund Level
Fund Name,iShares MSCI South Africa ETF
Fund Ticker,EZA
Fund ISIN,US4642867802
Fund Cusip,464286780
Fund LEI,
Total NAV per share,54.378320,Jan 22 2019
Distribution per Share,,
Fund Size,538345368.00,Jan 22 2019
Shares Outstanding,9900000,Jan 22 2019
Baskets Outstanding,99.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,5844.45,Jan 23 2019
Projected Cash for Deliverable Basket,6130.15,Jan 23 2019
Confirmed Cash for Deliverable Basket,4134.16,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ABSA GROUP LTD,,S0270C106,ZAE000255915,BFX05H3,13044,13044.38383,0.00000,12.542873,ZAR,1.000000,,,,,,,
EQUITY,ANGLO AMERICAN PLATINUM LTD,,S9122P108,ZAE000013181,6761000,1187,1187.00000,0.00000,41.632932,ZAR,1.000000,,,,,,,
EQUITY,ANGLOGOLD ASHANTI LTD,,S04255196,ZAE000043485,6565655,7884,7884.57575,0.00000,12.223620,ZAR,1.000000,,,,,,,
EQUITY,ASPEN PHARMACARE LTD,,S0754A105,ZAE000066692,B09C0Z1,7166,7166.23232,0.00000,10.595003,ZAR,1.000000,,,,,,,
EQUITY,BID CORPORATION LTD,,S11881109,ZAE000216537,BZBFKT7,6153,6153.30303,0.00000,19.773504,ZAR,1.000000,,,,,,,
EQUITY,BIDVEST GROUP LTD,,S1201R162,ZAE000117321,6100089,6362,6362.18181,0.00000,14.452633,ZAR,1.000000,,,,,,,
EQUITY,CAPITEC LTD,,S15445109,ZAE000035861,6440859,801,801.76767,0.00000,80.875786,ZAR,1.000000,,,,,,,
EQUITY,CLICKS GROUP LTD,,S17249111,ZAE000134854,6105578,3504,3504.64646,0.00000,14.020493,ZAR,1.000000,,,,,,,
EQUITY,DISCOVERY LTD,,S2192Y109,ZAE000022331,6177878,6834,6834.09090,0.00000,11.837498,ZAR,1.000000,,,,,,,
EQUITY,EXXARO RESOURCES LTD,,S26949107,ZAE000084992,6418801,5215,5215.20202,0.00000,10.695668,ZAR,1.000000,,,,,,,
