Fund Level
Fund Name,iShares Core High Dividend ETF
Fund Ticker,HDV
Fund ISIN,US46429B6636
Fund Cusip,46429B663
Fund LEI,
Total NAV per share,86.341290,Jan 22 2019
Distribution per Share,,
Fund Size,6704401168.50,Jan 22 2019
Shares Outstanding,77650000,Jan 22 2019
Baskets Outstanding,1553.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,856.63,Jan 23 2019
Projected Cash for Deliverable Basket,16098.92,Jan 23 2019
Confirmed Cash for Deliverable Basket,16108.13,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3M,,88579Y101,US88579Y1010,2595708,520,520.38249,0.00000,192.260000,USD,1.000000,,,,,,,
EQUITY,AIR PRODUCTS AND CHEMICALS INC,,009158106,US0091581068,2011602,201,201.04443,0.00000,157.710000,USD,1.000000,,,,,,,
EQUITY,ALLETE INC,,018522300,US0185223007,B02R1L6,47,46.74565,0.00000,75.040000,USD,1.000000,,,,,,,
EQUITY,ALLIANT ENERGY CORP,,018802108,US0188021085,2973821,227,226.51900,0.00000,43.140000,USD,1.000000,,,,,,,
EQUITY,ALTRIA GROUP INC,,02209S103,US02209S1033,2692632,3701,3701.01030,0.00000,44.970000,USD,1.000000,,,,,,,
EQUITY,AMERICAN ELECTRIC POWER INC,,025537101,US0255371017,2026242,546,545.52028,0.00000,76.380000,USD,1.000000,,,,,,,
EQUITY,ARTISAN PARTNERS ASSET MANAGEMENT,,04316A108,US04316A1088,B8FW545,165,164.87122,0.00000,22.730000,USD,1.000000,,,,,,,
EQUITY,AUTOLIV INC,,052800109,US0528001094,2064253,91,90.71539,0.00000,76.800000,USD,1.000000,,,,,,,
EQUITY,AVISTA CORP,,05379B107,US05379B1070,2942605,71,70.68513,0.00000,41.170000,USD,1.000000,,,,,,,
EQUITY,BANK OF HAWAII CORP.,,062540109,US0625401098,2074070,46,46.10689,0.00000,75.360000,USD,1.000000,,,,,,,
EQUITY,BB AND T CORP,,054937107,US0549371070,2830904,875,875.24340,0.00000,49.140000,USD,1.000000,,,,,,,
EQUITY,BEMIS INC,,081437105,US0814371052,2090173,78,78.31294,0.00000,47.540000,USD,1.000000,,,,,,,
EQUITY,BRISTOL MYERS SQUIBB,,110122108,US1101221083,2126335,1604,1604.09594,0.00000,49.720000,USD,1.000000,,,,,,,
EQUITY,BROADCOM INC,,11135F101,US11135F1012,BDZ78H9,373,372.57888,0.00000,258.290000,USD,1.000000,,,,,,,
EQUITY,CARNIVAL CORP,,143658300,PA1436583006,2523044,465,465.08693,0.00000,54.520000,USD,1.000000,,,,,,,
EQUITY,CHEVRON CORP,,166764100,US1667641005,2838555,2430,2430.29363,0.00000,112.340000,USD,1.000000,,,,,,,
EQUITY,CINCINNATI FINANCIAL CORP,,172062101,US1720621010,2196888,132,132.32389,0.00000,79.500000,USD,1.000000,,,,,,,
EQUITY,CISCO SYSTEMS INC,,17275R102,US17275R1023,2198163,4108,4108.08886,0.00000,44.780000,USD,1.000000,,,,,,,
EQUITY,CLOROX,,189054109,US1890541097,2204026,98,98.24340,0.00000,151.180000,USD,1.000000,,,,,,,
EQUITY,CMS ENERGY CORP,,125896100,US1258961002,2219224,252,252.36832,0.00000,50.960000,USD,1.000000,,,,,,,
EQUITY,COCA-COLA,,191216100,US1912161007,2206657,3986,3985.51642,0.00000,47.720000,USD,1.000000,,,,,,,
EQUITY,COHEN & STEERS INC,,19247A100,US19247A1007,B02H882,25,25.36124,0.00000,36.760000,USD,1.000000,,,,,,,
EQUITY,COLGATE-PALMOLIVE,,194162103,US1941621039,2209106,733,732.68126,0.00000,61.740000,USD,1.000000,,,,,,,
EQUITY,COMERICA INC,,200340107,US2003401070,2212870,176,175.87830,0.00000,80.170000,USD,1.000000,,,,,,,
EQUITY,CRACKER BARREL OLD COUNTRY STORE I,,22410J106,US22410J1060,2231091,22,22.47714,0.00000,167.220000,USD,1.000000,,,,,,,
EQUITY,CUMMINS INC,,231021106,US2310211063,2240202,163,162.68062,0.00000,146.180000,USD,1.000000,,,,,,,
EQUITY,DOMINION ENERGY INC,,25746U109,US25746U1097,2542049,956,956.32067,0.00000,68.590000,USD,1.000000,,,,,,,
EQUITY,DTE ENERGY,,233331107,US2333311072,2280220,178,177.53574,0.00000,113.040000,USD,1.000000,,,,,,,
EQUITY,DUKE ENERGY CORP,,26441C204,US26441C2044,B7VD3F2,969,968.91436,0.00000,85.610000,USD,1.000000,,,,,,,
EQUITY,EATON PLC,,G29183103,IE00B8KQN827,B8KQN82,528,528.16033,0.00000,70.440000,USD,1.000000,,,,,,,
EQUITY,EATON VANCE COM NON VOTING CORP,,278265103,US2782651036,2301057,145,145.20476,0.00000,39.250000,USD,1.000000,,,,,,,
EQUITY,EMERSON ELECTRIC,,291011104,US2910111044,2313405,660,659.55248,0.00000,63.010000,USD,1.000000,,,,,,,
EQUITY,ERIE INDEMNITY CLASS A,,29530P102,US29530P1021,2311711,17,16.73278,0.00000,141.300000,USD,1.000000,,,,,,,
EQUITY,EXELON CORP,,30161N101,US30161N1019,2670519,934,934.18802,0.00000,46.250000,USD,1.000000,,,,,,,
EQUITY,EXXON MOBIL CORP,,30231G102,US30231G1022,2326618,5879,5878.83967,0.00000,71.890000,USD,1.000000,,,,,,,
EQUITY,FASTENAL,,311900104,US3119001044,2332262,275,275.02125,0.00000,59.100000,USD,1.000000,,,,,,,
EQUITY,FIDELITY NATIONAL FINANCIAL INC,,31620R303,US31620R3030,BNBRDD4,337,337.20605,0.00000,34.140000,USD,1.000000,,,,,,,
EQUITY,FRANKLIN RESOURCES INC,,354613101,US3546131018,2350684,282,281.62846,0.00000,31.340000,USD,1.000000,,,,,,,
EQUITY,GARMIN LTD,,H2906T109,CH0114405324,B3Z5T14,127,127.09788,0.00000,67.390000,USD,1.000000,,,,,,,
EQUITY,HASBRO INC,,418056107,US4180561072,2414580,113,113.47521,0.00000,89.060000,USD,1.000000,,,,,,,
EQUITY,HERSHEY FOODS,,427866108,US4278661081,2422806,122,121.96587,0.00000,108.310000,USD,1.000000,,,,,,,
EQUITY,HUNTINGTON BANCSHARES INC,,446150104,US4461501045,2445966,1534,1534.19317,0.00000,13.520000,USD,1.000000,,,,,,,
EQUITY,ILLINOIS TOOL INC,,452308109,US4523081093,2457552,303,303.15068,0.00000,132.170000,USD,1.000000,,,,,,,
EQUITY,JOHNSON & JOHNSON,,478160104,US4781601046,2475833,2155,2154.51900,0.00000,128.800000,USD,1.000000,,,,,,,
EQUITY,KIMBERLY CLARK CORP,,494368103,US4943681035,2491839,399,399.13458,0.00000,115.230000,USD,1.000000,,,,,,,
EQUITY,LAS VEGAS SANDS CORP,,517834107,US5178341070,B02T2J7,654,654.25306,0.00000,57.050000,USD,1.000000,,,,,,,
EQUITY,LEGGETT & PLATT INC,,524660107,US5246601075,2510682,174,173.58532,0.00000,39.090000,USD,1.000000,,,,,,,
EQUITY,LOCKHEED MARTIN CORP,,539830109,US5398301094,2522096,244,244.36703,0.00000,279.590000,USD,1.000000,,,,,,,
EQUITY,MAXIM INTEGRATED PRODUCTS INC,,57772K101,US57772K1016,2573760,309,308.55119,0.00000,51.890000,USD,1.000000,,,,,,,
EQUITY,MDU RESOURCES GROUP INC,,552690109,US5526901096,2547323,195,195.04379,0.00000,24.960000,USD,1.000000,,,,,,,
EQUITY,MERCK & CO INC,,58933Y105,US58933Y1055,2778844,2101,2100.83065,0.00000,75.830000,USD,1.000000,,,,,,,
EQUITY,MERCURY GENERAL CORP,,589400100,US5894001008,2578464,40,40.45332,0.00000,53.880000,USD,1.000000,,,,,,,
EQUITY,MOELIS CLASS A,,60786M105,US60786M1053,BLG38Q1,74,73.93690,0.00000,41.840000,USD,1.000000,,,,,,,
EQUITY,MSC INDUSTRIAL INC CLASS A,,553530106,US5535301064,2567655,46,45.91693,0.00000,83.140000,USD,1.000000,,,,,,,
EQUITY,NATIONAL FUEL GAS,,636180101,US6361801011,2626103,86,85.92659,0.00000,55.980000,USD,1.000000,,,,,,,
EQUITY,NORTHWEST BANCSHARES INC,,667340103,US6673401039,B523Z73,0,133.66581,0.00000,17.790000,USD,1.000000,,,,,,,
EQUITY,ONEOK INC,,682680103,US6826801036,2130109,773,773.39987,0.00000,62.580000,USD,1.000000,,,,,,,
EQUITY,PAYCHEX INC,,704326107,US7043261079,2674458,345,344.95621,0.00000,69.400000,USD,1.000000,,,,,,,
EQUITY,PEPSICO INC,,713448108,US7134481081,2681511,1469,1469.24469,0.00000,109.910000,USD,1.000000,,,,,,,
EQUITY,PFIZER INC,,717081103,US7170811035,2684703,5844,5843.57051,0.00000,42.270000,USD,1.000000,,,,,,,
EQUITY,PHILLIPS,,718546104,US7185461040,B78C4Y8,499,499.28976,0.00000,93.000000,USD,1.000000,,,,,,,
EQUITY,PINNACLE WEST CORP,,723484101,US7234841010,2048804,119,118.85383,0.00000,85.730000,USD,1.000000,,,,,,,
EQUITY,PORTLAND GENERAL ELECTRIC,,736508847,US7365088472,B125XQ6,86,85.68577,0.00000,46.210000,USD,1.000000,,,,,,,
EQUITY,PROCTER & GAMBLE,,742718109,US7427181091,2704407,2495,2495.07083,0.00000,90.440000,USD,1.000000,,,,,,,
EQUITY,PROVIDENT FINANCIAL SERVICES INC,,74386T105,US74386T1051,2171603,71,70.90470,0.00000,24.970000,USD,1.000000,,,,,,,
EQUITY,PUBLIC SERVICE ENTERPRISE GROUP IN,,744573106,US7445731067,2707677,536,536.04572,0.00000,52.720000,USD,1.000000,,,,,,,
EQUITY,SCHLUMBERGER NV,,806857108,AN8068571086,2779201,2194,2193.83001,0.00000,43.960000,USD,1.000000,,,,,,,
EQUITY,TAPESTRY INC,,876030107,US8760301072,BF09HX3,357,356.78042,0.00000,36.350000,USD,1.000000,,,,,,,
EQUITY,TFS FINANCIAL CORP,,87240R107,US87240R1077,B1W8J67,107,106.86735,0.00000,16.790000,USD,1.000000,,,,,,,
EQUITY,UNITED PARCEL SERVICE INC CLASS B,,911312106,US9113121068,2517382,821,820.73084,0.00000,102.680000,USD,1.000000,,,,,,,
EQUITY,VERIZON COMMUNICATIONS INC,,92343V104,US92343V1044,2090571,5710,5709.63748,0.00000,56.990000,USD,1.000000,,,,,,,
EQUITY,WATSCO INC,,942622200,US9426222009,2943039,41,40.84417,0.00000,144.380000,USD,1.000000,,,,,,,
EQUITY,WEC ENERGY GROUP INC,,92939U106,US92939U1060,BYY8XK8,310,309.86156,0.00000,71.010000,USD,1.000000,,,,,,,
EQUITY,WILLIAMS INC,,969457100,US9694571004,2967181,2234,2234.02382,0.00000,26.160000,USD,1.000000,,,,,,,
