Fund Level
Fund Name,iShares U.S. Insurance ETF
Fund Ticker,IAK
Fund ISIN,US4642887867
Fund Cusip,464288786
Fund LEI,
Total NAV per share,61.115277,Jan 22 2019
Distribution per Share,,
Fund Size,106951734.75,Jan 22 2019
Shares Outstanding,1750000,Jan 22 2019
Baskets Outstanding,35.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,2648.32,Jan 23 2019
Projected Cash for Deliverable Basket,267956.5,Jan 23 2019
Confirmed Cash for Deliverable Basket,264597.56,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AFLAC INC,,001055102,US0010551028,2026361,3782,3781.71429,0.00000,47.390000,USD,1.000000,,,,,,,
EQUITY,ALLEGHANY  CORP,,017175100,US0171751003,2016801,85,85.00000,0.00000,617.730000,USD,1.000000,,,,,,,
EQUITY,ALLSTATE CORP,,020002101,US0200021014,2019952,1738,1738.02857,0.00000,85.860000,USD,1.000000,,,,,,,
EQUITY,AMBAC FINANCIAL GROUP INC,,023139884,US0231398845,B7ZKH46,342,342.11429,0.00000,18.340000,USD,1.000000,,,,,,,
EQUITY,AMERICAN EQUITY INVESTMENT LIFE HO,,025676206,US0256762065,2191300,0,590.80000,0.00000,30.810000,USD,1.000000,,,,,,,
EQUITY,AMERICAN FINANCIAL GROUP INC,,025932104,US0259321042,2134532,0,417.28571,0.00000,95.280000,USD,1.000000,,,,,,,
EQUITY,AMERICAN INTERNATIONAL GROUP INC,,026874784,US0268747849,2027342,4381,4381.05714,0.00000,43.360000,USD,1.000000,,,,,,,
EQUITY,AMERICAN NATIONAL INSURANCE,,028591105,US0285911055,2028420,62,62.31429,0.00000,134.800000,USD,1.000000,,,,,,,
EQUITY,AMERISAFE INC,,03071H100,US03071H1005,B0PPHS6,0,137.02857,0.00000,55.410000,USD,1.000000,,,,,,,
EQUITY,ARCH CAPITAL GROUP LTD,,G0450A105,BMG0450A1053,2740542,2270,2269.68571,0.00000,28.420000,USD,1.000000,,,,,,,
EQUITY,ARGO GROUP INTERNATIONAL HOLDINGS,,G0464B107,BMG0464B1072,2499543,225,225.22857,0.00000,64.310000,USD,1.000000,,,,,,,
EQUITY,ARTHUR J GALLAGHER,,363576109,US3635761097,2359506,1004,1003.65714,0.00000,73.380000,USD,1.000000,,,,,,,
EQUITY,ASSURANT INC,,04621X108,US04621X1081,2331430,320,320.42857,0.00000,95.010000,USD,1.000000,,,,,,,
EQUITY,ASSURED GUARANTY LTD,,G0585R106,BMG0585R1060,B00V7H8,659,658.85714,0.00000,39.700000,USD,1.000000,,,,,,,
EQUITY,ATHENE HOLDING LTD CLASS A,,G0684D107,BMG0684D1074,BZ13MZ1,773,773.08571,0.00000,42.300000,USD,1.000000,,,,,,,
EQUITY,AXIS CAPITAL HOLDINGS LTD,,G0692U109,BMG0692U1099,2677606,517,516.54286,0.00000,54.690000,USD,1.000000,,,,,,,
EQUITY,BRIGHTHOUSE FINANCIAL INC,,10922N103,US10922N1037,BF429K9,744,743.65714,0.00000,35.580000,USD,1.000000,,,,,,,
EQUITY,BROWN & BROWN INC,,115236101,US1152361010,2692687,1397,1397.02857,0.00000,28.320000,USD,1.000000,,,,,,,
EQUITY,CHUBB LTD,,H1467J104,CH0044328745,B3BQMF6,2143,2143.11429,0.00000,131.150000,USD,1.000000,,,,,,,
EQUITY,CINCINNATI FINANCIAL CORP,,172062101,US1720621010,2196888,840,840.11429,0.00000,79.500000,USD,1.000000,,,,,,,
EQUITY,CNA FINANCIAL CORP,,126117100,US1261171003,2204866,194,194.28571,0.00000,45.290000,USD,1.000000,,,,,,,
EQUITY,CNO FINANCIAL GROUP INC,,12621E103,US12621E1038,2657750,1079,1078.65714,0.00000,17.540000,USD,1.000000,,,,,,,
EQUITY,EHEALTH INC,,28238P109,US28238P1093,B1G0F83,126,125.74286,0.00000,45.460000,USD,1.000000,,,,,,,
EQUITY,EMPLOYERS HOLDINGS INC,,292218104,US2922181043,B1Q1RR9,0,229.22857,0.00000,43.990000,USD,1.000000,,,,,,,
EQUITY,ERIE INDEMNITY CLASS A,,29530P102,US29530P1021,2311711,130,130.40000,0.00000,141.300000,USD,1.000000,,,,,,,
EQUITY,FBL FINANCIAL GROUP INC CLASS A,,30239F106,US30239F1066,2329082,75,75.28571,0.00000,69.710000,USD,1.000000,,,,,,,
EQUITY,FIRST AMERICAN FINANCIAL CORP,,31847R102,US31847R1023,B4NFPK4,0,681.02857,0.00000,47.650000,USD,1.000000,,,,,,,
EQUITY,GENWORTH FINANCIAL A INC,,37247D106,US37247D1063,B011WL6,3347,3346.80000,0.00000,4.810000,USD,1.000000,,,,,,,
EQUITY,HANOVER INSURANCE GROUP INC,,410867105,US4108671052,2020415,261,261.37143,0.00000,112.070000,USD,1.000000,,,,,,,
EQUITY,HARTFORD FINANCIAL SERVICES GROUP,,416515104,US4165151048,2476193,1945,1945.20000,0.00000,46.210000,USD,1.000000,,,,,,,
EQUITY,HORACE MANN EDUCATORS CORP,,440327104,US4403271046,2437112,0,283.31429,0.00000,41.400000,USD,1.000000,,,,,,,
EQUITY,JAMES RIVER GROUP HOLDINGS LTD,,G5005R107,BMG5005R1079,BT8RWQ5,0,215.05714,0.00000,38.520000,USD,1.000000,,,,,,,
EQUITY,KEMPER CORP,,488401100,US4884011002,B52KRV2,0,379.17143,0.00000,74.430000,USD,1.000000,,,,,,,
EQUITY,KINSALE CAPITAL GROUP INC,,49714P108,US49714P1084,BD1MGQ3,139,138.94286,0.00000,59.210000,USD,1.000000,,,,,,,
EQUITY,LINCOLN NATIONAL CORP,,534187109,US5341871094,2516378,1189,1188.68571,0.00000,58.180000,USD,1.000000,,,,,,,
EQUITY,LOEWS CORP,,540424108,US5404241086,2523022,1529,1528.80000,0.00000,46.940000,USD,1.000000,,,,,,,
EQUITY,MARKEL CORP,,570535104,US5705351048,2566436,75,75.40000,0.00000,1035.000000,USD,1.000000,,,,,,,
EQUITY,MBIA INC,,55262C100,US55262C1009,2547044,678,677.91429,0.00000,9.370000,USD,1.000000,,,,,,,
EQUITY,MERCURY GENERAL CORP,,589400100,US5894001008,2578464,189,189.22857,0.00000,53.880000,USD,1.000000,,,,,,,
EQUITY,METLIFE INC,,59156R108,US59156R1086,2573209,4806,4806.40000,0.00000,44.870000,USD,1.000000,,,,,,,
EQUITY,NATIONAL GENERAL HOLDINGS CORP,,636220303,US6362203035,BJ35QL7,443,442.80000,0.00000,23.920000,USD,1.000000,,,,,,,
