Fund Level
Fund Name,iShares International Select Dividend ETF
Fund Ticker,IDV
Fund ISIN,US4642884484
Fund Cusip,464288448
Fund LEI,
Total NAV per share,30.144327,Jan 22 2019
Distribution per Share,,
Fund Size,4015224356.40,Jan 22 2019
Shares Outstanding,133200000,Jan 22 2019
Baskets Outstanding,2664.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,122.41,Jan 23 2019
Projected Cash for Deliverable Basket,79304.65,Jan 23 2019
Confirmed Cash for Deliverable Basket,79196.96,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AAREAL BANK AG,,D00379111,DE0005408116,7380062,447,447.30030,0.00000,32.581798,EUR,1.000000,,,,,,,
EQUITY,AEGON NV,,N00927298,NL0000303709,5927375,2020,2020.71621,0.00000,5.127460,EUR,1.000000,,,,,,,
EQUITY,AMCOR LTD,,Q03080100,AU000000AMC4,6066608,665,665.56118,0.00000,9.636298,AUD,1.000000,,,,,,,
EQUITY,APA GROUP UNITS,,Q0437B100,AU000000APA1,6247306,947,947.53190,0.00000,6.374232,AUD,1.000000,,,,,,,
EQUITY,ASHMORE GROUP PLC,,G0609C101,GB00B132NW22,B132NW2,1032,1032.30743,0.00000,5.051421,GBP,1.000000,,,,,,,
EQUITY,ASTRAZENECA PLC,,G0593M107,GB0009895292,0989529,1175,1175.19632,0.00000,72.000249,GBP,1.000000,,,,,,,
EQUITY,AUSNET SERVICES,,Q0708Q109,AU000000AST5,BPXR7J0,986,986.92642,0.00000,1.174201,AUD,1.000000,,,,,,,
EQUITY,AUSTRALIA AND NEW ZEALAND BANKING,,Q09504137,AU000000ANZ3,6065586,947,947.01501,0.00000,18.423173,AUD,1.000000,,,,,,,
EQUITY,AZIMUT HOLDING,,T0783G106,IT0003261697,B019M65,1631,1631.41516,0.00000,11.217951,EUR,1.000000,,,,,,,
EQUITY,BANCA MEDIOLANUM,,T1R88K108,IT0004776628,BYWP840,1560,1560.45608,0.00000,6.041658,EUR,1.000000,,,,,,,
EQUITY,BANK OF NOVA SCOTIA,,064149107,CA0641491075,2076281,325,325.72972,0.00000,55.336857,CAD,1.000000,,,,,,,
EQUITY,BENDIGO AND ADELAIDE BANK LTD,,Q1458B102,AU000000BEN6,6091280,1094,1094.98536,0.00000,7.930316,AUD,1.000000,,,,,,,
EQUITY,BOUYGUES SA,,F11487125,FR0000120503,4002121,379,379.04542,0.00000,33.728805,EUR,1.000000,,,,,,,
EQUITY,BOVIS HOMES GROUP PLC,,G12698109,GB0001859296,0185929,1028,1028.96621,0.00000,12.819051,GBP,1.000000,,,,,,,
EQUITY,BP PLC,,G12793108,GB0007980591,0798059,1765,1765.04617,0.00000,6.642788,GBP,1.000000,,,,,,,
EQUITY,BT GROUP PLC,,G16612106,GB0030913577,3091357,1630,1630.92342,0.00000,3.084244,GBP,1.000000,,,,,,,
EQUITY,CANADIAN IMPERIAL BANK OF COMMERCE,,136069101,CA1360691010,2170525,357,357.43355,0.00000,82.285457,CAD,1.000000,,,,,,,
