Fund Level
Fund Name,iShares Evolved U.S. Media and Entertainment ETF
Fund Ticker,IEME
Fund ISIN,US46431W6306
Fund Cusip,46431W630
Fund LEI,
Total NAV per share,24.702458,Jan 22 2019
Distribution per Share,,
Fund Size,4940491.60,Jan 22 2019
Shares Outstanding,200000,Jan 22 2019
Baskets Outstanding,4.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,9426.09,Jan 23 2019
Projected Cash for Deliverable Basket,68409.42,Jan 23 2019
Confirmed Cash for Deliverable Basket,68395.18,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACTIVISION BLIZZARD INC,,00507V109,US00507V1098,2575818,1108,1107.75000,0.00000,47.060000,USD,1.000000,,,,,,,
EQUITY,ALTICE USA INC CLASS A,,02156K103,US02156K1034,BDRY7P9,794,793.75000,0.00000,18.730000,USD,1.000000,,,,,,,
EQUITY,AMC ENTERTAINMENT HOLDINGS INC CLA,,00165C104,US00165C1045,BH4HLL3,110,110.00000,0.00000,13.510000,USD,1.000000,,,,,,,
EQUITY,AMC NETWORKS CLASS A INC,,00164V103,US00164V1035,B4MG4Z6,216,216.00000,0.00000,61.530000,USD,1.000000,,,,,,,
EQUITY,AT&T INC,,00206R102,US00206R1023,2831811,295,295.25000,0.00000,30.580000,USD,1.000000,,,,,,,
EQUITY,CABLE ONE INC,,12685J105,US12685J1051,BZ07DS4,12,12.00000,0.00000,847.740000,USD,1.000000,,,,,,,
EQUITY,CBS CORP CLASS B,,124857202,US1248572026,B0SRLH6,1224,1223.50000,0.00000,48.460000,USD,1.000000,,,,,,,
EQUITY,CENTRAL EUROPEAN MEDIA ENTERPRISES,,G20045202,BMG200452024,2529848,222,222.25000,0.00000,3.240000,USD,1.000000,,,,,,,
EQUITY,CHARTER COMMUNICATIONS INC CLASS A,,16119P108,US16119P1084,BZ6VT82,189,189.00000,0.00000,284.970000,USD,1.000000,,,,,,,
EQUITY,CHURCHILL DOWNS INC,,171484108,US1714841087,2194105,10,10.25000,0.00000,266.270000,USD,1.000000,,,,,,,
EQUITY,CINEMARK HOLDINGS INC,,17243V102,US17243V1026,B1W7RQ0,311,311.00000,0.00000,39.560000,USD,1.000000,,,,,,,
EQUITY,COMCAST CORP CLASS A,,20030N101,US20030N1019,2044545,2057,2057.00000,0.00000,34.970000,USD,1.000000,,,,,,,
EQUITY,DAILY JOURNAL CORP,,233912104,US2339121046,2251583,2,2.00000,0.00000,214.040000,USD,1.000000,,,,,,,
EQUITY,DISCOVERY INC SERIES A,,25470F104,US25470F1049,B3D7K31,688,688.00000,0.00000,26.600000,USD,1.000000,,,,,,,
EQUITY,DISCOVERY INC SERIES C,,25470F302,US25470F3029,B3D7KG4,1624,1623.50000,0.00000,24.890000,USD,1.000000,,,,,,,
EQUITY,DISH NETWORK CORP CLASS A,,25470M109,US25470M1099,2303581,689,688.75000,0.00000,29.510000,USD,1.000000,,,,,,,
EQUITY,DOLBY LABORATORIES INC CLASS A,,25659T107,US25659T1079,B04NJM9,141,141.00000,0.00000,62.980000,USD,1.000000,,,,,,,
EQUITY,ELECTRONIC ARTS INC,,285512109,US2855121099,2310194,454,454.00000,0.00000,91.310000,USD,1.000000,,,,,,,
EQUITY,ENTERCOM COMMUNICATIONS CORP CLASS,,293639100,US2936391000,2382892,662,662.00000,0.00000,7.080000,USD,1.000000,,,,,,,
EQUITY,ENTRAVISION COMMUNICATIONS CORP CL,,29382R107,US29382R1077,2615112,152,151.50000,0.00000,3.690000,USD,1.000000,,,,,,,
EQUITY,EW SCRIPPS CLASS A,,811054402,US8110544025,2862532,344,344.00000,0.00000,18.120000,USD,1.000000,,,,,,,
EQUITY,GANNETT INC,,36473H104,US36473H1041,BZ0P429,249,249.00000,0.00000,10.990000,USD,1.000000,,,,,,,
EQUITY,GLU MOBILE INC,,379890106,US3798901068,B1VP204,201,201.00000,0.00000,9.290000,USD,1.000000,,,,,,,
EQUITY,GRAHAM HOLDINGS COMPANY CLASS B,,384637104,US3846371041,BGM1B98,12,12.00000,0.00000,662.550000,USD,1.000000,,,,,,,
EQUITY,GRAY TELEVISION INC,,389375106,US3893751061,2390817,472,472.00000,0.00000,15.900000,USD,1.000000,,,,,,,
EQUITY,HARMONIC INC,,413160102,US4131601027,2510659,116,116.00000,0.00000,4.840000,USD,1.000000,,,,,,,
EQUITY,HASBRO INC,,418056107,US4180561072,2414580,328,328.00000,0.00000,89.060000,USD,1.000000,,,,,,,
EQUITY,HEMISPHERE MEDIA GROUP INC CLASS A,,42365Q103,US42365Q1031,B8L2798,103,103.00000,0.00000,12.760000,USD,1.000000,,,,,,,
EQUITY,HOUGHTON MIFFLIN HARCOURT,,44157R109,US44157R1095,BGCBBK9,129,129.00000,0.00000,10.330000,USD,1.000000,,,,,,,
EQUITY,IAC INTERACTIVE,,44919P508,US44919P5089,B0F0F09,130,130.00000,0.00000,197.770000,USD,1.000000,,,,,,,
EQUITY,IMAX CORP,,45245E109,CA45245E1097,2473859,192,192.00000,0.00000,19.920000,USD,1.000000,,,,,,,
EQUITY,INTERNATIONAL SPEEDWAY CORP CLASS,,460335201,US4603352018,2478144,70,70.00000,0.00000,44.350000,USD,1.000000,,,,,,,
EQUITY,JOHN WILEY AND SONS INC CLASS A,,968223206,US9682232064,2965668,51,50.75000,0.00000,50.370000,USD,1.000000,,,,,,,
EQUITY,LAMAR ADVERTISING COMPANY  CLAS,,512816109,US5128161099,BSPHGN6,115,115.00000,0.00000,73.680000,USD,1.000000,,,,,,,
EQUITY,LIBERTY BROADBAND CORP SERIES A,,530307107,US5303071071,BRTLBY3,72,72.00000,0.00000,73.420000,USD,1.000000,,,,,,,
EQUITY,LIBERTY BROADBAND CORP SERIES C,,530307305,US5303073051,BRTLC06,289,289.00000,0.00000,73.550000,USD,1.000000,,,,,,,
EQUITY,LIBERTY GLOBAL PLC CLASS A,,G5480U104,GB00B8W67662,B8W6766,311,311.00000,0.00000,22.390000,USD,1.000000,,,,,,,
EQUITY,LIBERTY GLOBAL PLC CLASS C,,G5480U120,GB00B8W67B19,B8W67B1,1008,1007.50000,0.00000,21.850000,USD,1.000000,,,,,,,
EQUITY,LIBERTY LATIN AMERICA LTD CLASS A,,G9001E102,BMG9001E1021,BD9Q3P5,39,38.50000,0.00000,15.260000,USD,1.000000,,,,,,,
EQUITY,LIBERTY LATIN AMERICA LTD CLASS C,,G9001E128,BMG9001E1286,BD9Q3Q6,183,182.50000,0.00000,15.230000,USD,1.000000,,,,,,,
EQUITY,LIBERTY MEDIA LIBERTY SIRIUSXM COR,,531229409,US5312294094,BD8QGF7,107,107.25000,0.00000,37.810000,USD,1.000000,,,,,,,
EQUITY,LIBERTY MEDIA LIBERTY SIRIUSXM COR,,531229607,US5312296073,BD8QGH9,105,105.25000,0.00000,38.100000,USD,1.000000,,,,,,,
EQUITY,LIBERTY TRIPADVISOR HOLDINGS INC S,,531465102,US5314651028,BQ5BPM6,87,87.25000,0.00000,15.850000,USD,1.000000,,,,,,,
EQUITY,LIONS GATE ENTERTAINMENT NON VOTIN,,535919500,CA5359195008,BD8NB53,642,641.75000,0.00000,17.100000,USD,1.000000,,,,,,,
EQUITY,LIONS GATE ENTERTAINMENT VOTING CO,,535919401,CA5359194019,BD8NBC0,319,319.00000,0.00000,18.090000,USD,1.000000,,,,,,,
EQUITY,LIVE NATION ENTERTAINMENT INC,,538034109,US5380341090,B0T7YX2,252,252.00000,0.00000,52.870000,USD,1.000000,,,,,,,
EQUITY,MADISON SQUARE GARDEN CLASS A,,55825T103,US55825T1034,BYQCZ35,48,48.00000,0.00000,273.720000,USD,1.000000,,,,,,,
EQUITY,MATTEL INC,,577081102,US5770811025,2572303,597,596.50000,0.00000,12.180000,USD,1.000000,,,,,,,
EQUITY,MEREDITH CORP,,589433101,US5894331017,2578516,190,190.00000,0.00000,53.860000,USD,1.000000,,,,,,,
EQUITY,MSG NETWORKS INC CLASS A,,553573106,US5535731062,BYM0M65,263,263.00000,0.00000,21.890000,USD,1.000000,,,,,,,
EQUITY,NATIONAL CINEMEDIA INC,,635309107,US6353091076,B1R2N51,241,241.00000,0.00000,6.730000,USD,1.000000,,,,,,,
EQUITY,NETFLIX INC,,64110L106,US64110L1061,2857817,199,199.25000,0.00000,325.160000,USD,1.000000,,,,,,,
EQUITY,NEW MEDIA INVESTMENT GROUP INC,,64704V106,US64704V1061,BH2R795,118,118.00000,0.00000,13.080000,USD,1.000000,,,,,,,
EQUITY,NEW YORK TIMES CLASS A,,650111107,US6501111073,2632003,472,472.00000,0.00000,24.760000,USD,1.000000,,,,,,,
EQUITY,NEWS CORP CLASS A,,65249B109,US65249B1098,BBGVT40,1384,1383.75000,0.00000,12.350000,USD,1.000000,,,,,,,
EQUITY,NEWS CORP CLASS B,,65249B208,US65249B2088,BBGVT51,432,432.00000,0.00000,12.500000,USD,1.000000,,,,,,,
EQUITY,NEXSTAR MEDIA GROUP INC CLASS A,,65336K103,US65336K1034,2949758,256,256.00000,0.00000,80.720000,USD,1.000000,,,,,,,
EQUITY,NIELSEN HOLDINGS PLC,,G6518L108,GB00BWFY5505,BWFY550,704,704.00000,0.00000,24.810000,USD,1.000000,,,,,,,
EQUITY,PANDORA MEDIA INC,,698354107,US6983541078,B62N8L5,516,516.00000,0.00000,8.400000,USD,1.000000,,,,,,,
EQUITY,READING INTERNATIONAL NON VOTING I,,755408101,US7554081015,2536440,45,45.00000,0.00000,15.660000,USD,1.000000,,,,,,,
EQUITY,ROKU INC CLASS A,,77543R102,US77543R1023,BZ1LFG7,160,160.00000,0.00000,39.910000,USD,1.000000,,,,,,,
EQUITY,RYMAN HOSPITALITY PROPERTIES REIT,,78377T107,US78377T1079,B8QV5C9,21,21.00000,0.00000,76.420000,USD,1.000000,,,,,,,
EQUITY,SAGA COMMUNICATIONS INC CLASS A,,786598300,US7865983008,2767013,27,27.00000,0.00000,31.560000,USD,1.000000,,,,,,,
EQUITY,SCHOLASTIC CORP,,807066105,US8070661058,2779234,54,54.00000,0.00000,40.670000,USD,1.000000,,,,,,,
EQUITY,SCIENTIFIC GAMES CORP,,80874P109,US80874P1093,2919290,81,81.00000,0.00000,23.370000,USD,1.000000,,,,,,,
EQUITY,SEAWORLD ENTERTAINMENT INC,,81282V100,US81282V1008,B84KWJ4,119,119.00000,0.00000,25.450000,USD,1.000000,,,,,,,
EQUITY,SHENANDOAH TELECOMMUNICATIONS,,82312B106,US82312B1061,2676692,54,54.25000,0.00000,47.580000,USD,1.000000,,,,,,,
EQUITY,SINCLAIR BROADCAST GROUP INC CLASS,,829226109,US8292261091,2799351,430,430.00000,0.00000,29.560000,USD,1.000000,,,,,,,
EQUITY,SIRIUS XM HOLDINGS INC,,82968B103,US82968B1035,BGLDK10,3568,3568.00000,0.00000,5.850000,USD,1.000000,,,,,,,
EQUITY,SIX FLAGS ENTERTAINMENT CORP,,83001A102,US83001A1025,B43VKB8,187,187.00000,0.00000,60.010000,USD,1.000000,,,,,,,
EQUITY,SNAP INC CLASS A,,83304A106,US83304A1060,BD8DJ71,847,846.50000,0.00000,5.930000,USD,1.000000,,,,,,,
EQUITY,SPEEDWAY MOTORSPORTS INC,,847788106,US8477881069,2833765,37,37.00000,0.00000,15.970000,USD,1.000000,,,,,,,
EQUITY,TAKE TWO INTERACTIVE SOFTWARE INC,,874054109,US8740541094,2122117,175,174.50000,0.00000,107.330000,USD,1.000000,,,,,,,
EQUITY,TEGNA INC,,87901J105,US87901J1051,BZ0P3Z5,1073,1073.00000,0.00000,11.460000,USD,1.000000,,,,,,,
EQUITY,THE MARCUS CORP,,566330106,US5663301068,2564827,30,30.00000,0.00000,42.730000,USD,1.000000,,,,,,,
EQUITY,TIVO CORP,,88870P106,US88870P1066,BD8FFY6,327,327.00000,0.00000,11.100000,USD,1.000000,,,,,,,
EQUITY,TRIBUNE MEDIA COMPANY CLASS A,,896047503,US8960475031,B9GRTP5,313,313.00000,0.00000,45.860000,USD,1.000000,,,,,,,
EQUITY,TWENTY FIRST CENTURY FOX INC CLASS,,90130A101,US90130A1016,BBM4S68,1220,1219.50000,0.00000,48.560000,USD,1.000000,,,,,,,
