Fund Level
Fund Name,iShares Core MSCI Europe ETF
Fund Ticker,IEUR
Fund ISIN,US46434V7385
Fund Cusip,46434V738
Fund LEI,
Total NAV per share,43.205595,Jan 22 2019
Distribution per Share,,
Fund Size,3102161721.00,Jan 22 2019
Shares Outstanding,71800000,Jan 22 2019
Baskets Outstanding,718.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,-308.74,Jan 23 2019
Projected Cash for Deliverable Basket,70318.15,Jan 23 2019
Confirmed Cash for Deliverable Basket,81115.76,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,27,27.10027,0.00000,43.858802,EUR,1.000000,,,,,,,
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,437,437.30919,0.00000,10.849282,GBP,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK,,K0514G135,DK0010244425,4253059,2,2.00557,0.00000,1237.985156,DKK,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK B,,K0514G101,DK0010244508,4253048,2,2.78412,0.00000,1320.111936,DKK,1.000000,,,,,,,
EQUITY,A2A,,T0579B105,IT0001233417,5499131,825,825.38997,0.00000,1.782970,EUR,1.000000,,,,,,,
EQUITY,AA PLC,,G0013T104,GB00BMSKPJ95,BMSKPJ9,296,296.96657,0.00000,1.000954,GBP,1.000000,,,,,,,
EQUITY,AAK,,W9609S117,SE0011337708,BF2FPV3,113,113.37604,0.00000,14.564585,SEK,1.000000,,,,,,,
EQUITY,AALBERTS INDUSTRIES NV,,N00089271,NL0000852564,B1W8P14,59,59.24512,0.00000,33.717448,EUR,1.000000,,,,,,,
EQUITY,AAREAL BANK AG,,D00379111,DE0005408116,7380062,30,30.24373,0.00000,32.581798,EUR,1.000000,,,,,,,
EQUITY,ABB LTD,,H0010V101,CH0012221716,7108899,832,832.55849,0.00000,19.181034,CHF,1.000000,,,,,,,
EQUITY,ABC ARBITRAGE SA,,F0011K106,FR0004040608,4121714,91,91.33565,0.00000,6.961534,EUR,1.000000,,,,,,,
EQUITY,ABCAM PLC,,G0060R118,GB00B6774699,B677469,102,102.48885,0.00000,16.133965,GBP,1.000000,,,,,,,
EQUITY,ABN AMRO GROUP NV,,N0162C102,NL0011540547,BYQP136,191,191.33008,0.00000,25.449916,EUR,1.000000,,,,,,,
EQUITY,ACACIA MINING PLC,,G0067D104,GB00B61D2N63,B61D2N6,147,147.23537,0.00000,2.300224,GBP,1.000000,,,,,,,
EQUITY,ACCIONA SA,,E0008Z109,ES0125220311,5579107,12,12.88997,0.00000,90.806573,EUR,1.000000,,,,,,,
EQUITY,ACCOR SA,,F00189120,FR0000120404,5852842,85,85.52506,0.00000,44.233567,EUR,1.000000,,,,,,,
