Fund Level
Fund Name,iShares MSCI Europe Small-Cap ETF
Fund Ticker,IEUS
Fund ISIN,US4642884971
Fund Cusip,464288497
Fund LEI,
Total NAV per share,48.358646,Jan 22 2019
Distribution per Share,,
Fund Size,164419396.40,Jan 22 2019
Shares Outstanding,3400000,Jan 22 2019
Baskets Outstanding,68.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,9708.99,Jan 23 2019
Projected Cash for Deliverable Basket,38860.67,Jan 23 2019
Confirmed Cash for Deliverable Basket,44093.25,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,888 HOLDINGS PLC,,X19526106,GI000A0F6407,B0L4LM9,704,704.16176,0.00000,2.181001,GBP,1.000000,,,,,,,
EQUITY,A2A,,T0579B105,IT0001233417,5499131,3034,3034.91176,0.00000,1.782970,EUR,1.000000,,,,,,,
EQUITY,AA PLC,,G0013T104,GB00BMSKPJ95,BMSKPJ9,1162,1162.52941,0.00000,1.000954,GBP,1.000000,,,,,,,
EQUITY,AAK,,W9609S117,SE0011337708,BF2FPV3,342,342.07352,0.00000,14.564585,SEK,1.000000,,,,,,,
EQUITY,AALBERTS INDUSTRIES NV,,N00089271,NL0000852564,B1W8P14,194,194.95588,0.00000,33.717448,EUR,1.000000,,,,,,,
EQUITY,AANNEMINGSMAATSCHAPPIJ CFE NV,,B27818135,BE0003883031,4318260,15,15.00000,0.00000,104.139103,EUR,1.000000,,,,,,,
EQUITY,AAREAL BANK AG,,D00379111,DE0005408116,7380062,111,111.72058,0.00000,32.581798,EUR,1.000000,,,,,,,
EQUITY,ABC ARBITRAGE SA,,F0011K106,FR0004040608,4121714,63,63.98529,0.00000,6.961534,EUR,1.000000,,,,,,,
EQUITY,ABCAM PLC,,G0060R118,GB00B6774699,B677469,356,356.50000,0.00000,16.133965,GBP,1.000000,,,,,,,
EQUITY,ACACIA MINING PLC,,G0067D104,GB00B61D2N63,B61D2N6,320,320.85294,0.00000,2.300224,GBP,1.000000,,,,,,,
EQUITY,ACADEMEDIA,,W1202M266,SE0007897079,BDHFV61,160,160.02941,0.00000,5.094836,SEK,1.000000,,,,,,,
EQUITY,ACCELL GROUP NV,,N00432257,NL0009767532,B051DV9,43,43.69117,0.00000,21.372933,EUR,1.000000,,,,,,,
EQUITY,ACCESSO TECHNOLOGY GROUP PLC,,G1150H101,GB0001771426,0177142,52,52.35294,0.00000,19.049742,GBP,1.000000,,,,,,,
EQUITY,ACCIONA SA,,E0008Z109,ES0125220311,5579107,44,44.94117,0.00000,90.806573,EUR,1.000000,,,,,,,
EQUITY,ACEA,,T0040K106,IT0001207098,5728125,105,105.63235,0.00000,14.513607,EUR,1.000000,,,,,,,
EQUITY,ACERINOX SA,,E00460233,ES0132105018,B01ZVZ5,324,324.04411,0.00000,10.359399,EUR,1.000000,,,,,,,
EQUITY,ACKERMANS & VAN HAAREN NV,,B01165156,BE0003764785,5715774,45,45.42647,0.00000,158.309608,EUR,1.000000,,,,,,,
EQUITY,ADLER REAL ESTATE AG,,D0190J112,DE0005008007,7100099,68,68.79411,0.00000,15.944526,EUR,1.000000,,,,,,,
EQUITY,ADO PROPERTIES,,L0120V103,LU1250154413,BYNXBZ5,56,56.16176,0.00000,56.952847,EUR,1.000000,,,,,,,
EQUITY,ADVA OPTICAL NETWORKING,,D0190E105,DE0005103006,5653487,82,82.95588,0.00000,7.994976,EUR,1.000000,,,,,,,
EQUITY,ADVANCED MEDICAL SOLUTIONS GROUP P,,G0098X103,GB0004536594,0453659,375,375.19117,0.00000,3.822907,GBP,1.000000,,,,,,,
EQUITY,AED OIL LTD,,Q0143K105,AU000000AED9,B06YXJ5,0,0.00000,167.57352,0.000007,AUD,1.000000,,,,,,,
EQUITY,AEDAS HOMES SA,,E01587109,ES0105287009,BYP70L4,48,48.61764,0.00000,26.278941,EUR,1.000000,,,,,,,
EQUITY,AEDIFICA REIT SA,,B0130A108,BE0003851681,B1G5XP1,36,36.00000,0.00000,87.672179,EUR,1.000000,,,,,,,
EQUITY,AEROPORTO GUGLIELMO MARCONI DI BOL,,T0R53S104,IT0001006128,BYMXF10,25,25.01470,0.00000,13.173540,EUR,1.000000,,,,,,,
EQUITY,AF CLASS B,,W05244111,SE0005999836,BN791J6,124,124.10294,0.00000,18.330334,SEK,1.000000,,,,,,,
EQUITY,AFRICA ISRAEL INVESTMENTS LTD,,M02005102,IL0006110121,6008116,0,0.00735,0.00000,0.033157,ILS,1.000000,,,,,,,
EQUITY,AGFA-GEVAERT NV,,B0302M104,BE0003755692,5689051,332,332.66176,0.00000,3.852125,EUR,1.000000,,,,,,,
EQUITY,AGGREKO PLC,,G0116S185,GB00BK1PTB77,BK1PTB7,505,505.01470,0.00000,9.213855,GBP,1.000000,,,,,,,
EQUITY,AGRANA BETEILIGUNGS AG,,A0091P145,AT000AGRANA3,BF0X9L7,24,24.70588,0.00000,19.510467,EUR,1.000000,,,,,,,
EQUITY,AHLSELL,,W0300J126,SE0009155005,BD6DG27,634,634.66176,0.00000,5.903364,SEK,1.000000,,,,,,,
EQUITY,AIR FRANCE-KLM SA,,F01699135,FR0000031122,4916039,380,380.00000,0.00000,12.140098,EUR,1.000000,,,,,,,
EQUITY,AIXTRON,,D0257Y135,DE000A0WMPJ6,5468346,222,222.29411,0.00000,9.373655,EUR,1.000000,,,,,,,
EQUITY,AKASTOR,,R0046B102,NO0010215684,B1VLVW7,283,283.33823,0.00000,1.502719,NOK,1.000000,,,,,,,
EQUITY,AKER,,R0114P108,NO0010234552,B02R4D9,43,43.67647,0.00000,68.157367,NOK,1.000000,,,,,,,
EQUITY,AKER SOLUTIONS,,R0138P118,NO0010716582,BQN1C50,293,293.36764,0.00000,5.385130,NOK,1.000000,,,,,,,
EQUITY,AKKA TECHNOLOGIES,,F0181L108,FR0004180537,B188LG5,21,21.79411,0.00000,58.485974,EUR,1.000000,,,,,,,
EQUITY,AKTIA BANK CLASS A,,X0R45W101,FI4000058870,BBVJ5R4,94,94.11764,0.00000,10.834101,EUR,1.000000,,,,,,,
EQUITY,AKWEL SA,,F6179U109,FR0000053027,4569530,18,18.64705,0.00000,18.124974,EUR,1.000000,,,,,,,
EQUITY,ALBIOMA SA,,F0190K109,FR0000060402,B188CY0,50,50.25000,0.00000,22.485870,EUR,1.000000,,,,,,,
EQUITY,ALD SA,,F0195N108,FR0013258662,BF03BV1,198,198.05882,0.00000,13.593730,EUR,1.000000,,,,,,,
EQUITY,ALFA FINANCIAL SOFTWARE HOLDINGS P,,G01682106,GB00BDHXPG30,BDHXPG3,155,155.58823,0.00000,1.674304,GBP,1.000000,,,,,,,
EQUITY,ALIMAK GROUP,,W1R155105,SE0007158910,BZ0Y0T5,98,98.19117,0.00000,13.047210,SEK,1.000000,,,,,,,
EQUITY,ALK-ABELLO B,,K03294111,DK0060027142,B0VL7C2,12,12.98529,0.00000,160.907653,DKK,1.000000,,,,,,,
EQUITY,ALLIANCE PHARMA PLC,,G0179G102,GB0031030819,3103081,739,739.39705,0.00000,0.842336,GBP,1.000000,,,,,,,
EQUITY,ALLREAL HOLDING AG,,H0151D100,CH0008837566,5914270,26,26.22058,0.00000,162.690457,CHF,1.000000,,,,,,,
EQUITY,ALM BRAND,,K0302B157,DK0015250344,4350024,126,126.01470,0.00000,8.258304,DKK,1.000000,,,,,,,
EQUITY,ALMIRALL SA,,E0459H111,ES0157097017,B1YY662,118,118.67647,0.00000,16.637272,EUR,1.000000,,,,,,,
EQUITY,ALSO HOLDING AG,,H0178Q159,CH0024590272,B11TD81,11,11.44117,0.00000,125.701684,CHF,1.000000,,,,,,,
EQUITY,ALSTRIA OFFICE REIT AG,,D0378R100,DE000A0LD2U1,B1VP947,294,294.88235,0.00000,14.479537,EUR,1.000000,,,,,,,
EQUITY,ALTEN SA,,F02626103,FR0000071946,5608915,55,55.63235,0.00000,89.148524,EUR,1.000000,,,,,,,
EQUITY,ALTRAN TECHNOLOGIES SA,,F02646101,FR0000034639,4907732,455,455.89705,0.00000,9.374791,EUR,1.000000,,,,,,,
EQUITY,ALTRI SGPS SA,,X0142R103,PTALT0AE0002,B13ZSL5,121,121.30882,0.00000,7.847341,EUR,1.000000,,,,,,,
EQUITY,AMADEUS FIRE AG,,D0349N105,DE0005093108,5623662,10,10.36764,0.00000,101.867804,EUR,1.000000,,,,,,,
EQUITY,AMBU CLASS B,,K03293147,DK0060946788,BD9G333,316,316.30882,0.00000,22.752160,DKK,1.000000,,,,,,,
EQUITY,AMER SPORTS,,X01416118,FI0009000285,4024006,216,216.50000,0.00000,44.063219,EUR,1.000000,,,,,,,
EQUITY,AMG ADVANCED METALLURGICAL GROUP N,,N04897109,NL0000888691,B1Z95S1,55,55.98529,0.00000,35.114297,EUR,1.000000,,,,,,,
EQUITY,AMIGO HOLDINGS PLC,,,GB00BFFK8T45,BFFK8T4,229,229.39705,0.00000,3.316858,GBP,1.000000,,,,,,,
EQUITY,AMPLIFON,,T0388E118,IT0004056880,B14NJ71,153,153.77941,0.00000,18.318034,EUR,1.000000,,,,,,,
EQUITY,AMS AG,,A0400Q115,AT0000A18XM4,BPF0548,157,157.32352,0.00000,25.180433,CHF,1.000000,,,,,,,
EQUITY,ANIMA HOLDING,,T0409R106,IT0004998065,BLLJ381,587,587.58823,0.00000,4.201905,EUR,1.000000,,,,,,,
EQUITY,AO WORLD PLC,,G0403D107,GB00BJTNFH41,BJTNFH4,443,443.41176,0.00000,1.697630,GBP,1.000000,,,,,,,
EQUITY,APERAM SA,,L0187K107,LU0569974404,B58C6H1,100,100.70588,0.00000,28.629736,EUR,1.000000,,,,,,,
EQUITY,APG SGA SA,,H0281K107,CH0019107025,B01Z4C3,2,2.82352,0.00000,330.793905,CHF,1.000000,,,,,,,
EQUITY,APPLUS SERVICES SA,,E0534T106,ES0105022000,BM677T6,249,249.89705,0.00000,11.401926,EUR,1.000000,,,,,,,
EQUITY,AQUAFIL,,T8T12G101,IT0005241192,BDZW409,26,26.05882,0.00000,10.606971,EUR,1.000000,,,,,,,
EQUITY,ARBONIA AG,,H0267A107,CH0110240600,7132735,89,89.07352,0.00000,11.928629,CHF,1.000000,,,,,,,
EQUITY,ARCADIS NV,,N0605M147,NL0006237562,5769209,138,138.72058,0.00000,13.162183,EUR,1.000000,,,,,,,
EQUITY,ARGENX,,N0610Q109,NL0010832176,BNHKYX4,50,50.47058,0.00000,105.274753,EUR,1.000000,,,,,,,
EQUITY,ARJO CLASS B,,W0634J115,SE0010468116,BF17YL3,454,454.47058,0.00000,3.477779,SEK,1.000000,,,,,,,
EQUITY,ARNOLDO MONDADORI EDITORE,,T6901G126,IT0001469383,4084895,260,260.07352,0.00000,1.953318,EUR,1.000000,,,,,,,
EQUITY,ARROW GLOBAL PLC,,G05163103,GB00BDGTXM47,BDGTXM4,329,329.72058,0.00000,2.459620,GBP,1.000000,,,,,,,
EQUITY,ARYZTA AG,,H0336B110,CH0043238366,B39VJC9,2006,2006.01470,0.00000,1.147253,CHF,1.000000,,,,,,,
EQUITY,ASCENTIAL PLC,,G0519G101,GB00BYM8GJ06,BYM8GJ0,749,749.77941,0.00000,5.007361,GBP,1.000000,,,,,,,
EQUITY,ASCOM HOLDING AG,,H0309F189,CH0011339204,4697378,66,66.67647,0.00000,12.510024,CHF,1.000000,,,,,,,
EQUITY,ASCOPIAVE,,T0448P103,IT0004093263,B1JMNT3,141,141.07352,0.00000,3.617045,EUR,1.000000,,,,,,,
EQUITY,ASHMORE GROUP PLC,,G0609C101,GB00B132NW22,B132NW2,767,767.13235,0.00000,5.051421,GBP,1.000000,,,,,,,
EQUITY,ASM INTERNATIONAL NV,,N07045201,NL0000334118,5165294,80,80.14705,0.00000,43.926941,EUR,1.000000,,,,,,,
EQUITY,ASOS PLC,,G0536Q108,GB0030927254,3092725,105,105.75000,0.00000,39.434262,GBP,1.000000,,,,,,,
EQUITY,ASR NEDERLAND NV,,N0709G103,NL0011872643,BD9PNF2,276,276.55882,0.00000,42.155327,EUR,1.000000,,,,,,,
EQUITY,ASSURA REIT PLC,,G2386T109,GB00BVGBWW93,BVGBWW9,4684,4684.54411,0.00000,0.711450,GBP,1.000000,,,,,,,
EQUITY,ASSYSTEM SA,,F0427A122,FR0000074148,5797921,13,13.07352,0.00000,33.274545,EUR,1.000000,,,,,,,
EQUITY,ASTM,,T0510N101,IT0000084027,4063980,77,77.17647,0.00000,21.622776,EUR,1.000000,,,,,,,
EQUITY,AT & S AUSTRIA TECHNOLOGIE & SYSTE,,A05345110,AT0000969985,B2RK5K1,50,50.01470,0.00000,19.419615,EUR,1.000000,,,,,,,
EQUITY,ATEA,,R0728G106,NO0004822503,B12TR11,159,159.35294,0.00000,13.305807,NOK,1.000000,,,,,,,
EQUITY,ATRESMEDIA CORP SA,,E0728T102,ES0109427734,B07VZ99,179,179.44117,0.00000,4.760645,EUR,1.000000,,,,,,,
EQUITY,ATTENDO,,W1R94Z285,SE0007666110,BZ1N262,206,206.39705,0.00000,8.461858,SEK,1.000000,,,,,,,
EQUITY,AUBAY SA,,F0483W109,FR0000063737,5997323,11,11.72058,0.00000,36.624712,EUR,1.000000,,,,,,,
EQUITY,AUMANN AG,,D0R9AW106,DE000A2DAM03,BYW82K3,16,16.04411,0.00000,39.463837,EUR,1.000000,,,,,,,
EQUITY,AURELIUS,,D0R9AT103,DE000A0JK2A8,B17NLM7,44,44.75000,0.00000,39.793175,EUR,1.000000,,,,,,,
EQUITY,AURUBIS AG,,D10004105,DE0006766504,5485527,75,75.00000,0.00000,51.899204,EUR,1.000000,,,,,,,
EQUITY,AUSTEVOLL SEAFOOD,,R0814U100,NO0010073489,B16MKT5,176,176.38235,0.00000,13.468640,NOK,1.000000,,,,,,,
EQUITY,AUTOGRILL,,T8347V105,IT0001137345,5256206,253,253.02941,0.00000,8.806966,EUR,1.000000,,,,,,,
EQUITY,AUTONEUM HOLDING AG,,H04165108,CH0127480363,B4YCYX0,5,5.57352,0.00000,166.198877,CHF,1.000000,,,,,,,
EQUITY,AVANZA BANK HOLDING,,W1793B109,SE0000170110,4408752,43,43.88235,0.00000,48.068670,SEK,1.000000,,,,,,,
EQUITY,AVAST PLC,,G0713S109,GB00BDD85M81,BDD85M8,552,552.98529,0.00000,3.685542,GBP,1.000000,,,,,,,
EQUITY,AVEVA GROUP PLC,,G06812120,GB00BBG9VN75,BBG9VN7,125,125.00000,0.00000,36.181551,GBP,1.000000,,,,,,,
