Fund Level
Fund Name,iShares Europe Developed Real Estate ETF
Fund Ticker,IFEU
Fund ISIN,US4642884716
Fund Cusip,464288471
Fund LEI,
Total NAV per share,36.346540,Jan 22 2019
Distribution per Share,,
Fund Size,30894559.00,Jan 22 2019
Shares Outstanding,850000,Jan 22 2019
Baskets Outstanding,17.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,7919.59,Jan 23 2019
Projected Cash for Deliverable Basket,15311.61,Jan 23 2019
Confirmed Cash for Deliverable Basket,15334.12,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ADLER REAL ESTATE AG,,D0190J112,DE0005008007,7100099,208,208.23529,0.00000,15.944526,EUR,1.000000,,,,,,,
EQUITY,ADO PROPERTIES,,L0120V103,LU1250154413,BYNXBZ5,208,208.64705,0.00000,56.952847,EUR,1.000000,,,,,,,
EQUITY,AEDIFICA REIT SA,,B0130A108,BE0003851681,B1G5XP1,130,130.47058,0.00000,87.672179,EUR,1.000000,,,,,,,
EQUITY,ALLREAL HOLDING AG,,H0151D100,CH0008837566,5914270,100,100.23529,0.00000,162.690457,CHF,1.000000,,,,,,,
EQUITY,ALSTRIA OFFICE REIT AG,,D0378R100,DE000A0LD2U1,B1VP947,1131,1131.29411,0.00000,14.479537,EUR,1.000000,,,,,,,
EQUITY,AROUNDTOWN PROPERTY HOLDINGS SA,,L0269F109,LU1673108939,BF0CK44,4765,4765.52941,0.00000,8.500340,EUR,1.000000,,,,,,,
EQUITY,ASSURA REIT PLC,,G2386T109,GB00BVGBWW93,BVGBWW9,16777,16777.76470,0.00000,0.711450,GBP,1.000000,,,,,,,
EQUITY,BEFIMMO SA,,B09186105,BE0003678894,4082628,137,137.76470,0.00000,56.044327,EUR,1.000000,,,,,,,
EQUITY,BIG YELLOW GROUP PLC,,G1093E108,GB0002869419,0286941,1088,1088.76470,0.00000,12.155550,GBP,1.000000,,,,,,,
EQUITY,BRITISH LAND REIT PLC,,G15540118,GB0001367019,0136701,6930,6930.52941,0.00000,7.218167,GBP,1.000000,,,,,,,
