Fund Level
Fund Name,iShares International Developed Real Estate ETF
Fund Ticker,IFGL
Fund ISIN,US4642884898
Fund Cusip,464288489
Fund LEI,
Total NAV per share,28.525842,Jan 22 2019
Distribution per Share,,
Fund Size,499202235.00,Jan 22 2019
Shares Outstanding,17500000,Jan 22 2019
Baskets Outstanding,175.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,-1518.13,Jan 23 2019
Projected Cash for Deliverable Basket,39090.75,Jan 23 2019
Confirmed Cash for Deliverable Basket,39127.07,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACTIVIA PROPERTIES REIT INC,,J00089102,JP3047490002,B8BSRY1,2,2.56000,0.00000,4184.941520,JPY,1.000000,,,,,,,
EQUITY,ADLER REAL ESTATE AG,,D0190J112,DE0005008007,7100099,119,119.01142,0.00000,15.944526,EUR,1.000000,,,,,,,
EQUITY,ADO PROPERTIES,,L0120V103,LU1250154413,BYNXBZ5,120,120.33714,0.00000,56.952847,EUR,1.000000,,,,,,,
EQUITY,ADVANCE RESIDENCE INVESTMENT REIT,,J00184101,JP3047160001,B62WZW2,5,5.18857,0.00000,2928.545322,JPY,1.000000,,,,,,,
EQUITY,AEDIFICA REIT SA,,B0130A108,BE0003851681,B1G5XP1,75,75.00000,0.00000,87.672179,EUR,1.000000,,,,,,,
EQUITY,AEON MALL LTD,,J10005106,JP3131430005,6534202,500,500.00000,0.00000,16.091009,JPY,1.000000,,,,,,,
EQUITY,AEON REIT INVESTMENT REIT CORP,,J10006104,JP3047650001,BFSSCF9,6,6.00000,0.00000,1193.347953,JPY,1.000000,,,,,,,
EQUITY,ALLIED PROPERTIES REAL ESTATE INVE,,019456102,CA0194561027,2387701,410,410.46857,0.00000,34.604281,CAD,1.000000,,,,,,,
EQUITY,ALLREAL HOLDING AG,,H0151D100,CH0008837566,5914270,58,58.00000,0.00000,162.690457,CHF,1.000000,,,,,,,
EQUITY,ALSTRIA OFFICE REIT AG,,D0378R100,DE000A0LD2U1,B1VP947,655,655.00000,0.00000,14.479537,EUR,1.000000,,,,,,,
EQUITY,AROUNDTOWN PROPERTY HOLDINGS SA,,L0269F109,LU1673108939,BF0CK44,2734,2734.00000,0.00000,8.500340,EUR,1.000000,,,,,,,
EQUITY,ARTIS REAL ESTATE INVESTMENT TRUST,,04315L105,CA04315L1058,B0XZXV3,572,572.00000,0.00000,7.535710,CAD,1.000000,,,,,,,
EQUITY,ASCENDAS REAL ESTATE INVESTMENT TR,,Y0205X103,SG1M77906915,6563875,10100,10100.54285,0.00000,1.992794,SGD,1.000000,,,,,,,
EQUITY,ASSURA REIT PLC,,G2386T109,GB00BVGBWW93,BVGBWW9,9722,9722.41142,0.00000,0.711450,GBP,1.000000,,,,,,,
EQUITY,AZRIELI GROUP LTD,,M1571Q105,IL0011194789,B5MN1W0,150,150.52571,0.00000,49.843729,ILS,1.000000,,,,,,,
EQUITY,BEFIMMO SA,,B09186105,BE0003678894,4082628,79,79.00571,0.00000,56.044327,EUR,1.000000,,,,,,,
EQUITY,BGP HOLDINGS PLC - UNLISTED,,,MV3357358ZDD,9933572,0,0.00000,37733.66857,0.000011,EUR,1.000000,,,,,,,
EQUITY,BIG YELLOW GROUP PLC,,G1093E108,GB0002869419,0286941,614,614.00000,0.00000,12.155550,GBP,1.000000,,,,,,,
EQUITY,BOARDWALK REAL ESTATE INVESTMENT T,,096631106,CA0966311064,B011205,156,156.00000,0.00000,29.318037,CAD,1.000000,,,,,,,
EQUITY,BRITISH LAND REIT PLC,,G15540118,GB0001367019,0136701,4033,4033.00571,0.00000,7.218167,GBP,1.000000,,,,,,,
EQUITY,BWP TRUST,,Q1892D102,AU000000BWP3,6127453,2004,2004.00000,0.00000,2.612507,AUD,1.000000,,,,,,,
EQUITY,CA IMMOBILIEN ANLAGEN AG,,A1144Q155,AT0000641352,5681046,285,285.00000,0.00000,34.660037,EUR,1.000000,,,,,,,
EQUITY,CANADIAN APARTMENT PROPERTIES REAL,,134921105,CA1349211054,2117599,587,587.30285,0.00000,34.109399,CAD,1.000000,,,,,,,
EQUITY,CAPITAL & COUNTIES PROPERTIES PLC,,G19406100,GB00B62G9D36,B62G9D3,3059,3059.00000,0.00000,3.092019,GBP,1.000000,,,,,,,
EQUITY,CAPITAL & REGIONAL REIT PLC,,G1846K138,GB0001741544,0174154,2288,2288.00000,0.00000,0.380995,GBP,1.000000,,,,,,,
EQUITY,CAPITALAND,,Y10923103,SG1J27887962,6309303,10300,10300.00000,0.00000,2.404589,SGD,1.000000,,,,,,,
