Fund Level
Fund Name,iShares Global Infrastructure ETF
Fund Ticker,IGF
Fund ISIN,US4642883726
Fund Cusip,464288372
Fund LEI,
Total NAV per share,41.440854,Jan 22 2019
Distribution per Share,,
Fund Size,2594197460.40,Jan 22 2019
Shares Outstanding,62600000,Jan 22 2019
Baskets Outstanding,626.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,15638.6,Jan 23 2019
Projected Cash for Deliverable Basket,47640.88,Jan 23 2019
Confirmed Cash for Deliverable Basket,47693.13,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AENA SME SA,,E526K0106,ES0105046009,BVRZ8L1,1161,1161.06389,0.00000,166.997330,EUR,1.000000,,,,,,,
EQUITY,AEROPORTS DE PARIS SA,,F00882104,FR0010340141,B164FY1,513,513.22523,0.00000,188.745027,EUR,1.000000,,,,,,,
EQUITY,AMERICAN ELECTRIC POWER INC,,025537101,US0255371017,2026242,1046,1046.96805,0.00000,76.380000,USD,1.000000,,,,,,,
EQUITY,ASTM,,T0510N101,IT0000084027,4063980,557,557.52555,0.00000,21.622776,EUR,1.000000,,,,,,,
EQUITY,ATLANTIA,,T05404107,IT0003506190,7667163,7388,7388.57188,0.00000,22.639182,EUR,1.000000,,,,,,,
EQUITY,ATLAS ARTERIA STAPLED UNITS,,Q06180105,AU0000013559,BZ03TZ1,10336,10336.73162,0.00000,4.575457,AUD,1.000000,,,,,,,
EQUITY,AUCKLAND INTERNATIONAL AIRPORT LTD,,Q06213146,NZAIAE0002S6,BKX3XG2,14696,14696.88178,0.00000,5.000390,NZD,1.000000,,,,,,,
EQUITY,BBA AVIATION PLC,,G08932165,GB00B1FP8915,B1FP891,14106,14106.45846,0.00000,3.032408,GBP,1.000000,,,,,,,
EQUITY,BEIJING CAPITAL INTERNATIONAL AIRP,,Y07717104,CNE100000221,6208422,22000,22421.72523,0.00000,0.926634,HKD,1.000000,,,,,,,
EQUITY,BEIJING ENTERPRISES WATER GROUP LT,,G0957L109,BMG0957L1090,B01YCG0,10000,11492.01277,0.00000,0.560824,HKD,1.000000,,,,,,,
EQUITY,CHENIERE ENERGY INC,,16411R208,US16411R2085,2654364,669,669.53514,0.00000,63.020000,USD,1.000000,,,,,,,
EQUITY,CHINA GAS HOLDINGS LTD,,G2109G103,BMG2109G1033,6460794,4600,4724.92012,0.00000,3.243856,HKD,1.000000,,,,,,,
EQUITY,CHINA MERCHANTS PORT HOLDINGS LTD,,Y1489Q103,HK0144000764,6416139,18000,19779.55271,0.00000,1.965433,HKD,1.000000,,,,,,,
EQUITY,CHINA RESOURCES POWER LTD,,Y1503A100,HK0836012952,6711566,2000,3785.94249,0.00000,1.962884,HKD,1.000000,,,,,,,
EQUITY,CLP HOLDINGS LTD,,Y1660Q104,HK0002007356,6097017,3500,3863.41853,0.00000,11.586112,HKD,1.000000,,,,,,,
EQUITY,COMPANHIA DE SANEAMENTO BASICO DO,,20441A102,US20441A1025,2945927,719,719.16613,0.00000,10.780000,USD,1.000000,,,,,,,
EQUITY,CONSOLIDATED EDISON INC,,209115104,US2091151041,2216850,661,661.44089,0.00000,76.740000,USD,1.000000,,,,,,,
EQUITY,COSCO SHIPPING PORTS LTD,,G2442N104,BMG2442N1048,6354251,26000,26431.30990,0.00000,1.051545,HKD,1.000000,,,,,,,
EQUITY,DOMINION ENERGY INC,,25746U109,US25746U1097,2542049,1389,1389.13578,0.00000,68.590000,USD,1.000000,,,,,,,
EQUITY,DTE ENERGY,,233331107,US2333311072,2280220,385,385.72044,0.00000,113.040000,USD,1.000000,,,,,,,
EQUITY,DUKE ENERGY CORP,,26441C204,US26441C2044,B7VD3F2,1513,1513.43290,0.00000,85.610000,USD,1.000000,,,,,,,
EQUITY,E.ON N,,D24914133,DE000ENAG999,4942904,4680,4680.70766,0.00000,10.298074,EUR,1.000000,,,,,,,
EQUITY,EDISON INTERNATIONAL,,281020107,US2810201077,2829515,691,691.36421,0.00000,54.210000,USD,1.000000,,,,,,,
EQUITY,ENAGAS SA,,E41759106,ES0130960018,7383072,0,375.39936,0.00000,28.107337,EUR,1.000000,,,,,,,
EQUITY,ENAV SPA,,T3R4KN103,IT0005176406,BD0CRV6,4033,4033.08626,0.00000,4.980961,EUR,1.000000,,,,,,,
