Fund Level
Fund Name,iShares Expanded Tech Sector ETF
Fund Ticker,IGM
Fund ISIN,US4642875490
Fund Cusip,464287549
Fund LEI,
Total NAV per share,181.406395,Jan 22 2019
Distribution per Share,,
Fund Size,1405899561.25,Jan 22 2019
Shares Outstanding,7750000,Jan 22 2019
Baskets Outstanding,155.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,13082.54,Jan 23 2019
Projected Cash for Deliverable Basket,20239.42,Jan 23 2019
Confirmed Cash for Deliverable Basket,20343.61,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,2U INC,,90214J101,US90214J1016,BKWBZZ0,79,79.16129,0.00000,56.350000,USD,1.000000,,,,,,,
EQUITY,3D SYSTEMS CORP,,88554D205,US88554D2053,2889768,153,153.18710,0.00000,10.870000,USD,1.000000,,,,,,,
EQUITY,8X8 INC,,282914100,US2829141009,2037170,127,127.34194,0.00000,20.210000,USD,1.000000,,,,,,,
EQUITY,ACACIA COMMUNICATIONS INC,,00401C108,US00401C1080,BYXPCC5,38,38.25806,0.00000,41.280000,USD,1.000000,,,,,,,
EQUITY,ACCENTURE PLC CLASS A,,G1151C101,IE00B4BNMY34,B4BNMY3,864,863.82581,0.00000,148.970000,USD,1.000000,,,,,,,
EQUITY,ACI WORLDWIDE INC,,004498101,US0044981019,2889155,156,156.25161,0.00000,28.230000,USD,1.000000,,,,,,,
EQUITY,ACTIVISION BLIZZARD INC,,00507V109,US00507V1098,2575818,1034,1034.03226,0.00000,47.060000,USD,1.000000,,,,,,,
EQUITY,ADOBE INC,,00724F101,US00724F1012,2008154,661,661.49032,0.00000,243.850000,USD,1.000000,,,,,,,
EQUITY,ADVANCED ENERGY INDUSTRIES INC,,007973100,US0079731008,2049175,53,52.53548,0.00000,45.630000,USD,1.000000,,,,,,,
EQUITY,ADVANCED MICRO DEVICES INC,,007903107,US0079031078,2007849,1192,1191.80645,0.00000,19.760000,USD,1.000000,,,,,,,
EQUITY,AKAMAI TECHNOLOGIES INC,,00971T101,US00971T1016,2507457,221,221.18710,0.00000,64.510000,USD,1.000000,,,,,,,
EQUITY,ALARM.COM HOLDINGS INC,,011642105,US0116421050,BYN7H26,47,46.91613,0.00000,59.400000,USD,1.000000,,,,,,,
EQUITY,ALLIANCE DATA SYSTEMS CORP,,018581108,US0185811082,2762030,63,63.22581,0.00000,170.690000,USD,1.000000,,,,,,,
EQUITY,ALPHABET INC CLASS A,,02079K305,US02079K3059,BYVY8G0,360,359.51613,0.00000,1078.630000,USD,1.000000,,,,,,,
EQUITY,ALPHABET INC CLASS C,,02079K107,US02079K1079,BYY88Y7,370,369.97419,0.00000,1070.520000,USD,1.000000,,,,,,,
EQUITY,ALTERYX INC CLASS A,,02156B103,US02156B1035,BYWMQJ2,41,40.62581,0.00000,71.980000,USD,1.000000,,,,,,,
EQUITY,AMAZON COM INC,,023135106,US0231351067,2000019,470,469.63871,0.00000,1632.170000,USD,1.000000,,,,,,,
EQUITY,AMKOR TECHNOLOGY INC,,031652100,US0316521006,2242929,174,173.58710,0.00000,7.280000,USD,1.000000,,,,,,,
EQUITY,AMPHENOL CORP CLASS A,,032095101,US0320951017,2145084,408,408.34194,0.00000,81.170000,USD,1.000000,,,,,,,
EQUITY,ANALOG DEVICES INC,,032654105,US0326541051,2032067,502,501.60645,0.00000,89.130000,USD,1.000000,,,,,,,
EQUITY,ANIXTER INTERNATIONAL INC,,035290105,US0352901054,2468844,39,38.66452,0.00000,59.350000,USD,1.000000,,,,,,,
EQUITY,ANSYS INC,,03662Q105,US03662Q1058,2045623,113,113.37419,0.00000,161.030000,USD,1.000000,,,,,,,
EQUITY,APPLE INC,,037833100,US0378331005,2046251,4556,4555.96129,0.00000,153.300000,USD,1.000000,,,,,,,
EQUITY,APPLIED MATERIAL INC,,038222105,US0382221051,2046552,1332,1332.07742,0.00000,34.440000,USD,1.000000,,,,,,,
EQUITY,ARISTA NETWORKS INC,,040413106,US0404131064,BN33VM5,71,70.52258,0.00000,222.990000,USD,1.000000,,,,,,,
EQUITY,ARRIS INTERNATIONAL PLC,,G0551A103,GB00BZ04Y379,BZ04Y37,221,220.54839,0.00000,30.690000,USD,1.000000,,,,,,,
EQUITY,ARROW ELECTRONICS INC,,042735100,US0427351004,2051404,118,117.97419,0.00000,73.710000,USD,1.000000,,,,,,,
EQUITY,ASPEN TECHNOLOGY INC,,045327103,US0453271035,2051868,96,95.92258,0.00000,88.930000,USD,1.000000,,,,,,,
EQUITY,AUTODESK INC,,052769106,US0527691069,2065159,297,296.78065,0.00000,139.060000,USD,1.000000,,,,,,,
EQUITY,AUTOMATIC DATA PROCESSING INC,,053015103,US0530151036,2065308,593,593.18710,0.00000,133.170000,USD,1.000000,,,,,,,
EQUITY,AVAYA HOLDINGS CORP,,05351X101,US05351X1019,BD9G9B3,138,137.56774,0.00000,14.700000,USD,1.000000,,,,,,,
EQUITY,AVNET INC,,053807103,US0538071038,2066505,150,150.10323,0.00000,41.250000,USD,1.000000,,,,,,,
EQUITY,AVX CORP,,002444107,US0024441075,2053983,65,64.68387,0.00000,16.210000,USD,1.000000,,,,,,,
EQUITY,BADGER METER INC,,056525108,US0565251081,2069128,39,39.29032,0.00000,51.670000,USD,1.000000,,,,,,,
EQUITY,BELDEN INC,,077454106,US0774541066,B01WL78,55,54.85806,0.00000,50.920000,USD,1.000000,,,,,,,
EQUITY,BENCHMARK ELECTRONICS INC,,08160H101,US08160H1014,2090816,59,58.98710,0.00000,23.440000,USD,1.000000,,,,,,,
EQUITY,BENEFITFOCUS INC,,08180D106,US08180D1063,BDFN1P6,31,31.49032,0.00000,53.870000,USD,1.000000,,,,,,,
EQUITY,BLACK KNIGHT INC,,09215C105,US09215C1053,BDG75V1,191,191.28387,0.00000,48.600000,USD,1.000000,,,,,,,
EQUITY,BLACKBAUD INC,,09227Q100,US09227Q1004,2458878,65,65.48387,0.00000,68.360000,USD,1.000000,,,,,,,
EQUITY,BLACKBERRY LTD,,09228F103,CA09228F1036,BCBHZ42,664,663.76129,0.00000,7.600000,USD,1.000000,,,,,,,
