Fund Level
Fund Name,iShares International Dividend Growth ETF
Fund Ticker,IGRO
Fund ISIN,US46435G5247
Fund Cusip,46435G524
Fund LEI,
Total NAV per share,51.649323,Jan 22 2019
Distribution per Share,,
Fund Size,72309052.20,Jan 22 2019
Shares Outstanding,1400000,Jan 22 2019
Baskets Outstanding,28.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,1583.9,Jan 23 2019
Projected Cash for Deliverable Basket,65946.5,Jan 23 2019
Confirmed Cash for Deliverable Basket,68057.64,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,A2A,,T0579B105,IT0001233417,5499131,1114,1114.00000,0.00000,1.782970,EUR,1.000000,,,,,,,
EQUITY,AAK,,W9609S117,SE0011337708,BF2FPV3,93,93.00000,0.00000,14.564585,SEK,1.000000,,,,,,,
EQUITY,AALBERTS INDUSTRIES NV,,N00089271,NL0000852564,B1W8P14,49,49.00000,0.00000,33.717448,EUR,1.000000,,,,,,,
EQUITY,ABB LTD,,H0010V101,CH0012221716,7108899,1170,1170.00000,0.00000,19.181034,CHF,1.000000,,,,,,,
EQUITY,ACEA,,T0040K106,IT0001207098,5728125,53,53.00000,0.00000,14.513607,EUR,1.000000,,,,,,,
EQUITY,AEON DELIGHT LTD,,J0036F104,JP3389700000,6476218,0,3.57142,0.00000,36.823830,JPY,1.000000,,,,,,,
EQUITY,AEON LTD,,J00288100,JP3388200002,6480048,200,200.00000,0.00000,20.134320,JPY,1.000000,,,,,,,
EQUITY,AF CLASS B,,W05244111,SE0005999836,BN791J6,57,57.17857,0.00000,18.330334,SEK,1.000000,,,,,,,
EQUITY,AIA GROUP LTD,,Y002A1105,HK0000069689,B4TX8S1,3200,3200.00000,0.00000,8.769246,HKD,1.000000,,,,,,,
EQUITY,AIR LIQUIDE SA,,F01764103,FR0000120073,B1YXBJ7,163,163.00000,0.00000,119.129683,EUR,1.000000,,,,,,,
EQUITY,AIRBUS GROUP,,N0280G100,NL0000235190,4012250,135,135.00000,0.00000,107.602836,EUR,1.000000,,,,,,,
EQUITY,AIRPORTS OF THAILAND NON-VOTING DR,,Y0028Q129,TH0765010R16,6741206,1300,1300.00000,0.00000,2.152734,THB,1.000000,,,,,,,
EQUITY,ALFA A,,P0156P117,MXP000511016,2043423,1600,1692.82142,0.00000,1.242641,MXN,1.000000,,,,,,,
EQUITY,ALFRESA HOLDINGS CORP,,J0109X107,JP3126340003,6687214,100,100.00000,0.00000,28.143275,JPY,1.000000,,,,,,,
EQUITY,ALIMENTATION COUCHE TARD SUB VOTIN,,01626P403,CA01626P4033,2011646,44,44.00000,0.00000,53.214861,CAD,1.000000,,,,,,,
EQUITY,ALLIANZ,,D03080112,DE0008404005,5231485,274,274.82142,0.00000,208.187355,EUR,1.000000,,,,,,,
EQUITY,ALTIUM LTD,,Q0268D100,AU000000ALU8,6167697,38,38.00000,0.00000,17.138334,AUD,1.000000,,,,,,,
EQUITY,AMADEUS IT GROUP SA,,E04648114,ES0109067019,B3MSM28,125,125.00000,0.00000,73.362989,EUR,1.000000,,,,,,,
EQUITY,AMANO CORP,,J01302108,JP3124400007,6027304,100,100.00000,0.00000,20.531798,JPY,1.000000,,,,,,,
EQUITY,AMCOR LTD,,Q03080100,AU000000AMC4,6066608,821,821.00000,0.00000,9.636298,AUD,1.000000,,,,,,,
EQUITY,AMERICA MOVIL L,,P0280A101,MXP001691213,2667470,8900,8900.00000,0.00000,0.796230,MXN,1.000000,,,,,,,
