Fund Level
Fund Name,iShares Expanded Tech-Software Sector ETF
Fund Ticker,IGV
Fund ISIN,US4642875151
Fund Cusip,464287515
Fund LEI,
Total NAV per share,185.858102,Jan 22 2019
Distribution per Share,,
Fund Size,1997974596.50,Jan 22 2019
Shares Outstanding,10750000,Jan 22 2019
Baskets Outstanding,215.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,2837.89,Jan 23 2019
Projected Cash for Deliverable Basket,2817.83,Jan 23 2019
Confirmed Cash for Deliverable Basket,2918.14,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,2U INC,,90214J101,US90214J1016,BKWBZZ0,569,568.60465,0.00000,56.350000,USD,1.000000,,,,,,,
EQUITY,8X8 INC,,282914100,US2829141009,2037170,938,937.92093,0.00000,20.210000,USD,1.000000,,,,,,,
EQUITY,ACI WORLDWIDE INC,,004498101,US0044981019,2889155,1138,1138.32093,0.00000,28.230000,USD,1.000000,,,,,,,
EQUITY,ACTIVISION BLIZZARD INC,,00507V109,US00507V1098,2575818,7491,7490.72558,0.00000,47.060000,USD,1.000000,,,,,,,
EQUITY,ADOBE INC,,00724F101,US00724F1012,2008154,3202,3201.76279,0.00000,243.850000,USD,1.000000,,,,,,,
EQUITY,ALARM.COM HOLDINGS INC,,011642105,US0116421050,BYN7H26,345,344.59535,0.00000,59.400000,USD,1.000000,,,,,,,
EQUITY,ALTERYX INC CLASS A,,02156B103,US02156B1035,BYWMQJ2,296,295.96744,0.00000,71.980000,USD,1.000000,,,,,,,
EQUITY,ANSYS INC,,03662Q105,US03662Q1058,2045623,820,820.27442,0.00000,161.030000,USD,1.000000,,,,,,,
EQUITY,ASPEN TECHNOLOGY INC,,045327103,US0453271035,2051868,695,694.74884,0.00000,88.930000,USD,1.000000,,,,,,,
EQUITY,AUTODESK INC,,052769106,US0527691069,2065159,2150,2149.96744,0.00000,139.060000,USD,1.000000,,,,,,,
EQUITY,AVAYA HOLDINGS CORP,,05351X101,US05351X1019,BD9G9B3,1017,1017.36744,0.00000,14.700000,USD,1.000000,,,,,,,
EQUITY,BENEFITFOCUS INC,,08180D106,US08180D1063,BDFN1P6,229,228.69767,0.00000,53.870000,USD,1.000000,,,,,,,
EQUITY,BLACKBAUD INC,,09227Q100,US09227Q1004,2458878,477,476.73488,0.00000,68.360000,USD,1.000000,,,,,,,
EQUITY,BLACKBERRY LTD,,09228F103,CA09228F1036,BCBHZ42,4774,4773.62791,0.00000,7.600000,USD,1.000000,,,,,,,
EQUITY,BLACKLINE INC,,09239B109,US09239B1098,BD3WZS6,359,358.85116,0.00000,43.980000,USD,1.000000,,,,,,,
EQUITY,BOTTOMLINE TECHNOLOGIES INC,,101388106,US1013881065,2389558,360,360.07442,0.00000,49.300000,USD,1.000000,,,,,,,
EQUITY,BOX INC CLASS A,,10316T104,US10316T1043,BVB3BV2,1408,1408.00465,0.00000,19.450000,USD,1.000000,,,,,,,
EQUITY,CADENCE DESIGN SYSTEMS INC,,127387108,US1273871087,2302232,2770,2769.73953,0.00000,45.780000,USD,1.000000,,,,,,,
EQUITY,CDK GLOBAL INC,,12508E101,US12508E1010,BQXTWQ5,1264,1264.13023,0.00000,50.830000,USD,1.000000,,,,,,,
EQUITY,CERIDIAN HCM HOLDING INC,,15677J108,US15677J1088,BFX1V56,352,351.80465,0.00000,37.600000,USD,1.000000,,,,,,,
EQUITY,CISION LTD,,G1992S109,KYG1992S1093,BF0BQG5,664,664.13023,0.00000,12.340000,USD,1.000000,,,,,,,
EQUITY,CITRIX SYSTEMS INC,,177376100,US1773761002,2182553,1257,1256.79535,0.00000,108.250000,USD,1.000000,,,,,,,
EQUITY,CLOUDERA INC,,18914U100,US18914U1007,BYQHPY1,2143,2143.10233,0.00000,12.790000,USD,1.000000,,,,,,,
EQUITY,COMMVAULT SYSTEMS INC,,204166102,US2041661024,B142B38,382,382.04186,0.00000,62.740000,USD,1.000000,,,,,,,
