Fund Level
Fund Name,iShares U.S. Healthcare Providers ETF
Fund Ticker,IHF
Fund ISIN,US4642888287
Fund Cusip,464288828
Fund LEI,
Total NAV per share,174.643817,Jan 22 2019
Distribution per Share,,
Fund Size,873219085.00,Jan 22 2019
Shares Outstanding,5000000,Jan 22 2019
Baskets Outstanding,100.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,5751,Jan 23 2019
Projected Cash for Deliverable Basket,74962.47,Jan 23 2019
Confirmed Cash for Deliverable Basket,75051.12,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACADIA HEALTHCARE COMPANY INC,,00404A109,US00404A1097,B65VZ37,3865,3864.95000,0.00000,28.320000,USD,1.000000,,,,,,,
EQUITY,ADDUS HOMECARE CORP,,006739106,US0067391062,B55BN47,828,828.29000,0.00000,61.570000,USD,1.000000,,,,,,,
EQUITY,AMEDISYS INC,,023436108,US0234361089,2024332,1079,1078.62000,0.00000,124.740000,USD,1.000000,,,,,,,
EQUITY,ANTHEM INC,,036752103,US0367521038,BSPHGL4,2289,2289.24000,0.00000,264.570000,USD,1.000000,,,,,,,
EQUITY,BIOSCRIP INC,,09069N108,US09069N1081,2594857,13305,13305.31000,0.00000,3.590000,USD,1.000000,,,,,,,
EQUITY,BROOKDALE SENIOR LIVING INC,,112463104,US1124631045,B0PZN33,10760,10760.36000,0.00000,7.960000,USD,1.000000,,,,,,,
EQUITY,CAPITAL SENIOR LIVING CORP,,140475104,US1404751042,2121772,4442,4442.16000,0.00000,7.380000,USD,1.000000,,,,,,,
EQUITY,CENTENE CORP,,15135B101,US15135B1017,2807061,2910,2909.77000,0.00000,125.550000,USD,1.000000,,,,,,,
EQUITY,CHEMED CORP,,16359R103,US16359R1032,2190084,529,528.67000,0.00000,284.430000,USD,1.000000,,,,,,,
EQUITY,CIGNA CORP,,125523100,US1255231003,BHJ0775,4008,4008.19000,0.00000,193.080000,USD,1.000000,,,,,,,
EQUITY,COMMUNITY HEALTH SYSTEMS INC,,203668108,US2036681086,2600248,12014,12014.26000,0.00000,3.830000,USD,1.000000,,,,,,,
EQUITY,CORVEL CORP,,221006109,US2210061097,2347277,880,879.97000,0.00000,61.960000,USD,1.000000,,,,,,,
EQUITY,CVS HEALTH CORP,,126650100,US1266501006,2577609,9927,9926.94000,0.00000,64.920000,USD,1.000000,,,,,,,
EQUITY,DAVITA INC,,23918K108,US23918K1088,2898087,3409,3409.48000,0.00000,56.850000,USD,1.000000,,,,,,,
EQUITY,DIPLOMAT PHARMACY INC,,25456K101,US25456K1016,BRB38H9,4427,4427.48000,0.00000,13.820000,USD,1.000000,,,,,,,
EQUITY,ENCOMPASS HEALTH CORP,,29261A100,US29261A1007,BYX2YJ7,2697,2697.34000,0.00000,65.990000,USD,1.000000,,,,,,,
EQUITY,ENSIGN GROUP INC,,29358P101,US29358P1012,B1YWPP8,2345,2345.37000,0.00000,41.180000,USD,1.000000,,,,,,,
EQUITY,HCA HEALTHCARE INC,,40412C101,US40412C1018,B4MGBG6,3328,3327.65000,0.00000,132.970000,USD,1.000000,,,,,,,
EQUITY,HEALTHEQUITY INC,,42226A107,US42226A1079,BP8XZL1,2036,2035.77000,0.00000,60.460000,USD,1.000000,,,,,,,
EQUITY,HEALTHSTREAM INC,,42222N103,US42222N1037,2577870,2351,2350.57000,0.00000,24.900000,USD,1.000000,,,,,,,
EQUITY,HMS HOLDINGS CORP,,40425J101,US40425J1016,2418043,3561,3560.59000,0.00000,28.860000,USD,1.000000,,,,,,,
EQUITY,HUMANA INC,,444859102,US4448591028,2445063,1571,1570.82000,0.00000,298.780000,USD,1.000000,,,,,,,
EQUITY,INOVALON HOLDINGS INC CLASS A,,45781D101,US45781D1019,BVV9XH0,5429,5428.57000,0.00000,14.390000,USD,1.000000,,,,,,,
EQUITY,LABORATORY CORPORATION OF AMERICA,,50540R409,US50540R4092,2586122,1978,1978.42000,0.00000,135.700000,USD,1.000000,,,,,,,
EQUITY,LHC GROUP INC,,50187A107,US50187A1079,B06DT50,1223,1223.37000,0.00000,103.730000,USD,1.000000,,,,,,,
EQUITY,MAGELLAN HEALTH INC,,559079207,US5590792074,2307787,0,1127.57000,0.00000,61.250000,USD,1.000000,,,,,,,
EQUITY,MEDNAX INC,,58502B106,US58502B1061,2677640,3521,3521.18000,0.00000,35.900000,USD,1.000000,,,,,,,
EQUITY,MOLINA HEALTHCARE INC,,60855R100,US60855R1005,2212706,1543,1543.43000,0.00000,134.570000,USD,1.000000,,,,,,,
EQUITY,NATIONAL HEALTHCARE CORP,,635906100,US6359061008,2139731,779,779.19000,0.00000,74.750000,USD,1.000000,,,,,,,
