Fund Level
Fund Name,iShares U.S. Medical Devices ETF
Fund Ticker,IHI
Fund ISIN,US4642888105
Fund Cusip,464288810
Fund LEI,
Total NAV per share,209.793615,Jan 22 2019
Distribution per Share,,
Fund Size,2842703483.25,Jan 22 2019
Shares Outstanding,13550000,Jan 22 2019
Baskets Outstanding,271.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,15709.6,Jan 23 2019
Projected Cash for Deliverable Basket,16073.66,Jan 23 2019
Confirmed Cash for Deliverable Basket,16153.34,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ABBOTT LABORATORIES,,002824100,US0028241000,2002305,12736,12736.47232,0.00000,71.490000,USD,1.000000,,,,,,,
EQUITY,ABIOMED INC,,003654100,US0036541003,2003698,678,678.12915,0.00000,336.130000,USD,1.000000,,,,,,,
EQUITY,ACCURAY INC,,004397105,US0043971052,B1R2HW6,4743,4742.82288,0.00000,3.970000,USD,1.000000,,,,,,,
EQUITY,ANGIODYNAMICS INC,,03475V101,US03475V1017,B00CR04,1508,1507.90406,0.00000,20.940000,USD,1.000000,,,,,,,
EQUITY,ATRICURE INC,,04963C209,US04963C2098,B0C8KV2,1299,1298.79705,0.00000,31.230000,USD,1.000000,,,,,,,
EQUITY,AXOGEN INC,,05463X106,US05463X1063,B7254K9,1265,1264.99631,0.00000,16.170000,USD,1.000000,,,,,,,
EQUITY,BAXTER INTERNATIONAL INC,,071813109,US0718131099,2085102,5672,5672.11808,0.00000,69.660000,USD,1.000000,,,,,,,
EQUITY,BECTON DICKINSON,,075887109,US0758871091,2087807,2468,2468.02952,0.00000,239.190000,USD,1.000000,,,,,,,
EQUITY,BIO RAD LABORATORIES INC CLASS A,,090572207,US0905722072,2098508,436,436.19926,0.00000,235.520000,USD,1.000000,,,,,,,
EQUITY,BIOTELEMETRY INC,,090672106,US0906721065,BCD7L64,952,951.84871,0.00000,67.220000,USD,1.000000,,,,,,,
