Fund Level
Fund Name,iShares Core S&P Small-Cap ETF
Fund Ticker,IJR
Fund ISIN,US4642878049
Fund Cusip,464287804
Fund LEI,
Total NAV per share,74.622413,Jan 22 2019
Distribution per Share,,
Fund Size,40949049133.80,Jan 22 2019
Shares Outstanding,548750000,Jan 22 2019
Baskets Outstanding,10975.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,1226.51,Jan 23 2019
Projected Cash for Deliverable Basket,483705.13,Jan 23 2019
Confirmed Cash for Deliverable Basket,483697.16,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3D SYSTEMS CORP,,88554D205,US88554D2053,2889768,601,600.51052,0.00000,10.870000,USD,1.000000,,,,,,,
EQUITY,8X8 INC,,282914100,US2829141009,2037170,500,500.40592,0.00000,20.210000,USD,1.000000,,,,,,,
EQUITY,A SCHULMAN INC,,808CVR104,US808CVR1040,9927791,0,149.48100,0.00000,1.910000,USD,1.000000,,,,,,,
EQUITY,AAON INC,,000360206,US0003602069,2268130,213,212.72629,0.00000,37.680000,USD,1.000000,,,,,,,
EQUITY,AAR CORP,,000361105,US0003611052,2001119,171,171.46852,0.00000,36.770000,USD,1.000000,,,,,,,
EQUITY,ABERCROMBIE AND FITCH CLASS A,,002896207,US0028962076,2004185,346,346.28137,0.00000,20.070000,USD,1.000000,,,,,,,
EQUITY,ABM INDUSTRIES INC,,000957100,US0009571003,2024901,345,344.70032,0.00000,35.230000,USD,1.000000,,,,,,,
EQUITY,ACADIA REALTY TRUST REIT,,004239109,US0042391096,2566522,428,427.65230,0.00000,26.260000,USD,1.000000,,,,,,,
EQUITY,ACORDA THERAPEUTICS INC,,00484M106,US00484M1062,2925844,209,208.97804,0.00000,15.930000,USD,1.000000,,,,,,,
EQUITY,ACTUANT CORP CLASS A,,00508X203,US00508X2036,2716792,321,321.03262,0.00000,22.110000,USD,1.000000,,,,,,,
EQUITY,ADDUS HOMECARE CORP,,006739106,US0067391062,B55BN47,53,53.40902,0.00000,61.570000,USD,1.000000,,,,,,,
EQUITY,ADTRAN INC,,00738A106,US00738A1060,2052924,251,250.83809,0.00000,11.780000,USD,1.000000,,,,,,,
EQUITY,ADVANCED ENERGY INDUSTRIES INC,,007973100,US0079731008,2049175,202,202.02405,0.00000,45.630000,USD,1.000000,,,,,,,
EQUITY,ADVANSIX INC,,00773T101,US00773T1016,BYMMZL7,155,155.10260,0.00000,28.910000,USD,1.000000,,,,,,,
EQUITY,AEGION CORP CLASS A,,00770F104,US00770F1049,B764L34,170,170.24446,0.00000,18.490000,USD,1.000000,,,,,,,
EQUITY,AEROJET ROCKETDYNE HOLDINGS INC,,007800105,US0078001056,BWD7PX9,377,377.41731,0.00000,38.090000,USD,1.000000,,,,,,,
EQUITY,AEROVIRONMENT INC,,008073108,US0080731088,B1P5YY8,112,111.85503,0.00000,73.120000,USD,1.000000,,,,,,,
EQUITY,AGILISYS INC,,00847J105,US00847J1051,2689162,97,96.70852,0.00000,14.380000,USD,1.000000,,,,,,,
EQUITY,AGREE REALTY REIT CORP,,008492100,US0084921008,2062161,181,180.82178,0.00000,61.970000,USD,1.000000,,,,,,,
EQUITY,AK STEEL HOLDING CORP,,001547108,US0015471081,2067735,0,1482.25230,0.00000,2.680000,USD,1.000000,,,,,,,
EQUITY,AKORN INC,,009728106,US0097281069,2012100,497,496.89595,0.00000,3.670000,USD,1.000000,,,,,,,
EQUITY,ALAMO GROUP INC,,011311107,US0113111076,2021634,51,50.82834,0.00000,85.530000,USD,1.000000,,,,,,,
EQUITY,ALARM.COM HOLDINGS INC,,011642105,US0116421050,BYN7H26,184,183.80638,0.00000,59.400000,USD,1.000000,,,,,,,
EQUITY,ALBANY INTERNATIONAL CORP CLASS A,,012348108,US0123481089,2012757,152,151.95071,0.00000,67.410000,USD,1.000000,,,,,,,
EQUITY,ALLEGIANT TRAVEL,,01748X102,US01748X1028,B15M2C3,67,67.06178,0.00000,119.510000,USD,1.000000,,,,,,,
EQUITY,AMAG PHARMACEUTICALS INC,,00163U106,US00163U1060,2008121,0,149.28501,0.00000,16.970000,USD,1.000000,,,,,,,
EQUITY,AMBAC FINANCIAL GROUP INC,,023139884,US0231398845,B7ZKH46,0,198.48401,0.00000,18.340000,USD,1.000000,,,,,,,
EQUITY,AMEDISYS INC,,023436108,US0234361089,2024332,152,151.90132,0.00000,124.740000,USD,1.000000,,,,,,,
EQUITY,AMER VANGUARD CORP,,030371108,US0303711081,2025711,143,142.80018,0.00000,17.040000,USD,1.000000,,,,,,,
EQUITY,AMERICAN ASSETS TRUST REIT INC,,024013104,US0240131047,B3NTLD4,198,198.42970,0.00000,40.470000,USD,1.000000,,,,,,,
EQUITY,AMERICAN AXLE AND MANUFACTURING HO,,024061103,US0240611030,2382416,587,586.71025,0.00000,14.520000,USD,1.000000,,,,,,,
EQUITY,AMERICAN EQUITY INVESTMENT LIFE HO,,025676206,US0256762065,2191300,0,468.64929,0.00000,30.810000,USD,1.000000,,,,,,,
EQUITY,AMERICAN PUBLIC EDUCATION INC,,02913V103,US02913V1035,B292GM4,86,86.33613,0.00000,30.050000,USD,1.000000,,,,,,,
EQUITY,AMERICAN STATES WATER,,029899101,US0298991011,2267171,193,192.60574,0.00000,64.880000,USD,1.000000,,,,,,,
EQUITY,AMERICAN WOODMARK CORP,,030506109,US0305061097,2030674,81,80.94870,0.00000,67.930000,USD,1.000000,,,,,,,
EQUITY,AMERIS BANCORP,,03076K108,US03076K1088,2038849,210,209.51171,0.00000,35.540000,USD,1.000000,,,,,,,
EQUITY,AMERISAFE INC,,03071H100,US03071H1005,B0PPHS6,0,86.75043,0.00000,55.410000,USD,1.000000,,,,,,,
EQUITY,AMN HEALTHCARE INC,,001744101,US0017441017,2813552,246,245.50907,0.00000,62.980000,USD,1.000000,,,,,,,
EQUITY,AMPHASTAR PHARMACEUTICALS INC,,03209R103,US03209R1032,BNFWZS4,182,181.84292,0.00000,22.390000,USD,1.000000,,,,,,,
EQUITY,ANDERSONS INC,,034164103,US0341641035,2274922,138,138.21103,0.00000,33.870000,USD,1.000000,,,,,,,
EQUITY,ANGIODYNAMICS INC,,03475V101,US03475V1017,B00CR04,195,194.57294,0.00000,20.940000,USD,1.000000,,,,,,,
EQUITY,ANI PHARMACEUTICALS INC,,00182C103,US00182C1036,BCDWBX6,44,43.91663,0.00000,52.900000,USD,1.000000,,,,,,,
EQUITY,ANIKA THERAPEUTICS INC,,035255108,US0352551081,2035754,75,75.34269,0.00000,35.580000,USD,1.000000,,,,,,,
EQUITY,ANIXTER INTERNATIONAL INC,,035290105,US0352901054,2468844,151,151.17859,0.00000,59.350000,USD,1.000000,,,,,,,
EQUITY,APOGEE ENTERPRISES INC,,037598109,US0375981091,2046176,149,148.61604,0.00000,33.820000,USD,1.000000,,,,,,,
EQUITY,APOLLO COMMERCIAL REAL ESTATE FINA,,03762U105,US03762U1051,B4JTYX6,590,589.80866,0.00000,17.570000,USD,1.000000,,,,,,,
EQUITY,APPLIED INDUSTRIAL TECHNOLOGIES IN,,03820C105,US03820C1053,2086309,203,203.17103,0.00000,61.730000,USD,1.000000,,,,,,,
EQUITY,APPLIED OPTOELECTRONICS INC,,03823U102,US03823U1025,BDW0D09,0,84.82752,0.00000,16.270000,USD,1.000000,,,,,,,
EQUITY,ARCBEST CORP,,03937C105,US03937C1053,BLTFST7,135,134.51517,0.00000,38.360000,USD,1.000000,,,,,,,
EQUITY,ARCHROCK INC,,03957W106,US03957W1062,BYRGSX7,677,677.34879,0.00000,9.390000,USD,1.000000,,,,,,,
EQUITY,ARCOSA INC,,039653100,US0396531008,BGPZ5W8,256,256.25221,0.00000,29.000000,USD,1.000000,,,,,,,
EQUITY,ARLO TECHNOLOGIES INC,,04206A101,US04206A1016,BYWPZY9,394,393.94150,0.00000,7.520000,USD,1.000000,,,,,,,
EQUITY,ARMADA HOFFLER PROPERTIES REIT INC,,04208T108,US04208T1088,B96FTB5,258,258.03189,0.00000,14.450000,USD,1.000000,,,,,,,
EQUITY,ARMOUR RESIDENTIAL REIT INC,,042315507,US0423155078,BYRYKS0,255,254.69686,0.00000,20.730000,USD,1.000000,,,,,,,
EQUITY,ASBURY AUTOMOTIVE GROUP INC.,,043436104,US0434361046,2855855,103,103.03863,0.00000,70.520000,USD,1.000000,,,,,,,
EQUITY,ASCENA RETAIL GROUP INC,,04351G101,US04351G1013,B65D9Z3,923,922.91362,0.00000,2.910000,USD,1.000000,,,,,,,
EQUITY,ASSERTIO THERAPEUTICS INC,,04545L107,US04545L1070,BG85PC5,328,327.77276,0.00000,4.010000,USD,1.000000,,,,,,,
EQUITY,ASTEC INDUSTRIES INC,,046224101,US0462241011,2060370,120,120.34178,0.00000,36.430000,USD,1.000000,,,,,,,
EQUITY,ATLAS AIR WORLDWIDE HOLDINGS INC,,049164205,US0491642056,B01Z8P4,135,134.62342,0.00000,50.220000,USD,1.000000,,,,,,,
