Fund Level
Fund Name,iShares Edge MSCI Intl Momentum Factor ETF
Fund Ticker,IMTM
Fund ISIN,US46434V4499
Fund Cusip,46434V449
Fund LEI,
Total NAV per share,26.725476,Jan 22 2019
Distribution per Share,,
Fund Size,144317570.40,Jan 22 2019
Shares Outstanding,5400000,Jan 22 2019
Baskets Outstanding,54.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,8790.98,Jan 23 2019
Projected Cash for Deliverable Basket,72514.75,Jan 23 2019
Confirmed Cash for Deliverable Basket,72515.41,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ADIDAS N AG,,D0066B185,DE000A1EWWW0,4031976,81,81.00000,0.00000,233.716767,EUR,1.000000,,,,,,,
EQUITY,AEGON NV,,N00927298,NL0000303709,5927375,610,610.00000,0.00000,5.127460,EUR,1.000000,,,,,,,
EQUITY,AEON LTD,,J00288100,JP3388200002,6480048,600,600.00000,0.00000,20.134320,JPY,1.000000,,,,,,,
EQUITY,AEROPORTS DE PARIS SA,,F00882104,FR0010340141,B164FY1,18,18.18518,0.00000,188.745027,EUR,1.000000,,,,,,,
EQUITY,AGEAS NV,,B0148L138,BE0974264930,B86S2N0,76,76.00000,0.00000,46.141459,EUR,1.000000,,,,,,,
EQUITY,AIRBUS GROUP,,N0280G100,NL0000235190,4012250,252,252.16666,0.00000,107.602836,EUR,1.000000,,,,,,,
EQUITY,AKER BP,,R0139K100,NO0010345853,B1L95G3,66,66.00000,0.00000,32.124684,NOK,1.000000,,,,,,,
EQUITY,ALFA LAVAL,,W04008152,SE0000695876,7332687,146,146.29629,0.00000,21.725045,SEK,1.000000,,,,,,,
EQUITY,ALFRESA HOLDINGS CORP,,J0109X107,JP3126340003,6687214,100,100.00000,0.00000,28.143275,JPY,1.000000,,,,,,,
EQUITY,ALIMENTATION COUCHE TARD SUB VOTIN,,01626P403,CA01626P4033,2011646,216,216.00000,0.00000,53.214861,CAD,1.000000,,,,,,,
