Fund Level
Fund Name,iShares Edge MSCI Multifactor Intl ETF
Fund Ticker,INTF
Fund ISIN,US46434V2741
Fund Cusip,46434V274
Fund LEI,
Total NAV per share,25.262332,Jan 22 2019
Distribution per Share,,
Fund Size,965021082.40,Jan 22 2019
Shares Outstanding,38200000,Jan 22 2019
Baskets Outstanding,382.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,8316.66,Jan 23 2019
Projected Cash for Deliverable Basket,147149.09,Jan 23 2019
Confirmed Cash for Deliverable Basket,147127.78,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,1683,1683.24345,0.00000,10.849282,GBP,1.000000,,,,,,,
EQUITY,ADECCO GROUP AG,,H00392318,CH0012138605,7110720,273,273.60209,0.00000,50.902165,CHF,1.000000,,,,,,,
EQUITY,ADMIRAL GROUP PLC,,G0110T106,GB00B02J6398,B02J639,348,348.47905,0.00000,27.434220,GBP,1.000000,,,,,,,
EQUITY,AEGON NV,,N00927298,NL0000303709,5927375,3080,3080.06020,0.00000,5.127460,EUR,1.000000,,,,,,,
EQUITY,AERCAP HOLDINGS NV,,N00985106,NL0000687663,B1HHKD3,218,218.91099,0.00000,45.270000,USD,1.000000,,,,,,,
EQUITY,AGC INC,,J0025W100,JP3112000009,6055208,300,319.37172,0.00000,32.711988,JPY,1.000000,,,,,,,
EQUITY,AGEAS NV,,B0148L138,BE0974264930,B86S2N0,316,316.12041,0.00000,46.141459,EUR,1.000000,,,,,,,
EQUITY,AGL ENERGY LTD,,Q01630195,AU000000AGL7,BSS7GP5,1140,1140.25916,0.00000,14.911278,AUD,1.000000,,,,,,,
EQUITY,ALFRESA HOLDINGS CORP,,J0109X107,JP3126340003,6687214,300,324.34554,0.00000,28.143275,JPY,1.000000,,,,,,,
EQUITY,AMADEUS IT GROUP SA,,E04648114,ES0109067019,B3MSM28,758,758.35340,0.00000,73.362989,EUR,1.000000,,,,,,,
EQUITY,AMUNDI SA,,F0300Q103,FR0004125920,BYZR014,106,106.02356,0.00000,55.885336,EUR,1.000000,,,,,,,
EQUITY,ANA HOLDINGS INC,,J0156Q112,JP3429800000,6014908,200,200.78534,0.00000,36.504020,JPY,1.000000,,,,,,,
EQUITY,ANGLO AMERICAN PLC,,G03764134,GB00B1XZS820,B1XZS82,1822,1822.81413,0.00000,23.274378,GBP,1.000000,,,,,,,
EQUITY,ARKEMA SA,,F0392W125,FR0010313833,B0Z5YZ2,119,119.89528,0.00000,94.099958,EUR,1.000000,,,,,,,
EQUITY,ASAHI KASEI CORP,,J0242P110,JP3111200006,6054603,2100,2119.63350,0.00000,10.508041,JPY,1.000000,,,,,,,
EQUITY,ASTELLAS PHARMA INC,,J03393105,JP3942400007,6985383,3200,3250.78534,0.00000,14.240680,JPY,1.000000,,,,,,,
EQUITY,ATCO LTD CLASS I,,046789400,CA0467894006,2060615,139,139.57068,0.00000,30.135343,CAD,1.000000,,,,,,,
EQUITY,ATOS,,F06116101,FR0000051732,5654781,166,166.03141,0.00000,82.652606,EUR,1.000000,,,,,,,
EQUITY,AXA SA,,F06106102,FR0000120628,7088429,2215,2215.16230,0.00000,23.161581,EUR,1.000000,,,,,,,
EQUITY,BABCOCK INTERNATIONAL GROUP PLC,,G0689Q152,GB0009697037,0969703,436,436.35340,0.00000,7.179290,GBP,1.000000,,,,,,,
EQUITY,BALOISE HOLDING AG,,H04530202,CH0012410517,7124594,84,84.34293,0.00000,154.470730,CHF,1.000000,,,,,,,
