Fund Level
Fund Name,iShares Global 100 ETF
Fund Ticker,IOO
Fund ISIN,US4642875722
Fund Cusip,464287572
Fund LEI,
Total NAV per share,43.901687,Jan 22 2019
Distribution per Share,,
Fund Size,1778018323.50,Jan 22 2019
Shares Outstanding,40500000,Jan 22 2019
Baskets Outstanding,810.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,7799.41,Jan 23 2019
Projected Cash for Deliverable Basket,33495.87,Jan 23 2019
Confirmed Cash for Deliverable Basket,33520.07,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3M,,88579Y101,US88579Y1010,2595708,113,113.13827,0.00000,192.260000,USD,1.000000,,,,,,,
EQUITY,ABB LTD,,H0010V101,CH0012221716,7108899,372,372.94814,0.00000,19.181034,CHF,1.000000,,,,,,,
EQUITY,ABBOTT LABORATORIES,,002824100,US0028241000,2002305,355,355.62839,0.00000,71.490000,USD,1.000000,,,,,,,
EQUITY,ALLIANZ,,D03080112,DE0008404005,5231485,80,80.15555,0.00000,208.187355,EUR,1.000000,,,,,,,
EQUITY,ALPHABET INC CLASS A,,02079K305,US02079K3059,BYVY8G0,50,50.57160,0.00000,1078.630000,USD,1.000000,,,,,,,
EQUITY,ALPHABET INC CLASS C,,02079K107,US02079K1079,BYY88Y7,47,47.91728,0.00000,1070.520000,USD,1.000000,,,,,,,
EQUITY,AMAZON COM INC,,023135106,US0231351067,2000019,78,78.79382,0.00000,1632.170000,USD,1.000000,,,,,,,
EQUITY,AMERICAN TOWER REIT CORP,,03027X100,US03027X1000,B7FBFL2,83,83.93456,0.00000,164.680000,USD,1.000000,,,,,,,
EQUITY,ANGLO AMERICAN PLC,,G03764134,GB00B1XZS820,B1XZS82,267,267.77777,0.00000,23.274378,GBP,1.000000,,,,,,,
EQUITY,AON PLC CLASS A,,G0408V102,GB00B5BT0K07,B5BT0K0,46,46.45061,0.00000,153.700000,USD,1.000000,,,,,,,
EQUITY,APPLE INC,,037833100,US0378331005,2046251,861,861.00000,0.00000,153.300000,USD,1.000000,,,,,,,
EQUITY,ASTRAZENECA PLC,,G0593M107,GB0009895292,0989529,240,240.74691,0.00000,72.000249,GBP,1.000000,,,,,,,
EQUITY,AVIVA PLC,,G0683Q109,GB0002162385,0216238,663,663.91728,0.00000,5.397427,GBP,1.000000,,,,,,,
EQUITY,AXA SA,,F06106102,FR0000120628,7088429,354,354.46296,0.00000,23.161581,EUR,1.000000,,,,,,,
EQUITY,BANCO BILBAO VIZCAYA ARGENTARIA,,E11805103,ES0113211835,5501906,1317,1317.13209,0.00000,5.871310,EUR,1.000000,,,,,,,
EQUITY,BANCO SANTANDER SA,,E19790109,ES0113900J37,5705946,3123,3123.63827,0.00000,4.894084,EUR,1.000000,,,,,,,
EQUITY,BARCLAYS PLC,,G08036124,GB0031348658,3134865,3003,3003.33827,0.00000,2.115688,GBP,1.000000,,,,,,,
EQUITY,BASF N,,D06216317,DE000BASF111,5086577,174,174.72345,0.00000,73.067720,EUR,1.000000,,,,,,,
EQUITY,BAYER AG,,D0712D163,DE000BAY0017,5069211,177,177.20864,0.00000,74.907473,EUR,1.000000,,,,,,,
EQUITY,BHP GROUP LTD,,Q1498M100,AU000000BHP4,6144690,612,612.11358,0.00000,23.391220,AUD,1.000000,,,,,,,
EQUITY,BP PLC,,G12793108,GB0007980591,0798059,3771,3771.51111,0.00000,6.642788,GBP,1.000000,,,,,,,
EQUITY,BRIDGESTONE CORP,,J04578126,JP3830800003,6132101,100,119.25925,0.00000,39.007675,JPY,1.000000,,,,,,,
EQUITY,BRISTOL MYERS SQUIBB,,110122108,US1101221083,2126335,310,310.11604,0.00000,49.720000,USD,1.000000,,,,,,,
EQUITY,CANON INC,,J05124144,JP3242800005,6172323,200,232.53086,0.00000,28.051901,JPY,1.000000,,,,,,,
EQUITY,CATERPILLAR INC,,149123101,US1491231015,2180201,113,113.00000,0.00000,132.240000,USD,1.000000,,,,,,,
EQUITY,CHEVRON CORP,,166764100,US1667641005,2838555,363,363.25802,0.00000,112.340000,USD,1.000000,,,,,,,
EQUITY,CITIGROUP INC,,172967424,US1729674242,2297907,466,466.04320,0.00000,61.850000,USD,1.000000,,,,,,,
EQUITY,COCA-COLA,,191216100,US1912161007,2206657,731,731.61604,0.00000,47.720000,USD,1.000000,,,,,,,
EQUITY,COLGATE-PALMOLIVE,,194162103,US1941621039,2209106,163,163.37777,0.00000,61.740000,USD,1.000000,,,,,,,
EQUITY,COMPAGNIE DE SAINT GOBAIN SA,,F80343100,FR0000125007,7380482,101,101.31851,0.00000,34.205778,EUR,1.000000,,,,,,,
EQUITY,CREDIT SUISSE GROUP AG,,H3698D419,CH0012138530,7171589,459,459.04074,0.00000,12.239374,CHF,1.000000,,,,,,,
EQUITY,DAIMLER AG,,D1668R123,DE0007100000,5529027,185,185.87530,0.00000,57.429820,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE BANK AG,,D18190898,DE0005140008,5750355,381,381.66172,0.00000,8.926209,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE TELEKOM N AG,,D2035M136,DE0005557508,5842359,622,622.40864,0.00000,16.512351,EUR,1.000000,,,,,,,
EQUITY,DIAGEO PLC,,G42089113,GB0002374006,0237400,471,471.40864,0.00000,35.676149,GBP,1.000000,,,,,,,
EQUITY,DOWDUPONT INC,,26078J100,US26078J1007,BYP66M4,446,446.74938,0.00000,56.240000,USD,1.000000,,,,,,,
EQUITY,E.ON N,,D24914133,DE000ENAG999,4942904,422,422.40123,0.00000,10.298074,EUR,1.000000,,,,,,,
EQUITY,EMERSON ELECTRIC,,291011104,US2910111044,2313405,122,122.65432,0.00000,63.010000,USD,1.000000,,,,,,,
EQUITY,ENGIE SA,,F7629A107,FR0010208488,B0C2CQ3,354,354.67654,0.00000,15.552727,EUR,1.000000,,,,,,,
EQUITY,EXXON MOBIL CORP,,30231G102,US30231G1022,2326618,803,803.85802,0.00000,71.890000,USD,1.000000,,,,,,,
EQUITY,F MOTOR,,345370860,US3453708600,2615468,732,732.81111,0.00000,8.500000,USD,1.000000,,,,,,,
EQUITY,GENERAL ELECTRIC,,369604103,US3696041033,2380498,1650,1650.12839,0.00000,8.660000,USD,1.000000,,,,,,,
EQUITY,GLAXOSMITHKLINE PLC,,G3910J112,GB0009252882,0925288,934,934.50864,0.00000,19.319289,GBP,1.000000,,,,,,,
EQUITY,GOLDMAN SACHS GROUP INC,,38141G104,US38141G1040,2407966,67,67.00000,0.00000,197.680000,USD,1.000000,,,,,,,
EQUITY,HONDA MOTOR LTD,,J22302111,JP3854600008,6435145,300,346.04938,0.00000,29.596126,JPY,1.000000,,,,,,,
EQUITY,HP INC,,40434L105,US40434L1052,BYX4D52,334,334.50246,0.00000,21.320000,USD,1.000000,,,,,,,
EQUITY,HSBC HOLDINGS PLC,,G4634U169,GB0005405286,0540528,3854,3854.08024,0.00000,8.310612,GBP,1.000000,,,,,,,
EQUITY,ING GROEP NV,,N4578E595,NL0011821202,BZ57390,712,712.55802,0.00000,11.778962,EUR,1.000000,,,,,,,
EQUITY,INTEL CORPORATION CORP,,458140100,US4581401001,2463247,876,876.97037,0.00000,48.270000,USD,1.000000,,,,,,,
EQUITY,INTERNATIONAL BUSINESS MACHINES CO,,459200101,US4592001014,2005973,182,182.03580,0.00000,122.520000,USD,1.000000,,,,,,,
EQUITY,JOHNSON & JOHNSON,,478160104,US4781601046,2475833,510,510.59629,0.00000,128.800000,USD,1.000000,,,,,,,
EQUITY,JOHNSON CONTROLS INTERNATIONAL PLC,,G51502105,IE00BY7QL619,BY7QL61,183,183.83456,0.00000,32.550000,USD,1.000000,,,,,,,
EQUITY,JPMORGAN CHASE & CO,,46625H100,US46625H1005,2190385,635,635.94567,0.00000,102.940000,USD,1.000000,,,,,,,
EQUITY,KIMBERLY CLARK CORP,,494368103,US4943681035,2491839,64,64.23950,0.00000,115.230000,USD,1.000000,,,,,,,
EQUITY,KONINKLIJKE PHILIPS NV,,N7637U112,NL0000009538,5986622,184,184.29629,0.00000,35.869505,EUR,1.000000,,,,,,,
EQUITY,LOREAL SA,,F58149133,FR0000120321,4057808,49,49.52962,0.00000,225.653652,EUR,1.000000,,,,,,,
EQUITY,LVMH,,F58485115,FR0000121014,4061412,52,52.53333,0.00000,291.975611,EUR,1.000000,,,,,,,
EQUITY,MARSH & MCLENNAN INC,,571748102,US5717481023,2567741,95,95.49506,0.00000,83.170000,USD,1.000000,,,,,,,
EQUITY,MCDONALDS CORP,,580135101,US5801351017,2550707,147,147.47654,0.00000,184.570000,USD,1.000000,,,,,,,
EQUITY,MERCK & CO INC,,58933Y105,US58933Y1055,2778844,496,496.34567,0.00000,75.830000,USD,1.000000,,,,,,,
EQUITY,MICROSOFT CORP,,594918104,US5949181045,2588173,1531,1531.06296,0.00000,105.680000,USD,1.000000,,,,,,,
EQUITY,MITSUBISHI UFJ FINANCIAL GROUP INC,,J44497105,JP3902900004,6335171,2400,2450.37037,0.00000,5.273209,JPY,1.000000,,,,,,,
EQUITY,MORGAN STANLEY,,617446448,US6174464486,2262314,262,262.49382,0.00000,42.410000,USD,1.000000,,,,,,,
EQUITY,MUENCHENER RUECKVERSICHERUNGS-GESE,,D55535104,DE0008430026,5294121,28,28.78395,0.00000,220.600009,EUR,1.000000,,,,,,,
EQUITY,NATIONAL GRID PLC,,G6S9A7120,GB00BDR05C01,BDR05C0,681,681.14814,0.00000,10.355543,GBP,1.000000,,,,,,,
EQUITY,NESTLE SA,,H57312649,CH0038863350,7123870,583,583.90246,0.00000,84.502807,CHF,1.000000,,,,,,,
EQUITY,NIKE INC CLASS B,,654106103,US6541061031,2640147,251,251.08641,0.00000,80.750000,USD,1.000000,,,,,,,
EQUITY,NISSAN MOTOR LTD,,J57160129,JP3672400003,6642860,300,393.95061,0.00000,8.349781,JPY,1.000000,,,,,,,
EQUITY,NOVARTIS AG,,H5820Q150,CH0012005267,7103065,486,486.64074,0.00000,88.352045,CHF,1.000000,,,,,,,
EQUITY,ORANGE SA,,F6866T100,FR0000133308,5176177,398,398.84074,0.00000,15.172284,EUR,1.000000,,,,,,,
EQUITY,PANASONIC CORP,,J6354Y104,JP3866800000,6572707,400,452.59259,0.00000,9.726791,JPY,1.000000,,,,,,,
EQUITY,PEPSICO INC,,713448108,US7134481081,2681511,268,268.28518,0.00000,109.910000,USD,1.000000,,,,,,,
EQUITY,PFIZER INC,,717081103,US7170811035,2684703,1104,1104.75308,0.00000,42.270000,USD,1.000000,,,,,,,
EQUITY,PHILIP MORRIS INTERNATIONAL INC,,718172109,US7181721090,B2PKRQ3,294,294.40617,0.00000,72.810000,USD,1.000000,,,,,,,
EQUITY,PROCTER & GAMBLE,,742718109,US7427181091,2704407,474,474.80493,0.00000,90.440000,USD,1.000000,,,,,,,
EQUITY,PRUDENTIAL PLC,,G72899100,GB0007099541,0709954,506,506.62345,0.00000,19.464430,GBP,1.000000,,,,,,,
EQUITY,REPSOL SA,,E8471S130,ES0173516115,5669354,240,240.79506,0.00000,16.841689,EUR,1.000000,,,,,,,
EQUITY,REPSOL SA EUR1 (RFD JAN 2019),,,ES0173516156,BGPFVR5,0,6.81111,0.00000,16.841689,EUR,1.000000,,,,,,,
EQUITY,RIO TINTO PLC,,G75754104,GB0007188757,0718875,215,215.98148,0.00000,49.833866,GBP,1.000000,,,,,,,
EQUITY,ROCHE HOLDING PAR AG,,H69293217,CH0012032048,7110388,133,133.92592,0.00000,257.618284,CHF,1.000000,,,,,,,
EQUITY,ROYAL DUTCH SHELL PLC,,G7690A100,GB00B03MLX29,B03MLX2,851,851.71358,0.00000,29.967706,GBP,1.000000,,,,,,,
EQUITY,ROYAL DUTCH SHELL PLC CLASS B,,G7690A118,GB00B03MM408,B03MM40,715,715.91728,0.00000,30.252804,GBP,1.000000,,,,,,,
EQUITY,RWE AG,,D6629K109,DE0007037129,4768962,112,112.02962,0.00000,22.315522,EUR,1.000000,,,,,,,
EQUITY,SAMSUNG ELECTRONICS  GDS REPRESENT,,796050888,US7960508882,4942818,40,40.02839,0.00000,928.000000,USD,1.000000,,,,,,,
EQUITY,SANOFI SA,,F5548N101,FR0000120578,5671735,216,216.66296,0.00000,83.084153,EUR,1.000000,,,,,,,
EQUITY,SCHNEIDER ELECTRIC,,F86921107,FR0000121972,4834108,104,104.41234,0.00000,68.320703,EUR,1.000000,,,,,,,
EQUITY,SEVEN & I HOLDINGS LTD,,J7165H108,JP3422950000,B0FS5D6,100,148.41975,0.00000,43.896199,JPY,1.000000,,,,,,,
EQUITY,SIEMENS N AG,,D69671218,DE0007236101,5727973,164,164.88271,0.00000,112.917678,EUR,1.000000,,,,,,,
EQUITY,SOCIETE GENERALE SA,,F43638141,FR0000130809,5966516,135,135.35308,0.00000,31.593783,EUR,1.000000,,,,,,,
EQUITY,SONY CORP,,J76379106,JP3435000009,6821506,200,244.81481,0.00000,48.903509,JPY,1.000000,,,,,,,
EQUITY,STANDARD CHARTERED PLC,,G84228157,GB0004082847,0408284,539,539.72839,0.00000,8.076054,GBP,1.000000,,,,,,,
EQUITY,SWISS RE AG,,H8431B109,CH0126881561,B545MG5,57,57.73703,0.00000,95.408982,CHF,1.000000,,,,,,,
EQUITY,TELEFONICA SA,,E90183182,ES0178430E18,5732524,887,887.58395,0.00000,8.732013,EUR,1.000000,,,,,,,
EQUITY,TEXAS INSTRUMENT INC,,882508104,US8825081040,2885409,196,196.70493,0.00000,96.620000,USD,1.000000,,,,,,,
EQUITY,TOTAL SA,,F92124100,FR0000120271,B15C557,478,478.53086,0.00000,53.386906,EUR,1.000000,,,,,,,
EQUITY,TOYOTA MOTOR CORP,,J92676113,JP3633400001,6900643,500,511.85185,0.00000,61.988304,JPY,1.000000,,,,,,,
EQUITY,TWENTY FIRST CENTURY FOX INC CLASS,,90130A101,US90130A1016,BBM4S68,0,205.05432,0.00000,48.560000,USD,1.000000,,,,,,,
EQUITY,UBS GROUP AG,,H42097107,CH0244767585,BRJL176,734,734.36419,0.00000,13.026263,CHF,1.000000,,,,,,,
EQUITY,UNILEVER DUTCH CERTIFICATES NV,,N8981F271,NL0000009355,B12T3J1,325,325.53827,0.00000,53.023498,EUR,1.000000,,,,,,,
EQUITY,UNITED TECHNOLOGIES CORP,,913017109,US9130171096,2915500,155,155.60617,0.00000,111.060000,USD,1.000000,,,,,,,
EQUITY,VIVENDI SA,,F97982106,FR0000127771,4834777,157,157.33950,0.00000,24.677674,EUR,1.000000,,,,,,,
EQUITY,VODAFONE GROUP PLC,,G93882192,GB00BH4HKS39,BH4HKS3,5097,5097.71358,0.00000,1.920007,GBP,1.000000,,,,,,,
EQUITY,WALMART INC,,931142103,US9311421039,2936921,271,271.93086,0.00000,97.490000,USD,1.000000,,,,,,,
,,,,,,57241,57900.47730,0.00000

Holdings: Synthetics
ASSET CLASS,NAME,RIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),PRICE MULTIPLIER,CONTRACT SIZE,AVERAGE CONTRACT OPEN PRICE,BLOOMBERG TICKER

FX Rates
Base Currency,USD
AUD,0.713800
CHF,1.002406
EUR,1.135650
GBP,1.295901
JPY,0.009137

FX Forwards
Currency Pair,Value Date,Nominal,Rate,Value,Currency

Swaps
Swap Notional,
Swap Spread,
Swap Mkt Value,

Disclaimers
CAREFULLY CONSIDER THE FUNDS INVESTMENT OBJECTIVES RISK FACTORS AND CHARGES AND EXPENSES BEFORE INVESTING. THIS AND OTHER INFORMATION CAN BE FOUND IN THE FUNDS
PROSPECTUSES OR IF AVAILABLE THE SUMMARY PROSPECTUSES WHICH MAY BE OBTAINED BY VISITING www.iShares.com OR www.blackrock.com. READ THE PROSPECTUS CAREFULLY BEFORE
INVESTING. INVESTING INVOLVES RISK INCLUDING POSSIBLE LOSS OF PRINCIPAL.
The iShares Funds are distributed by BlackRock Investments LLC (together with its affiliates BlackRock).
The iShares Funds are not sponsored endorsed issued sold or promoted by Barclays Bloomberg Finance L.P. BlackRock Index Services LLC Cohen & Steers Capital Management Inc. European Public Real Estate
