Fund Level
Fund Name,iShares Edge MSCI Intl Quality Factor ETF
Fund Ticker,IQLT
Fund ISIN,US46434V4564
Fund Cusip,46434V456
Fund LEI,
Total NAV per share,27.002057,Jan 22 2019
Distribution per Share,,
Fund Size,513039083.00,Jan 22 2019
Shares Outstanding,19000000,Jan 22 2019
Baskets Outstanding,190.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,5362.41,Jan 23 2019
Projected Cash for Deliverable Basket,90404.59,Jan 23 2019
Confirmed Cash for Deliverable Basket,90403.98,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,896,896.07368,0.00000,10.849282,GBP,1.000000,,,,,,,
EQUITY,ABB LTD,,H0010V101,CH0012221716,7108899,785,785.06842,0.00000,19.181034,CHF,1.000000,,,,,,,
EQUITY,ABC MART INC,,J00056101,JP3152740001,6292102,0,0.52631,0.00000,56.377924,JPY,1.000000,,,,,,,
EQUITY,ADECCO GROUP AG,,H00392318,CH0012138605,7110720,83,83.00526,0.00000,50.902165,CHF,1.000000,,,,,,,
EQUITY,ADIDAS N AG,,D0066B185,DE000A1EWWW0,4031976,117,117.02631,0.00000,233.716767,EUR,1.000000,,,,,,,
EQUITY,ADMIRAL GROUP PLC,,G0110T106,GB00B02J6398,B02J639,242,242.13684,0.00000,27.434220,GBP,1.000000,,,,,,,
EQUITY,AGL ENERGY LTD,,Q01630195,AU000000AGL7,BSS7GP5,251,251.00000,0.00000,14.911278,AUD,1.000000,,,,,,,
EQUITY,AIA GROUP LTD,,Y002A1105,HK0000069689,B4TX8S1,10000,10000.00000,0.00000,8.769246,HKD,1.000000,,,,,,,
EQUITY,AKER BP,,R0139K100,NO0010345853,B1L95G3,71,71.00000,0.00000,32.124684,NOK,1.000000,,,,,,,
EQUITY,ALLIANZ,,D03080112,DE0008404005,5231485,280,280.00526,0.00000,208.187355,EUR,1.000000,,,,,,,
EQUITY,AMADEUS IT GROUP SA,,E04648114,ES0109067019,B3MSM28,284,284.01052,0.00000,73.362989,EUR,1.000000,,,,,,,
EQUITY,AMUNDI SA,,F0300Q103,FR0004125920,BYZR014,40,40.06315,0.00000,55.885336,EUR,1.000000,,,,,,,
EQUITY,ARISTOCRAT LEISURE LTD,,Q0521T108,AU000000ALL7,6253983,375,375.00526,0.00000,17.588028,AUD,1.000000,,,,,,,
EQUITY,ASAHI KASEI CORP,,J0242P110,JP3111200006,6054603,600,600.00000,0.00000,10.508041,JPY,1.000000,,,,,,,
EQUITY,ASHTEAD GROUP PLC,,G05320109,GB0000536739,0053673,255,255.14210,0.00000,24.984968,GBP,1.000000,,,,,,,
EQUITY,ASM PACIFIC TECHNOLOGY LTD,,G0535Q133,KYG0535Q1331,6002453,200,202.10526,0.00000,9.916386,HKD,1.000000,,,,,,,
EQUITY,ASML HOLDING NV,,N07059202,NL0010273215,B929F46,173,173.15789,0.00000,160.535482,EUR,1.000000,,,,,,,
EQUITY,ASSA ABLOY B,,W0817X204,SE0007100581,BYPC1T4,436,436.07368,0.00000,18.496470,SEK,1.000000,,,,,,,
EQUITY,ASSICURAZIONI GENERALI,,T05040109,IT0000062072,4056719,679,679.10526,0.00000,17.392479,EUR,1.000000,,,,,,,
EQUITY,ASSOCIATED BRITISH FOODS PLC,,G05600138,GB0006731235,0673123,104,104.00526,0.00000,30.920193,GBP,1.000000,,,,,,,
EQUITY,ASTRAZENECA PLC,,G0593M107,GB0009895292,0989529,505,505.13157,0.00000,72.000249,GBP,1.000000,,,,,,,
EQUITY,ASX LTD,,Q0604U105,AU000000ASX7,6129222,158,158.10000,0.00000,45.683189,AUD,1.000000,,,,,,,
EQUITY,ATLAS COPCO CLASS A,,W1R924161,SE0011166610,BD97BN2,547,547.08421,0.00000,25.042226,SEK,1.000000,,,,,,,
EQUITY,ATLAS COPCO CLASS B,,W1R924195,SE0011166628,BD97BS7,299,299.13157,0.00000,23.259034,SEK,1.000000,,,,,,,
EQUITY,AXA SA,,F06106102,FR0000120628,7088429,1176,1176.05263,0.00000,23.161581,EUR,1.000000,,,,,,,
EQUITY,BABCOCK INTERNATIONAL GROUP PLC,,G0689Q152,GB0009697037,0969703,85,85.15789,0.00000,7.179290,GBP,1.000000,,,,,,,
EQUITY,BAE SYSTEMS PLC,,G06940103,GB0002634946,0263494,1686,1686.04736,0.00000,6.629829,GBP,1.000000,,,,,,,
EQUITY,BALOISE HOLDING AG,,H04530202,CH0012410517,7124594,30,30.08421,0.00000,154.470730,CHF,1.000000,,,,,,,
EQUITY,BANK LEUMI LE ISRAEL,,M16043107,IL0006046119,6076425,851,851.22105,0.00000,6.348689,ILS,1.000000,,,,,,,
EQUITY,BASF N,,D06216317,DE000BASF111,5086577,443,443.11578,0.00000,73.067720,EUR,1.000000,,,,,,,
EQUITY,BEIERSDORF AG,,D08792109,DE0005200000,5107401,34,34.08947,0.00000,98.597132,EUR,1.000000,,,,,,,
EQUITY,BERKELEY GROUP HOLDINGS (THE) PLC,,G1191G120,GB00B02L3W35,B02L3W3,94,94.01578,0.00000,49.062805,GBP,1.000000,,,,,,,
EQUITY,BIC SA,,F10080103,FR0000120966,5298781,13,13.01578,0.00000,102.492411,EUR,1.000000,,,,,,,
EQUITY,BOLIDEN,,W2R820110,SE0011088665,BDFD9D0,179,179.04210,0.00000,23.674374,SEK,1.000000,,,,,,,
EQUITY,BRAMBLES LTD,,Q6634U106,AU000000BXB1,B1FJ0C0,876,876.14736,0.00000,7.659072,AUD,1.000000,,,,,,,
EQUITY,BT GROUP PLC,,G16612106,GB0030913577,3091357,6132,6132.09473,0.00000,3.084244,GBP,1.000000,,,,,,,
EQUITY,BUNZL,,G16968110,GB00B0744B38,B0744B3,184,184.07368,0.00000,31.231209,GBP,1.000000,,,,,,,
EQUITY,BURBERRY GROUP PLC,,G1700D105,GB0031743007,3174300,291,291.15789,0.00000,23.015198,GBP,1.000000,,,,,,,
EQUITY,BUREAU VERITAS SA,,F96888114,FR0006174348,B28DTJ6,123,123.04210,0.00000,21.713628,EUR,1.000000,,,,,,,
EQUITY,CALBEE INC,,J05190103,JP3220580009,B3TBRZ8,0,0.52631,0.00000,31.889620,JPY,1.000000,,,,,,,
EQUITY,CAMECO CORP,,13321L108,CA13321L1085,2166160,259,259.02631,0.00000,11.592247,CAD,1.000000,,,,,,,
EQUITY,CANADIAN IMPERIAL BANK OF COMMERCE,,136069101,CA1360691010,2170525,248,248.03684,0.00000,82.285457,CAD,1.000000,,,,,,,
EQUITY,CANADIAN NATIONAL RAILWAY,,136375102,CA1363751027,2180632,386,386.04210,0.00000,81.138230,CAD,1.000000,,,,,,,
EQUITY,CANADIAN PACIFIC RAILWAY LTD,,13645T100,CA13645T1003,2793115,66,66.00526,0.00000,196.183406,CAD,1.000000,,,,,,,
EQUITY,CCL INDUSTRIES INC CLASS B,,124900309,CA1249003098,2159795,75,75.02631,0.00000,40.887789,CAD,1.000000,,,,,,,
EQUITY,CENTRICA PLC,,G2018Z143,GB00B033F229,B033F22,1885,1885.01052,0.00000,1.737803,GBP,1.000000,,,,,,,
EQUITY,CGI GROUP CLASS A,,39945C109,CA39945C1095,2159740,91,91.03157,0.00000,64.469688,CAD,1.000000,,,,,,,
EQUITY,CHECK POINT SOFTWARE TECHNOLOGIES,,M22465104,IL0010824113,2181334,69,69.00000,0.00000,106.660000,USD,1.000000,,,,,,,
EQUITY,CHEUNG KONG INFRASTRUCTURE HOLDING,,G2178K100,BMG2178K1009,BYVS6J1,500,510.52631,0.00000,7.902519,HKD,1.000000,,,,,,,
EQUITY,CHR HANSEN HOLDING,,K1830B107,DK0060227585,B573M11,63,63.07894,0.00000,93.594111,DKK,1.000000,,,,,,,
EQUITY,CI FINANCIAL CORP,,125491100,CA1254911003,B3KT0S5,290,290.06842,0.00000,13.331834,CAD,1.000000,,,,,,,
EQUITY,CLP HOLDINGS LTD,,Y1660Q104,HK0002007356,6097017,500,539.47368,0.00000,11.586112,HKD,1.000000,,,,,,,
EQUITY,COCA-COLA AMATIL LTD,,Q2594P146,AU000000CCL2,6123451,148,148.00000,0.00000,5.931677,AUD,1.000000,,,,,,,
EQUITY,COCHLEAR LTD,,Q25953102,AU000000COH5,6211798,30,30.02105,0.00000,135.457792,AUD,1.000000,,,,,,,
EQUITY,COLOPLAST B,,K16018192,DK0060448595,B8FMRX8,61,61.00526,0.00000,92.316584,DKK,1.000000,,,,,,,
EQUITY,COMFORTDELGRO CORPORATION LTD,,Y1690R106,SG1N31909426,6603737,800,813.15789,0.00000,1.610413,SGD,1.000000,,,,,,,
EQUITY,COMPASS GROUP PLC,,G23296208,GB00BD6K4575,BD6K457,874,874.10000,0.00000,21.090786,GBP,1.000000,,,,,,,
EQUITY,CONSTELLATION SOFTWARE INC,,21037X100,CA21037X1006,B15C4L6,12,12.02105,0.00000,695.827241,CAD,1.000000,,,,,,,
EQUITY,CONTINENTAL AG,,D16212140,DE0005439004,4598589,55,55.11578,0.00000,151.325360,EUR,1.000000,,,,,,,
EQUITY,COVESTRO AG,,D0R41Z100,DE0006062144,BYTBWY9,159,159.03157,0.00000,52.455673,EUR,1.000000,,,,,,,
EQUITY,CRODA INTERNATIONAL PLC,,G25536148,GB00BYZWX769,BYZWX76,91,91.12105,0.00000,62.293952,GBP,1.000000,,,,,,,
EQUITY,CSL LTD,,Q3018U109,AU000000CSL8,6185495,181,181.12105,0.00000,139.690625,AUD,1.000000,,,,,,,
