Fund Level
Fund Name,iShares Edge MSCI Multifactor Intl Small-Cap ETF
Fund Ticker,ISCF
Fund ISIN,US46434V2667
Fund Cusip,46434V266
Fund LEI,
Total NAV per share,27.433622,Jan 22 2019
Distribution per Share,,
Fund Size,74070779.40,Jan 22 2019
Shares Outstanding,2700000,Jan 22 2019
Baskets Outstanding,27.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,28016.54,Jan 23 2019
Projected Cash for Deliverable Basket,87473.02,Jan 23 2019
Confirmed Cash for Deliverable Basket,84942.77,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,888 HOLDINGS PLC,,X19526106,GI000A0F6407,B0L4LM9,1982,1982.33333,0.00000,2.181001,GBP,1.000000,,,,,,,
EQUITY,ABACUS PROPERTY GROUP STAPLED UNIT,,Q0015N229,AU000000ABP9,6565707,1907,1907.37037,0.00000,2.405505,AUD,1.000000,,,,,,,
EQUITY,ABC ARBITRAGE SA,,F0011K106,FR0004040608,4121714,164,164.29629,0.00000,6.961534,EUR,1.000000,,,,,,,
EQUITY,ABCAM PLC,,G0060R118,GB00B6774699,B677469,1062,1062.44444,0.00000,16.133965,GBP,1.000000,,,,,,,
EQUITY,ACACIA MINING PLC,,G0067D104,GB00B61D2N63,B61D2N6,1036,1036.29629,0.00000,2.300224,GBP,1.000000,,,,,,,
EQUITY,ADVA OPTICAL NETWORKING,,D0190E105,DE0005103006,5653487,225,225.00000,0.00000,7.994976,EUR,1.000000,,,,,,,
EQUITY,ADVANCED MEDICAL SOLUTIONS GROUP P,,G0098X103,GB0004536594,0453659,1125,1125.22222,0.00000,3.822907,GBP,1.000000,,,,,,,
EQUITY,AFRICA ISRAEL PROPERTIES LTD,,M0203G105,IL0010913544,B034CL3,71,71.00000,0.00000,22.416089,ILS,1.000000,,,,,,,
EQUITY,AGF MANAGEMENT LTD CLASS B,,001092105,CA0010921058,2001528,436,436.07407,0.00000,3.531661,CAD,1.000000,,,,,,,
EQUITY,AGFA-GEVAERT NV,,B0302M104,BE0003755692,5689051,1021,1021.44444,0.00000,3.852125,EUR,1.000000,,,,,,,
EQUITY,AGGREKO PLC,,G0116S185,GB00BK1PTB77,BK1PTB7,1439,1439.00000,0.00000,9.213855,GBP,1.000000,,,,,,,
EQUITY,AGRITRADE RESOURCES LTD,,G0130N113,BMG0130N1130,BFWMB94,15000,15555.55555,0.00000,0.183542,HKD,1.000000,,,,,,,
EQUITY,AICHI STEEL CORP,,J0039M106,JP3103600007,6010207,100,100.00000,0.00000,32.300804,JPY,1.000000,,,,,,,
