Fund Level
Fund Name,iShares Core S&P Total U.S. Stock Market ETF
Fund Ticker,ITOT
Fund ISIN,US4642871507
Fund Cusip,464287150
Fund LEI,
Total NAV per share,59.886868,Jan 22 2019
Distribution per Share,,
Fund Size,16633577587.00,Jan 22 2019
Shares Outstanding,277750000,Jan 22 2019
Baskets Outstanding,5555.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,266.59,Jan 23 2019
Projected Cash for Deliverable Basket,35494.44,Jan 23 2019
Confirmed Cash for Deliverable Basket,35487.65,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1-800 FLOWERS.COM INC CLASS A,,68243Q106,US68243Q1067,2444123,2,1.88587,0.00000,12.870000,USD,1.000000,,,,,,,
EQUITY,1347 PROPERTY INSURANCE HOLDINGS I,,68244P107,US68244P1075,BKM4PG0,1,0.86265,0.00000,4.390000,USD,1.000000,,,,,,,
EQUITY,1ST CONSTITUTION BANCORP,,31986N102,US31986N1028,2554345,1,0.88101,0.00000,19.410000,USD,1.000000,,,,,,,
EQUITY,1ST SOURCE CORP,,336901103,US3369011032,2341848,2,1.89307,0.00000,44.630000,USD,1.000000,,,,,,,
EQUITY,2U INC,,90214J101,US90214J1016,BKWBZZ0,7,7.42682,0.00000,56.350000,USD,1.000000,,,,,,,
EQUITY,3D SYSTEMS CORP,,88554D205,US88554D2053,2889768,11,11.16364,0.00000,10.870000,USD,1.000000,,,,,,,
EQUITY,3M,,88579Y101,US88579Y1010,2595708,65,65.46625,0.00000,192.260000,USD,1.000000,,,,,,,
EQUITY,8X8 INC,,282914100,US2829141009,2037170,13,13.37732,0.00000,20.210000,USD,1.000000,,,,,,,
EQUITY,A H BELO CORP SERIES A,,001282102,US0012821023,B2NWXY1,2,2.05383,0.00000,4.300000,USD,1.000000,,,,,,,
EQUITY,A MARK PRECIOUS METALS INC,,00181T107,US00181T1079,BK6MJ46,0,0.12313,0.00000,13.020000,USD,1.000000,,,,,,,
EQUITY,A O SMITH CORP,,831865209,US8318652091,2816023,16,16.07525,0.00000,47.160000,USD,1.000000,,,,,,,
EQUITY,A SCHULMAN INC,,808CVR104,US808CVR1040,9927791,0,2.56976,0.00000,1.910000,USD,1.000000,,,,,,,
EQUITY,A10 NETWORKS INC,,002121101,US0021211018,BKQVBN6,4,4.06265,0.00000,6.520000,USD,1.000000,,,,,,,
EQUITY,AAC HLDG INC,,000307108,US0003071083,BQZJBY4,1,0.97408,0.00000,2.460000,USD,1.000000,,,,,,,
EQUITY,AAON INC,,000360206,US0003602069,2268130,4,4.13537,0.00000,37.680000,USD,1.000000,,,,,,,
EQUITY,AAR CORP,,000361105,US0003611052,2001119,4,3.85347,0.00000,36.770000,USD,1.000000,,,,,,,
EQUITY,AARONS INC,,002535300,US0025353006,2002918,7,6.99388,0.00000,48.140000,USD,1.000000,,,,,,,
EQUITY,ABBOTT LABORATORIES,,002824100,US0028241000,2002305,195,195.43762,0.00000,71.490000,USD,1.000000,,,,,,,
EQUITY,ABBVIE INC,,00287Y109,US00287Y1091,B92SR70,169,168.72349,0.00000,88.660000,USD,1.000000,,,,,,,
EQUITY,ABEONA THERAPEUTICS INC,,00289Y107,US00289Y1073,BYNS0T7,3,2.90009,0.00000,6.890000,USD,1.000000,,,,,,,
EQUITY,ABERCROMBIE AND FITCH CLASS A,,002896207,US0028962076,2004185,9,9.07255,0.00000,20.070000,USD,1.000000,,,,,,,
EQUITY,ABIOMED INC,,003654100,US0036541003,2003698,5,4.91287,0.00000,336.130000,USD,1.000000,,,,,,,
