Fund Level
Fund Name,iShares Edge MSCI Intl Value Factor ETF
Fund Ticker,IVLU
Fund ISIN,US46435G4091
Fund Cusip,46435G409
Fund LEI,
Total NAV per share,23.140331,Jan 22 2019
Distribution per Share,,
Fund Size,298510269.90,Jan 22 2019
Shares Outstanding,12900000,Jan 22 2019
Baskets Outstanding,129.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,7339.25,Jan 23 2019
Projected Cash for Deliverable Basket,54785.94,Jan 23 2019
Confirmed Cash for Deliverable Basket,63191.48,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,302,302.42635,0.00000,10.849282,GBP,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK,,K0514G135,DK0010244425,4253059,2,2.01550,0.00000,1237.985156,DKK,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK B,,K0514G101,DK0010244508,4253048,3,3.03100,0.00000,1320.111936,DKK,1.000000,,,,,,,
EQUITY,AEGON NV,,N00927298,NL0000303709,5927375,1274,1274.44961,0.00000,5.127460,EUR,1.000000,,,,,,,
EQUITY,AEON MALL LTD,,J10005106,JP3131430005,6534202,100,100.77519,0.00000,16.091009,JPY,1.000000,,,,,,,
EQUITY,AERCAP HOLDINGS NV,,N00985106,NL0000687663,B1HHKD3,120,120.75968,0.00000,45.270000,USD,1.000000,,,,,,,
EQUITY,AGC INC,,J0025W100,JP3112000009,6055208,100,100.77519,0.00000,32.711988,JPY,1.000000,,,,,,,
EQUITY,AGEAS NV,,B0148L138,BE0974264930,B86S2N0,56,56.90697,0.00000,46.141459,EUR,1.000000,,,,,,,
EQUITY,AISIN SEIKI LTD,,J00714105,JP3102000001,6010702,100,100.77519,0.00000,39.427997,JPY,1.000000,,,,,,,
EQUITY,AJINOMOTO INC,,J00882126,JP3119600009,6010906,100,100.00000,0.00000,17.479898,JPY,1.000000,,,,,,,
EQUITY,ALFRESA HOLDINGS CORP,,J0109X107,JP3126340003,6687214,100,104.65116,0.00000,28.143275,JPY,1.000000,,,,,,,
EQUITY,ALPS ALPINE LTD,,J01176114,JP3126400005,6021500,100,100.77519,0.00000,19.819079,JPY,1.000000,,,,,,,
EQUITY,AMADA HOLDINGS LTD,,J01218106,JP3122800000,6022105,200,201.55038,0.00000,9.795322,JPY,1.000000,,,,,,,
EQUITY,ANA HOLDINGS INC,,J0156Q112,JP3429800000,6014908,100,100.00000,0.00000,36.504020,JPY,1.000000,,,,,,,
EQUITY,ANGLO AMERICAN PLC,,G03764134,GB00B1XZS820,B1XZS82,663,663.25581,0.00000,23.274378,GBP,1.000000,,,,,,,
EQUITY,ARCELORMITTAL SA,,L0302D210,LU1598757687,BYPBS67,590,590.05426,0.00000,21.513753,EUR,1.000000,,,,,,,
EQUITY,AROUNDTOWN PROPERTY HOLDINGS SA,,L0269F109,LU1673108939,BF0CK44,481,481.51937,0.00000,8.500340,EUR,1.000000,,,,,,,
EQUITY,ASAHI GROUP HOLDINGS LTD,,J02100113,JP3116000005,6054409,200,200.00000,0.00000,40.625000,JPY,1.000000,,,,,,,
EQUITY,ASAHI KASEI CORP,,J0242P110,JP3111200006,6054603,400,400.00000,0.00000,10.508041,JPY,1.000000,,,,,,,
