Fund Level
Fund Name,iShares Russell Microcap Index Fund
Fund Ticker,IWC
Fund ISIN,US4642888691
Fund Cusip,464288869
Fund LEI,
Total NAV per share,88.970164,Jan 22 2019
Distribution per Share,,
Fund Size,894150148.20,Jan 22 2019
Shares Outstanding,10050000,Jan 22 2019
Baskets Outstanding,201.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,-179.67,Jan 23 2019
Projected Cash for Deliverable Basket,107933.09,Jan 23 2019
Confirmed Cash for Deliverable Basket,107758.78,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1-800 FLOWERS.COM INC CLASS A,,68243Q106,US68243Q1067,2444123,335,334.67164,0.00000,12.870000,USD,1.000000,,,,,,,
EQUITY,1347 PROPERTY INSURANCE HOLDINGS I,,68244P107,US68244P1075,BKM4PG0,56,56.28856,0.00000,4.390000,USD,1.000000,,,,,,,
EQUITY,1ST CONSTITUTION BANCORP,,31986N102,US31986N1028,2554345,109,109.42786,0.00000,19.410000,USD,1.000000,,,,,,,
EQUITY,A H BELO CORP SERIES A,,001282102,US0012821023,B2NWXY1,271,271.24876,0.00000,4.300000,USD,1.000000,,,,,,,
EQUITY,A MARK PRECIOUS METALS INC,,00181T107,US00181T1079,BK6MJ46,65,64.81095,0.00000,13.020000,USD,1.000000,,,,,,,
EQUITY,A10 NETWORKS INC,,002121101,US0021211018,BKQVBN6,647,647.13930,0.00000,6.520000,USD,1.000000,,,,,,,
EQUITY,AAC HLDG INC,,000307108,US0003071083,BQZJBY4,162,162.36816,0.00000,2.460000,USD,1.000000,,,,,,,
EQUITY,ABEONA THERAPEUTICS INC,,00289Y107,US00289Y1073,BYNS0T7,387,386.79602,0.00000,6.890000,USD,1.000000,,,,,,,
EQUITY,ABRAXAS PETROLEUM CORP,,003830106,US0038301067,2003030,1960,1959.97015,0.00000,1.250000,USD,1.000000,,,,,,,
EQUITY,ACACIA RESEARCH CORP,,003881307,US0038813079,2169589,0,538.87562,0.00000,3.030000,USD,1.000000,,,,,,,
