Fund Level
Fund Name,iShares Russell 2000 Value Index Fund
Fund Ticker,IWN
Fund ISIN,US4642876308
Fund Cusip,464287630
Fund LEI,
Total NAV per share,116.246663,Jan 22 2019
Distribution per Share,,
Fund Size,9125363045.50,Jan 22 2019
Shares Outstanding,78500000,Jan 22 2019
Baskets Outstanding,1570.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,-3274.7,Jan 23 2019
Projected Cash for Deliverable Basket,474430.84,Jan 23 2019
Confirmed Cash for Deliverable Basket,474469.57,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1-800 FLOWERS.COM INC CLASS A,,68243Q106,US68243Q1067,2444123,119,119.15669,0.00000,12.870000,USD,1.000000,,,,,,,
EQUITY,1ST CONSTITUTION BANCORP,,31986N102,US31986N1028,2554345,44,44.12803,0.00000,19.410000,USD,1.000000,,,,,,,
EQUITY,1ST SOURCE CORP,,336901103,US3369011032,2341848,97,97.00127,0.00000,44.630000,USD,1.000000,,,,,,,
EQUITY,3D SYSTEMS CORP,,88554D205,US88554D2053,2889768,638,638.03376,0.00000,10.870000,USD,1.000000,,,,,,,
EQUITY,AAC HLDG INC,,000307108,US0003071083,BQZJBY4,35,35.46497,0.00000,2.460000,USD,1.000000,,,,,,,
EQUITY,AAR CORP,,000361105,US0003611052,2001119,203,202.83439,0.00000,36.770000,USD,1.000000,,,,,,,
EQUITY,AARONS INC,,002535300,US0025353006,2002918,424,424.24968,0.00000,48.140000,USD,1.000000,,,,,,,
EQUITY,ABEONA THERAPEUTICS INC,,00289Y107,US00289Y1073,BYNS0T7,17,17.43503,0.00000,6.890000,USD,1.000000,,,,,,,
EQUITY,ABERCROMBIE AND FITCH CLASS A,,002896207,US0028962076,2004185,409,408.73694,0.00000,20.070000,USD,1.000000,,,,,,,
EQUITY,ABM INDUSTRIES INC,,000957100,US0009571003,2024901,406,406.16752,0.00000,35.230000,USD,1.000000,,,,,,,
EQUITY,ABRAXAS PETROLEUM CORP,,003830106,US0038301067,2003030,73,72.66624,0.00000,1.250000,USD,1.000000,,,,,,,
EQUITY,ACACIA COMMUNICATIONS INC,,00401C108,US00401C1080,BYXPCC5,145,144.55096,0.00000,41.280000,USD,1.000000,,,,,,,
EQUITY,ACACIA RESEARCH CORP,,003881307,US0038813079,2169589,0,227.20318,0.00000,3.030000,USD,1.000000,,,,,,,
EQUITY,ACADIA REALTY TRUST REIT,,004239109,US0042391096,2566522,494,494.46306,0.00000,26.260000,USD,1.000000,,,,,,,
EQUITY,ACCELERON PHARMA INC,,00434H108,US00434H1086,BDGTXQ8,41,41.33822,0.00000,40.640000,USD,1.000000,,,,,,,
EQUITY,ACCESS NATIONAL CORP,,004337101,US0043371014,B01Y8T5,0,95.54968,0.00000,24.350000,USD,1.000000,,,,,,,
EQUITY,ACCO BRANDS CORP,,00081T108,US00081T1088,B0G7SZ5,635,635.08089,0.00000,8.830000,USD,1.000000,,,,,,,
EQUITY,ACHAOGEN INC,,004449104,US0044491043,BK35H22,24,23.62930,0.00000,1.290000,USD,1.000000,,,,,,,
EQUITY,ACHILLION PHARMACEUTICALS INC,,00448Q201,US00448Q2012,B17T9T8,841,840.87006,0.00000,2.110000,USD,1.000000,,,,,,,
EQUITY,ACI WORLDWIDE INC,,004498101,US0044981019,2889155,39,39.07134,0.00000,28.230000,USD,1.000000,,,,,,,
EQUITY,ACLARIS THERAPEUTICS INC,,00461U105,US00461U1051,BYV2W40,36,36.07134,0.00000,6.150000,USD,1.000000,,,,,,,
EQUITY,ACNB CORP,,000868109,US0008681092,2412012,41,41.07452,0.00000,36.560000,USD,1.000000,,,,,,,
EQUITY,ACORDA THERAPEUTICS INC,,00484M106,US00484M1062,2925844,233,233.14268,0.00000,15.930000,USD,1.000000,,,,,,,
EQUITY,ACTUANT CORP CLASS A,,00508X203,US00508X2036,2716792,191,190.69427,0.00000,22.110000,USD,1.000000,,,,,,,
EQUITY,ACUSHNET HOLDINGS CORP,,005098108,US0050981085,BD3WG50,214,213.51210,0.00000,23.110000,USD,1.000000,,,,,,,
EQUITY,ADAMAS PHARMACEUTICALS INC,,00548A106,US00548A1060,BL25XY4,66,65.59299,0.00000,8.670000,USD,1.000000,,,,,,,
EQUITY,ADAMS RESOURCES AND ENERGY INC,,006351308,US0063513081,2007526,13,13.00955,0.00000,40.060000,USD,1.000000,,,,,,,
EQUITY,ADTALEM GLOBAL EDUCATION INC,,00737L103,US00737L1035,BZ12TX5,360,359.52548,0.00000,48.700000,USD,1.000000,,,,,,,
EQUITY,ADTRAN INC,,00738A106,US00738A1060,2052924,294,293.76115,0.00000,11.780000,USD,1.000000,,,,,,,
