Fund Level
Fund Name,iShares Russell Midcap Value Index Fund
Fund Ticker,IWS
Fund ISIN,US4642874733
Fund Cusip,464287473
Fund LEI,
Total NAV per share,81.536747,Jan 22 2019
Distribution per Share,,
Fund Size,10648699158.20,Jan 22 2019
Shares Outstanding,130600000,Jan 22 2019
Baskets Outstanding,2612.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,50.39,Jan 23 2019
Projected Cash for Deliverable Basket,42847.72,Jan 23 2019
Confirmed Cash for Deliverable Basket,42576.24,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACADIA HEALTHCARE COMPANY INC,,00404A109,US00404A1097,B65VZ37,89,89.11715,0.00000,28.320000,USD,1.000000,,,,,,,
EQUITY,ACUITY BRANDS INC,,00508Y102,US00508Y1029,2818461,41,40.58078,0.00000,116.140000,USD,1.000000,,,,,,,
EQUITY,ADIENT PLC,,G0084W101,IE00BD845X29,BD845X2,93,93.24541,0.00000,18.650000,USD,1.000000,,,,,,,
EQUITY,ADT INC,,00090Q103,US00090Q1031,BFWCP81,105,105.19142,0.00000,7.140000,USD,1.000000,,,,,,,
EQUITY,ADVANCE AUTO PARTS INC,,00751Y106,US00751Y1064,2822019,50,49.61064,0.00000,164.130000,USD,1.000000,,,,,,,
EQUITY,AECOM,,00766T100,US00766T1007,B1VZ431,157,157.46746,0.00000,29.650000,USD,1.000000,,,,,,,
EQUITY,AES CORP,,00130H105,US00130H1059,2002479,676,676.14472,0.00000,15.610000,USD,1.000000,,,,,,,
EQUITY,AFFILIATED MANAGERS GROUP INC,,008252108,US0082521081,2127899,53,53.11830,0.00000,106.580000,USD,1.000000,,,,,,,
EQUITY,AGCO CORP,,001084102,US0010841023,2010278,66,66.28446,0.00000,62.850000,USD,1.000000,,,,,,,
EQUITY,AGILENT TECHNOLOGIES INC,,00846U101,US00846U1016,2520153,325,324.84916,0.00000,71.320000,USD,1.000000,,,,,,,
EQUITY,AGIOS PHARMACEUTICALS INC,,00847X104,US00847X1046,BCBVTX1,3,2.87634,0.00000,52.270000,USD,1.000000,,,,,,,
EQUITY,AGNC INVESTMENT REIT CORP,,00123Q104,US00123Q1040,BYYHJL8,525,524.99541,0.00000,17.940000,USD,1.000000,,,,,,,
EQUITY,AIR LEASE CORP CLASS A,,00912X302,US00912X3026,B3XS562,92,91.88821,0.00000,36.340000,USD,1.000000,,,,,,,
EQUITY,AKAMAI TECHNOLOGIES INC,,00971T101,US00971T1016,2507457,10,10.05513,0.00000,64.510000,USD,1.000000,,,,,,,
EQUITY,ALASKA AIR GROUP INC,,011659109,US0116591092,2012605,122,121.84609,0.00000,63.960000,USD,1.000000,,,,,,,
EQUITY,ALBEMARLE CORP,,012653101,US0126531013,2046853,108,107.86600,0.00000,75.370000,USD,1.000000,,,,,,,
EQUITY,ALCOA CORP,,013872106,US0138721065,BYNF418,192,191.62519,0.00000,27.810000,USD,1.000000,,,,,,,
EQUITY,ALEXANDRIA REAL ESTATE EQUITIES RE,,015271109,US0152711091,2009210,100,99.72205,0.00000,124.380000,USD,1.000000,,,,,,,
EQUITY,ALLEGHANY  CORP,,017175100,US0171751003,2016801,13,12.99923,0.00000,617.730000,USD,1.000000,,,,,,,
EQUITY,ALLEGION PLC,,G0176J109,IE00BFRT3W74,BFRT3W7,16,16.25919,0.00000,82.180000,USD,1.000000,,,,,,,
EQUITY,ALLIANT ENERGY CORP,,018802108,US0188021085,2973821,241,240.55322,0.00000,43.140000,USD,1.000000,,,,,,,
EQUITY,ALLY FINANCIAL INC,,02005N100,US02005N1000,B72XK05,430,429.88591,0.00000,25.660000,USD,1.000000,,,,,,,
EQUITY,ALNYLAM PHARMACEUTICALS INC,,02043Q107,US02043Q1076,B00FWN1,10,10.22129,0.00000,80.660000,USD,1.000000,,,,,,,
EQUITY,AMDOCS LTD,,G02602103,GB0022569080,2256908,146,146.00651,0.00000,60.470000,USD,1.000000,,,,,,,
EQUITY,AMERCO,,023586100,US0235861004,2028174,7,7.14472,0.00000,348.360000,USD,1.000000,,,,,,,
EQUITY,AMEREN CORP,,023608102,US0236081024,2050832,248,247.59418,0.00000,67.580000,USD,1.000000,,,,,,,
EQUITY,AMERICAN AIRLINES GROUP INC,,02376R102,US02376R1023,BCV7KT2,421,420.75077,0.00000,32.740000,USD,1.000000,,,,,,,
EQUITY,AMERICAN CAMPUS COMMUNITIES REIT I,,024835100,US0248351001,B02H871,138,137.92343,0.00000,43.740000,USD,1.000000,,,,,,,
EQUITY,AMERICAN FINANCIAL GROUP INC,,025932104,US0259321042,2134532,0,72.55666,0.00000,95.280000,USD,1.000000,,,,,,,
EQUITY,AMERICAN HOMES  RENT REIT CLASS A,,02665T306,US02665T3068,BCF5RR9,262,261.96516,0.00000,21.270000,USD,1.000000,,,,,,,
EQUITY,AMERICAN NATIONAL INSURANCE,,028591105,US0285911055,2028420,8,7.79900,0.00000,134.800000,USD,1.000000,,,,,,,
EQUITY,AMERICAN WATER WORKS INC,,030420103,US0304201033,B2R3PV1,184,183.89012,0.00000,92.770000,USD,1.000000,,,,,,,
EQUITY,AMERIPRISE FINANCE INC,,03076C106,US03076C1062,B0J7D57,119,118.82963,0.00000,119.280000,USD,1.000000,,,,,,,
EQUITY,AMETEK INC,,031100100,US0311001004,2089212,188,188.08767,0.00000,70.790000,USD,1.000000,,,,,,,
EQUITY,ANALOG DEVICES INC,,032654105,US0326541051,2032067,317,316.54058,0.00000,89.130000,USD,1.000000,,,,,,,
EQUITY,ANNALY CAPITAL MANAGEMENT REIT INC,,035710409,US0357104092,2113456,1409,1408.69296,0.00000,10.250000,USD,1.000000,,,,,,,
EQUITY,ANTERO RESOURCES CORP,,03674X106,US03674X1063,BFD2WR8,112,112.33155,0.00000,10.380000,USD,1.000000,,,,,,,
