Fund Level
Fund Name,iShares Global Financials ETF
Fund Ticker,IXG
Fund ISIN,US4642873339
Fund Cusip,464287333
Fund LEI,
Total NAV per share,60.980869,Jan 22 2019
Distribution per Share,,
Fund Size,368934257.45,Jan 22 2019
Shares Outstanding,6050000,Jan 22 2019
Baskets Outstanding,121.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,8560.01,Jan 23 2019
Projected Cash for Deliverable Basket,87575.38,Jan 23 2019
Confirmed Cash for Deliverable Basket,87185.19,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,525,525.84297,0.00000,10.849282,GBP,1.000000,,,,,,,
EQUITY,ABN AMRO GROUP NV,,N0162C102,NL0011540547,BYQP136,198,198.19834,0.00000,25.449916,EUR,1.000000,,,,,,,
EQUITY,AEGON NV,,N00927298,NL0000303709,5927375,685,685.00000,0.00000,5.127460,EUR,1.000000,,,,,,,
EQUITY,AFFILIATED MANAGERS GROUP INC,,008252108,US0082521081,2127899,26,26.76033,0.00000,106.580000,USD,1.000000,,,,,,,
EQUITY,AFLAC INC,,001055102,US0010551028,2026361,360,360.96694,0.00000,47.390000,USD,1.000000,,,,,,,
EQUITY,AGEAS NV,,B0148L138,BE0974264930,B86S2N0,92,92.45454,0.00000,46.141459,EUR,1.000000,,,,,,,
EQUITY,AIA GROUP LTD,,Y002A1105,HK0000069689,B4TX8S1,5800,5800.00000,0.00000,8.769246,HKD,1.000000,,,,,,,
EQUITY,ALLIANZ,,D03080112,DE0008404005,5231485,200,200.00000,0.00000,208.187355,EUR,1.000000,,,,,,,
EQUITY,ALLSTATE CORP,,020002101,US0200021014,2019952,164,164.00000,0.00000,85.860000,USD,1.000000,,,,,,,
EQUITY,AMERICAN EXPRESS,,025816109,US0258161092,2026082,327,327.00000,0.00000,99.830000,USD,1.000000,,,,,,,
EQUITY,AMERICAN INTERNATIONAL GROUP INC,,026874784,US0268747849,2027342,418,418.00000,0.00000,43.360000,USD,1.000000,,,,,,,
EQUITY,AMERIPRISE FINANCE INC,,03076C106,US03076C1062,B0J7D57,66,66.98347,0.00000,119.280000,USD,1.000000,,,,,,,
EQUITY,AMP LTD,,Q0344G101,AU000000AMP6,6709958,1420,1420.61157,0.00000,1.877294,AUD,1.000000,,,,,,,
EQUITY,AON PLC CLASS A,,G0408V102,GB00B5BT0K07,B5BT0K0,114,114.00000,0.00000,153.700000,USD,1.000000,,,,,,,
EQUITY,ARTHUR J GALLAGHER,,363576109,US3635761097,2359506,85,85.93388,0.00000,73.380000,USD,1.000000,,,,,,,
EQUITY,ASSICURAZIONI GENERALI,,T05040109,IT0000062072,4056719,562,562.95041,0.00000,17.392479,EUR,1.000000,,,,,,,
EQUITY,ASSURANT INC,,04621X108,US04621X1081,2331430,23,23.04958,0.00000,95.010000,USD,1.000000,,,,,,,
EQUITY,ASX LTD,,Q0604U105,AU000000ASX7,6129222,106,106.03305,0.00000,45.683189,AUD,1.000000,,,,,,,
EQUITY,AUSTRALIA AND NEW ZEALAND BANKING,,Q09504137,AU000000ANZ3,6065586,1369,1369.23966,0.00000,18.423173,AUD,1.000000,,,,,,,
EQUITY,AVIVA PLC,,G0683Q109,GB0002162385,0216238,1816,1816.00000,0.00000,5.397427,GBP,1.000000,,,,,,,
EQUITY,AXA SA,,F06106102,FR0000120628,7088429,923,923.86776,0.00000,23.161581,EUR,1.000000,,,,,,,
EQUITY,BALOISE HOLDING AG,,H04530202,CH0012410517,7124594,25,25.00000,0.00000,154.470730,CHF,1.000000,,,,,,,
EQUITY,BANCO BILBAO VIZCAYA ARGENTARIA,,E11805103,ES0113211835,5501906,3208,3208.07438,0.00000,5.871310,EUR,1.000000,,,,,,,
EQUITY,BANCO BPM,,T1708N101,IT0005218380,BYMD5K9,651,651.86776,0.00000,2.043034,EUR,1.000000,,,,,,,
EQUITY,BANCO BRADESCO ADR REPTG  PREF SA,,059460303,US0594603039,B00FSK0,2047,2047.00000,0.00000,10.940000,USD,1.000000,,,,,,,
EQUITY,BANCO DE CHILE ADR REPRESENTING,,059520106,US0595201064,2834252,96,96.74380,0.00000,30.600000,USD,1.000000,,,,,,,
EQUITY,BANCO DE SABADELL SA,,E15819191,ES0113860A34,B1X8QN2,2612,2612.00000,0.00000,1.169152,EUR,1.000000,,,,,,,
EQUITY,BANCO DO BRASIL ADR SA,,059578104,US0595781040,B4N20W2,670,670.66115,0.00000,12.595000,USD,1.000000,,,,,,,
EQUITY,BANCO SANTANDER CHILE ADR REPRESEN,,05965X109,US05965X1090,2136646,83,83.17355,0.00000,31.360000,USD,1.000000,,,,,,,
EQUITY,BANCO SANTANDER SA,,E19790109,ES0113900J37,5705946,7741,7741.52066,0.00000,4.894084,EUR,1.000000,,,,,,,
EQUITY,BANCOLOMBIA ADR REPRESENTING  PREF,,05968L102,US05968L1026,2082567,61,61.01652,0.00000,43.720000,USD,1.000000,,,,,,,
EQUITY,BANK OF AMERICA CORP,,060505104,US0605051046,2295677,4313,4313.81818,0.00000,29.090000,USD,1.000000,,,,,,,
EQUITY,BANK OF CHINA LTD H,,Y0698A107,CNE1000001Z5,B154564,36000,36033.05785,0.00000,0.443561,HKD,1.000000,,,,,,,
EQUITY,BANK OF IRELAND GROUP PLC,,G0756R109,IE00BD1RP616,BD1RP61,447,447.04958,0.00000,6.297179,EUR,1.000000,,,,,,,
EQUITY,BANK OF MONTREAL,,063671101,CA0636711016,2076009,306,306.10743,0.00000,72.507779,CAD,1.000000,,,,,,,
EQUITY,BANK OF NEW YORK MELLON CORP,,064058100,US0640581007,B1Z77F6,438,438.00826,0.00000,52.590000,USD,1.000000,,,,,,,
EQUITY,BANK OF NOVA SCOTIA,,064149107,CA0641491075,2076281,583,583.76033,0.00000,55.336857,CAD,1.000000,,,,,,,
EQUITY,BANKIA SA,,E2R23Z164,ES0113307062,BZ3C3Q4,610,610.07438,0.00000,2.827768,EUR,1.000000,,,,,,,
EQUITY,BARCLAYS PLC,,G08036124,GB0031348658,3134865,7428,7428.00826,0.00000,2.115688,GBP,1.000000,,,,,,,
EQUITY,BB AND T CORP,,054937107,US0549371070,2830904,363,363.00000,0.00000,49.140000,USD,1.000000,,,,,,,
EQUITY,BERKSHIRE HATHAWAY INC CLASS B,,084670702,US0846707026,2073390,922,922.14876,0.00000,200.720000,USD,1.000000,,,,,,,
EQUITY,BGP HOLDINGS PLC - UNLISTED,,,MV3357358ZDD,9933572,0,0.00000,5033.00000,0.000011,EUR,1.000000,,,,,,,
EQUITY,BLACKROCK INC,,09247X101,US09247X1019,2494504,57,57.43801,0.00000,413.600000,USD,1.000000,,,,,,,
EQUITY,BNP PARIBAS SA,,F1058Q238,FR0000131104,7309681,542,542.00000,0.00000,47.146509,EUR,1.000000,,,,,,,
EQUITY,BRIGHTHOUSE FINANCIAL INC,,10922N103,US10922N1037,BF429K9,50,50.88429,0.00000,35.580000,USD,1.000000,,,,,,,
EQUITY,BROOKFIELD ASSET MANAGEMENT INC CL,,112585104,CA1125851040,2092599,414,414.91735,0.00000,41.570127,CAD,1.000000,,,,,,,
EQUITY,CAIXABANK SA,,E2427M123,ES0140609019,B283W97,1725,1725.51239,0.00000,3.689727,EUR,1.000000,,,,,,,
EQUITY,CANADIAN IMPERIAL BANK OF COMMERCE,,136069101,CA1360691010,2170525,212,212.78512,0.00000,82.285457,CAD,1.000000,,,,,,,
EQUITY,CAPITAL ONE FINANCIAL CORP,,14040H105,US14040H1059,2654461,218,218.54545,0.00000,83.400000,USD,1.000000,,,,,,,
EQUITY,CBOE GLOBAL MARKETS INC,,12503M108,US12503M1080,B5834C5,53,53.00000,0.00000,97.260000,USD,1.000000,,,,,,,
EQUITY,CHARLES SCHWAB CORP,,808513105,US8085131055,2779397,567,567.90909,0.00000,47.470000,USD,1.000000,,,,,,,
EQUITY,CHINA CONSTRUCTION BANK CORP H,,Y1397N101,CNE1000002H1,B0LMTQ3,50000,50262.14876,0.00000,0.847609,HKD,1.000000,,,,,,,
EQUITY,CHINA LIFE INSURANCE LTD H,,Y1477R204,CNE1000002L3,6718976,3000,3925.61983,0.00000,2.396248,HKD,1.000000,,,,,,,
EQUITY,CHUBB LTD,,H1467J104,CH0044328745,B3BQMF6,220,220.44628,0.00000,131.150000,USD,1.000000,,,,,,,
EQUITY,CINCINNATI FINANCIAL CORP,,172062101,US1720621010,2196888,73,73.00000,0.00000,79.500000,USD,1.000000,,,,,,,
EQUITY,CITIGROUP INC,,172967424,US1729674242,2297907,1152,1152.91735,0.00000,61.850000,USD,1.000000,,,,,,,
EQUITY,CITIZENS FINANCIAL GROUP INC,,174610105,US1746101054,BQRX1X3,218,218.00000,0.00000,35.180000,USD,1.000000,,,,,,,
EQUITY,CME GROUP INC CLASS A,,12572Q105,US12572Q1058,2965839,170,170.04958,0.00000,186.330000,USD,1.000000,,,,,,,
EQUITY,COMERICA INC,,200340107,US2003401070,2212870,71,71.45454,0.00000,80.170000,USD,1.000000,,,,,,,
EQUITY,COMMERZBANK AG,,D172W1279,DE000CBK1001,B90LKT4,487,487.00000,0.00000,7.590684,EUR,1.000000,,,,,,,
EQUITY,COMMONWEALTH BANK OF AUSTRALIA,,Q26915100,AU000000CBA7,6215035,835,835.84297,0.00000,51.522071,AUD,1.000000,,,,,,,
EQUITY,CREDICORP LTD,,G2519Y108,BMG2519Y1084,2232878,34,34.02479,0.00000,232.290000,USD,1.000000,,,,,,,
EQUITY,CREDIT AGRICOLE SA,,F22797108,FR0000045072,7262610,554,554.34710,0.00000,11.435995,EUR,1.000000,,,,,,,
EQUITY,CREDIT SUISSE GROUP AG,,H3698D419,CH0012138530,7171589,1135,1135.39669,0.00000,12.239374,CHF,1.000000,,,,,,,
EQUITY,DAI-ICHI LIFE HOLDINGS INC,,J09748112,JP3476480003,B601QS4,600,600.82644,0.00000,15.858004,JPY,1.000000,,,,,,,
EQUITY,DAIWA SECURITIES GROUP INC,,J11718111,JP3502200003,6251448,700,700.82644,0.00000,5.356360,JPY,1.000000,,,,,,,
EQUITY,DANSKE BANK,,K22272114,DK0010274414,4588825,332,332.39669,0.00000,19.162915,DKK,1.000000,,,,,,,
EQUITY,DBS GROUP HOLDINGS LTD,,Y20246107,SG1L01001701,6175203,800,880.16528,0.00000,18.052798,SGD,1.000000,,,,,,,
EQUITY,DEUTSCHE BANK AG,,D18190898,DE0005140008,5750355,889,889.11570,0.00000,8.926209,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE BOERSE AG,,D1882G119,DE0005810055,7021963,91,91.07438,0.00000,128.612361,EUR,1.000000,,,,,,,
EQUITY,DIRECT LINE INSURANCE PLC,,G2871V114,GB00BY9D0Y18,BY9D0Y1,686,686.49586,0.00000,4.282952,GBP,1.000000,,,,,,,
EQUITY,DISCOVER FINANCIAL SERVICES,,254709108,US2547091080,B1YLC43,157,157.00000,0.00000,66.120000,USD,1.000000,,,,,,,
EQUITY,DNB,,R1640U124,NO0010031479,4263304,456,456.00000,0.00000,17.772092,NOK,1.000000,,,,,,,
EQUITY,E TRADE FINANCIAL CORP,,269246401,US2692464017,2299011,120,120.08264,0.00000,50.080000,USD,1.000000,,,,,,,
EQUITY,ERSTE GROUP BANK AG,,A19494102,AT0000652011,5289837,149,149.91735,0.00000,33.490318,EUR,1.000000,,,,,,,
EQUITY,EVEREST RE GROUP LTD,,G3223R108,BMG3223R1088,2556868,20,20.00000,0.00000,214.670000,USD,1.000000,,,,,,,
EQUITY,EXOR NV,,N3140A107,NL0012059018,BYSLCX9,49,49.03305,0.00000,62.006489,EUR,1.000000,,,,,,,
EQUITY,FIFTH THIRD BANCORP,,316773100,US3167731005,2336747,308,308.00000,0.00000,27.560000,USD,1.000000,,,,,,,
EQUITY,FIRST REPUBLIC BANK,,33616C100,US33616C1009,B4WHY15,77,77.45454,0.00000,95.720000,USD,1.000000,,,,,,,
EQUITY,FRANKLIN RESOURCES INC,,354613101,US3546131018,2350684,149,149.04958,0.00000,31.340000,USD,1.000000,,,,,,,
EQUITY,GOLDMAN SACHS GROUP INC,,38141G104,US38141G1040,2407966,164,164.03305,0.00000,197.680000,USD,1.000000,,,,,,,
EQUITY,GPO FINANCE BANORTE,,P49501201,MXP370711014,2421041,1400,1467.00000,0.00000,5.595019,MXN,1.000000,,,,,,,
EQUITY,GROUPE BRUXELLES LAMBERT NV,,B4746J115,BE0003797140,7097328,51,51.00000,0.00000,92.328344,EUR,1.000000,,,,,,,
EQUITY,HANG SENG BANK LTD,,Y30327103,HK0011000095,6408374,400,400.00000,0.00000,22.509432,HKD,1.000000,,,,,,,
EQUITY,HANNOVER RUECK,,D3015J135,DE0008402215,4511809,28,28.38016,0.00000,143.205463,EUR,1.000000,,,,,,,
EQUITY,HARTFORD FINANCIAL SERVICES GROUP,,416515104,US4165151048,2476193,170,170.02479,0.00000,46.210000,USD,1.000000,,,,,,,
EQUITY,HONG KONG EXCHANGES AND CLEARING L,,Y3506N139,HK0388045442,6267359,0,665.28925,0.00000,30.717855,HKD,1.000000,,,,,,,
EQUITY,HSBC HOLDINGS PLC,,G4634U169,GB0005405286,0540528,9626,9626.92561,0.00000,8.310612,GBP,1.000000,,,,,,,
EQUITY,HUNTINGTON BANCSHARES INC,,446150104,US4461501045,2445966,500,500.16528,0.00000,13.520000,USD,1.000000,,,,,,,
