Fund Level
Fund Name,iShares Global Comm Services ETF
Fund Ticker,IXP
Fund ISIN,US4642872752
Fund Cusip,464287275
Fund LEI,
Total NAV per share,53.008099,Jan 22 2019
Distribution per Share,,
Fund Size,246487660.35,Jan 22 2019
Shares Outstanding,4650000,Jan 22 2019
Baskets Outstanding,93.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,10692.36,Jan 23 2019
Projected Cash for Deliverable Basket,122097.76,Jan 23 2019
Confirmed Cash for Deliverable Basket,122131.57,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACTIVISION BLIZZARD INC,,00507V109,US00507V1098,2575818,646,646.05376,0.00000,47.060000,USD,1.000000,,,,,,,
EQUITY,ALPHABET INC CLASS A,,02079K305,US02079K3059,BYVY8G0,230,230.00000,0.00000,1078.630000,USD,1.000000,,,,,,,
EQUITY,ALPHABET INC CLASS C,,02079K107,US02079K1079,BYY88Y7,236,236.76344,0.00000,1070.520000,USD,1.000000,,,,,,,
EQUITY,AMERICA MOVIL L,,P0280A101,MXP001691213,2667470,19200,19230.31182,0.00000,0.796230,MXN,1.000000,,,,,,,
EQUITY,AT&T INC,,00206R102,US00206R1023,2831811,5518,5518.77419,0.00000,30.580000,USD,1.000000,,,,,,,
EQUITY,BCE INC,,05534B760,CA05534B7604,B188TH2,762,762.22580,0.00000,41.810070,CAD,1.000000,,,,,,,
EQUITY,BT GROUP PLC,,G16612106,GB0030913577,3091357,6990,6990.39784,0.00000,3.084244,GBP,1.000000,,,,,,,
EQUITY,CBS CORP CLASS B,,124857202,US1248572026,B0SRLH6,321,321.55913,0.00000,48.460000,USD,1.000000,,,,,,,
EQUITY,CENTURYLINK INC,,156700106,US1567001060,2185046,807,807.67741,0.00000,15.390000,USD,1.000000,,,,,,,
EQUITY,CHARTER COMMUNICATIONS INC CLASS A,,16119P108,US16119P1084,BZ6VT82,152,152.59139,0.00000,284.970000,USD,1.000000,,,,,,,
