Fund Level
Fund Name,iShares U.S. Technology ETF
Fund Ticker,IYW
Fund ISIN,US4642877215
Fund Cusip,464287721
Fund LEI,
Total NAV per share,166.570184,Jan 22 2019
Distribution per Share,,
Fund Size,3597915974.40,Jan 22 2019
Shares Outstanding,21600000,Jan 22 2019
Baskets Outstanding,432.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,3631.52,Jan 23 2019
Projected Cash for Deliverable Basket,13015.33,Jan 23 2019
Confirmed Cash for Deliverable Basket,13110.59,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,2U INC,,90214J101,US90214J1016,BKWBZZ0,95,94.77778,0.00000,56.350000,USD,1.000000,,,,,,,
EQUITY,ACI WORLDWIDE INC,,004498101,US0044981019,2889155,191,190.73843,0.00000,28.230000,USD,1.000000,,,,,,,
EQUITY,ADOBE INC,,00724F101,US00724F1012,2008154,803,802.82407,0.00000,243.850000,USD,1.000000,,,,,,,
EQUITY,ADVANCED MICRO DEVICES INC,,007903107,US0079031078,2007849,1448,1448.34954,0.00000,19.760000,USD,1.000000,,,,,,,
EQUITY,AKAMAI TECHNOLOGIES INC,,00971T101,US00971T1016,2507457,268,267.75000,0.00000,64.510000,USD,1.000000,,,,,,,
EQUITY,ALLSCRIPTS HEALTHCARE SOLUTIONS IN,,01988P108,US01988P1084,2710039,290,289.87500,0.00000,12.050000,USD,1.000000,,,,,,,
EQUITY,ALPHABET INC CLASS A,,02079K305,US02079K3059,BYVY8G0,492,491.71065,0.00000,1078.630000,USD,1.000000,,,,,,,
EQUITY,ALPHABET INC CLASS C,,02079K107,US02079K1079,BYY88Y7,506,506.00694,0.00000,1070.520000,USD,1.000000,,,,,,,
EQUITY,AMDOCS LTD,,G02602103,GB0022569080,2256908,233,233.07407,0.00000,60.470000,USD,1.000000,,,,,,,
EQUITY,ANALOG DEVICES INC,,032654105,US0326541051,2032067,609,608.79398,0.00000,89.130000,USD,1.000000,,,,,,,
