Fund Level
Fund Name,iShares U.S. Telecommunications ETF
Fund Ticker,IYZ
Fund ISIN,US4642877132
Fund Cusip,464287713
Fund LEI,
Total NAV per share,27.712014,Jan 22 2019
Distribution per Share,,
Fund Size,448934626.80,Jan 22 2019
Shares Outstanding,16200000,Jan 22 2019
Baskets Outstanding,324.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,7894.79,Jan 23 2019
Projected Cash for Deliverable Basket,7807.29,Jan 23 2019
Confirmed Cash for Deliverable Basket,7816.51,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACACIA COMMUNICATIONS INC,,00401C108,US00401C1080,BYXPCC5,280,280.34877,0.00000,41.280000,USD,1.000000,,,,,,,
EQUITY,ADTRAN INC,,00738A106,US00738A1060,2052924,664,664.35802,0.00000,11.780000,USD,1.000000,,,,,,,
EQUITY,APPLIED OPTOELECTRONICS INC,,03823U102,US03823U1025,BDW0D09,317,317.28704,0.00000,16.270000,USD,1.000000,,,,,,,
EQUITY,ARISTA NETWORKS INC,,040413106,US0404131064,BN33VM5,183,182.91667,0.00000,222.990000,USD,1.000000,,,,,,,
EQUITY,ARRIS INTERNATIONAL PLC,,G0551A103,GB00BZ04Y379,BZ04Y37,852,852.24074,0.00000,30.690000,USD,1.000000,,,,,,,
EQUITY,AT&T INC,,00206R102,US00206R1023,2831811,6935,6935.29630,0.00000,30.580000,USD,1.000000,,,,,,,
EQUITY,ATN INTERNATIONAL INC,,00215F107,US00215F1075,BDC84D3,125,125.17901,0.00000,75.170000,USD,1.000000,,,,,,,
EQUITY,CALAMP CORP,,128126109,US1281261099,2164700,507,507.47840,0.00000,13.650000,USD,1.000000,,,,,,,
EQUITY,CENTURYLINK INC,,156700106,US1567001060,2185046,2906,2906.36728,0.00000,15.390000,USD,1.000000,,,,,,,
EQUITY,CIENA CORP,,171779309,US1717793095,B1FLZ21,772,771.59259,0.00000,38.380000,USD,1.000000,,,,,,,
EQUITY,CINCINNATI BELL INC,,171871502,US1718715022,BD5CWW7,710,709.53086,0.00000,8.500000,USD,1.000000,,,,,,,
EQUITY,CISCO SYSTEMS INC,,17275R102,US17275R1023,2198163,4341,4340.83025,0.00000,44.780000,USD,1.000000,,,,,,,
EQUITY,COMMSCOPE HOLDING INC,,20337X109,US20337X1090,BFRBX34,1198,1197.89198,0.00000,18.320000,USD,1.000000,,,,,,,
EQUITY,COMTECH TELECOMMUNICATIONS CORP,,205826209,US2058262096,2215341,320,319.55864,0.00000,25.340000,USD,1.000000,,,,,,,
EQUITY,CONSOLIDATED COMMUNICATIONS HOLDIN,,209034107,US2090341072,B07LSQ7,843,842.72531,0.00000,10.500000,USD,1.000000,,,,,,,
EQUITY,ECHOSTAR CORP CLASS A,,278768106,US2787681061,B2NC471,389,389.06790,0.00000,38.490000,USD,1.000000,,,,,,,
EQUITY,EXTREME NETWORKS INC,,30226D106,US30226D1063,2407052,1458,1458.04630,0.00000,6.390000,USD,1.000000,,,,,,,
EQUITY,F5 NETWORKS INC,,315616102,US3156161024,2427599,229,228.60494,0.00000,157.300000,USD,1.000000,,,,,,,
EQUITY,FINISAR CORP,,31787A507,US31787A5074,2517832,821,821.22840,0.00000,21.210000,USD,1.000000,,,,,,,
EQUITY,FRONTIER COMMUNICATIONS CORP,,35906A306,US35906A3068,BF0HZC2,1975,1974.67593,0.00000,2.390000,USD,1.000000,,,,,,,
EQUITY,GARMIN LTD,,H2906T109,CH0114405324,B3Z5T14,511,510.88580,0.00000,67.390000,USD,1.000000,,,,,,,
EQUITY,GLOBALSTAR VOTING INC,,378973408,US3789734080,B1GHPM8,15754,15753.58333,0.00000,0.639400,USD,1.000000,,,,,,,
EQUITY,IRIDIUM COMMUNICATIONS INC,,46269C102,US46269C1027,B2QH310,749,748.88889,0.00000,18.800000,USD,1.000000,,,,,,,
EQUITY,JUNIPER NETWORKS INC,,48203R104,US48203R1041,2431846,1331,1331.08025,0.00000,27.840000,USD,1.000000,,,,,,,
EQUITY,LUMENTUM HOLDINGS INC,,55024U109,US55024U1097,BYM9ZP2,464,463.76852,0.00000,45.330000,USD,1.000000,,,,,,,
EQUITY,MOTOROLA SOLUTIONS INC,,620076307,US6200763075,B5BKPQ4,445,445.17284,0.00000,114.470000,USD,1.000000,,,,,,,
EQUITY,NETGEAR INC,,64111Q104,US64111Q1040,2688363,274,273.52469,0.00000,37.930000,USD,1.000000,,,,,,,
EQUITY,NETSCOUT SYSTEMS INC,,64115T104,US64115T1043,2447285,565,564.90432,0.00000,25.490000,USD,1.000000,,,,,,,
EQUITY,ORBCOMM INC,,68555P100,US68555P1003,B19FR01,992,992.37037,0.00000,8.130000,USD,1.000000,,,,,,,
EQUITY,PLANTRONICS INC,,727493108,US7274931085,2692030,318,317.77778,0.00000,35.250000,USD,1.000000,,,,,,,
