Fund Level
Fund Name,iShares Morningstar Large-Cap Growth ETF
Fund Ticker,JKE
Fund ISIN,US4642871192
Fund Cusip,464287119
Fund LEI,
Total NAV per share,167.576309,Jan 22 2019
Distribution per Share,,
Fund Size,1030594300.35,Jan 22 2019
Shares Outstanding,6150000,Jan 22 2019
Baskets Outstanding,123.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,5325.48,Jan 23 2019
Projected Cash for Deliverable Basket,4277.32,Jan 23 2019
Confirmed Cash for Deliverable Basket,4283.63,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ABBOTT LABORATORIES,,002824100,US0028241000,2002305,1889,1889.20325,0.00000,71.490000,USD,1.000000,,,,,,,
EQUITY,ACTIVISION BLIZZARD INC,,00507V109,US00507V1098,2575818,1491,1491.46341,0.00000,47.060000,USD,1.000000,,,,,,,
EQUITY,ADOBE INC,,00724F101,US00724F1012,2008154,544,544.09756,0.00000,243.850000,USD,1.000000,,,,,,,
EQUITY,ALEXION PHARMACEUTICALS INC,,015351109,US0153511094,2036070,573,572.68293,0.00000,114.290000,USD,1.000000,,,,,,,
EQUITY,ALPHABET INC CLASS A,,02079K305,US02079K3059,BYVY8G0,234,233.92683,0.00000,1078.630000,USD,1.000000,,,,,,,
EQUITY,ALPHABET INC CLASS C,,02079K107,US02079K1079,BYY88Y7,241,240.72358,0.00000,1070.520000,USD,1.000000,,,,,,,
EQUITY,AMAZON COM INC,,023135106,US0231351067,2000019,321,320.52846,0.00000,1632.170000,USD,1.000000,,,,,,,
EQUITY,AMERICAN TOWER REIT CORP,,03027X100,US03027X1000,B7FBFL2,585,585.17886,0.00000,164.680000,USD,1.000000,,,,,,,
EQUITY,AMPHENOL CORP CLASS A,,032095101,US0320951017,2145084,759,758.57724,0.00000,81.170000,USD,1.000000,,,,,,,
EQUITY,AUTODESK INC,,052769106,US0527691069,2065159,500,500.28455,0.00000,139.060000,USD,1.000000,,,,,,,
EQUITY,AUTOMATIC DATA PROCESSING INC,,053015103,US0530151036,2065308,647,647.33333,0.00000,133.170000,USD,1.000000,,,,,,,
EQUITY,BAXTER INTERNATIONAL INC,,071813109,US0718131099,2085102,1042,1041.53659,0.00000,69.660000,USD,1.000000,,,,,,,
EQUITY,BECTON DICKINSON,,075887109,US0758871091,2087807,387,386.51220,0.00000,239.190000,USD,1.000000,,,,,,,
EQUITY,BOEING,,097023105,US0970231058,2108601,518,517.69106,0.00000,357.900000,USD,1.000000,,,,,,,
