Fund Level
Fund Name,iShares Edge MSCI Min Vol Japan ETF
Fund Ticker,JPMV
Fund ISIN,US46434V7120
Fund Cusip,46434V712
Fund LEI,
Total NAV per share,65.299073,Jan 22 2019
Distribution per Share,,
Fund Size,26119629.20,Jan 22 2019
Shares Outstanding,400000,Jan 22 2019
Baskets Outstanding,4.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,22661.83,Jan 23 2019
Projected Cash for Deliverable Basket,170217.11,Jan 23 2019
Confirmed Cash for Deliverable Basket,170270.57,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ABC MART INC,,J00056101,JP3152740001,6292102,1000,1000.00000,0.00000,56.377924,JPY,1.000000,,,,,,,
EQUITY,AEON LTD,,J00288100,JP3388200002,6480048,1300,1300.00000,0.00000,20.134320,JPY,1.000000,,,,,,,
EQUITY,AISIN SEIKI LTD,,J00714105,JP3102000001,6010702,500,500.00000,0.00000,39.427997,JPY,1.000000,,,,,,,
EQUITY,AJINOMOTO INC,,J00882126,JP3119600009,6010906,2100,2100.00000,0.00000,17.479898,JPY,1.000000,,,,,,,
EQUITY,ANA HOLDINGS INC,,J0156Q112,JP3429800000,6014908,2100,2100.00000,0.00000,36.504020,JPY,1.000000,,,,,,,
EQUITY,AOZORA BANK LTD,,J0172K115,JP3711200000,B1G1854,2000,2000.00000,0.00000,30.747442,JPY,1.000000,,,,,,,
EQUITY,ASAHI GROUP HOLDINGS LTD,,J02100113,JP3116000005,6054409,1500,1500.00000,0.00000,40.625000,JPY,1.000000,,,,,,,
EQUITY,ASAHI KASEI CORP,,J0242P110,JP3111200006,6054603,500,500.00000,0.00000,10.508041,JPY,1.000000,,,,,,,
EQUITY,ASTELLAS PHARMA INC,,J03393105,JP3942400007,6985383,6000,6000.00000,0.00000,14.240680,JPY,1.000000,,,,,,,
EQUITY,BANDAI NAMCO HOLDINGS INC,,Y0606D102,JP3778630008,B0JDQD4,700,700.00000,0.00000,43.220029,JPY,1.000000,,,,,,,
EQUITY,BENESSE HOLDINGS INC,,J0429N102,JP3835620000,6121927,700,700.00000,0.00000,25.758406,JPY,1.000000,,,,,,,
EQUITY,BRIDGESTONE CORP,,J04578126,JP3830800003,6132101,1500,1500.00000,0.00000,39.007675,JPY,1.000000,,,,,,,
EQUITY,CALBEE INC,,J05190103,JP3220580009,B3TBRZ8,300,300.00000,0.00000,31.889620,JPY,1.000000,,,,,,,
EQUITY,CANON INC,,J05124144,JP3242800005,6172323,3100,3100.00000,0.00000,28.051901,JPY,1.000000,,,,,,,
EQUITY,CASIO COMPUTER LTD,,J05250139,JP3209000003,6178967,1300,1300.00000,0.00000,12.554825,JPY,1.000000,,,,,,,
EQUITY,CENTRAL JAPAN RAILWAY,,J05523105,JP3566800003,6183552,500,500.00000,0.00000,213.907164,JPY,1.000000,,,,,,,
EQUITY,CHUBU ELECTRIC POWER INC,,J06510101,JP3526600006,6195609,1400,1400.00000,0.00000,16.145833,JPY,1.000000,,,,,,,
EQUITY,CHUGAI PHARMACEUTICAL LTD,,J06930101,JP3519400000,6196408,600,600.00000,0.00000,59.941520,JPY,1.000000,,,,,,,
EQUITY,CHUGOKU ELECTRIC POWER INC,,J07098106,JP3522200009,6195900,4400,4400.00000,0.00000,13.824927,JPY,1.000000,,,,,,,
EQUITY,COCA-COLA BOTTLERS JAPAN HOLDINGS,,J0815C108,JP3293200006,6163286,100,100.00000,0.00000,30.381944,JPY,1.000000,,,,,,,
EQUITY,DAI NIPPON PRINTING LTD,,J10584142,JP3493800001,6250906,700,700.00000,0.00000,23.053728,JPY,1.000000,,,,,,,
