Fund Level
Fund Name,iShares JPX-Nikkei 400 ETF
Fund Ticker,JPXN
Fund ISIN,US4642873826
Fund Cusip,464287382
Fund LEI,
Total NAV per share,57.485593,Jan 22 2019
Distribution per Share,,
Fund Size,112096906.35,Jan 22 2019
Shares Outstanding,1950000,Jan 22 2019
Baskets Outstanding,13.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),150000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,25322.44,Jan 23 2019
Projected Cash for Deliverable Basket,218542.9,Jan 23 2019
Confirmed Cash for Deliverable Basket,218653.75,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ABC MART INC,,J00056101,JP3152740001,6292102,100,100.00000,0.00000,56.377924,JPY,1.000000,,,,,,,
EQUITY,ADASTRIA LTD,,J0011S105,JP3856000009,6300016,100,100.00000,0.00000,19.462719,JPY,1.000000,,,,,,,
EQUITY,ADVANTEST CORP,,J00210104,JP3122400009,6870490,300,300.00000,0.00000,19.947003,JPY,1.000000,,,,,,,
EQUITY,AEON DELIGHT LTD,,J0036F104,JP3389700000,6476218,100,100.00000,0.00000,36.823830,JPY,1.000000,,,,,,,
EQUITY,AEON FINANCIAL SERVICES LTD,,J0021H107,JP3131400008,6037734,400,400.00000,0.00000,19.499269,JPY,1.000000,,,,,,,
EQUITY,AEON LTD,,J00288100,JP3388200002,6480048,2100,2100.00000,0.00000,20.134320,JPY,1.000000,,,,,,,
EQUITY,AEON MALL LTD,,J10005106,JP3131430005,6534202,300,300.00000,0.00000,16.091009,JPY,1.000000,,,,,,,
EQUITY,AGC INC,,J0025W100,JP3112000009,6055208,600,600.00000,0.00000,32.711988,JPY,1.000000,,,,,,,
EQUITY,AICA KOGYO LTD,,J00252106,JP3100800006,6010047,200,200.00000,0.00000,34.128289,JPY,1.000000,,,,,,,
EQUITY,AIN HOLDINGS INC,,J00602102,JP3105250009,6249120,100,100.00000,0.00000,74.744152,JPY,1.000000,,,,,,,
