Fund Level
Fund Name,iShares MSCI Saudi Arabia ETF
Fund Ticker,KSA
Fund ISIN,US46434V4234
Fund Cusip,46434V423
Fund LEI,
Total NAV per share,31.142729,Jan 22 2019
Distribution per Share,,
Fund Size,174399282.40,Jan 22 2019
Shares Outstanding,5600000,Jan 22 2019
Baskets Outstanding,112.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,1332.87,Jan 23 2019
Projected Cash for Deliverable Basket,1618.24,Jan 23 2019
Confirmed Cash for Deliverable Basket,1765.77,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ABDULLAH AL OTHAIM MARKETS,,M008AM109,SA1230K1UGH7,B3BQB93,465,465.66964,0.00000,18.690841,SAR,1.000000,,,,,,,
EQUITY,ADVANCED PETROCHEMICAL,,M0182V107,SA000A0LE310,B1P6WF8,989,989.11607,0.00000,14.584722,SAR,1.000000,,,,,,,
EQUITY,AL HAMMADI DEVELOPMENT AND INVESTM,,M0806B107,SA13J051UJH4,BP7RRL8,682,682.93750,0.00000,6.665778,SAR,1.000000,,,,,,,
EQUITY,AL MOUWASAT MEDICAL SERVICES,,M7065G107,SA12C051UH11,B403QG4,511,511.47321,0.00000,20.557259,SAR,1.000000,,,,,,,
EQUITY,AL RAJHI BANK,,M0R60D105,SA0007879113,B12LZH9,7770,7770.41071,0.00000,26.396480,SAR,1.000000,,,,,,,
EQUITY,AL RAJHI COMPANY FOR COOPERATIVE I,,M0857QAA0,SA12A0540J14,B3P6M52,216,216.51785,0.00000,18.797494,SAR,1.000000,,,,,,,
EQUITY,AL-TAYYAR TRAVEL GROUP,,M0854B108,SA132GSGS910,B6WTLK3,1120,1120.93750,0.00000,5.711239,SAR,1.000000,,,,,,,
EQUITY,ALINMA BANK,,M0R35G100,SA122050HV19,B39NWT3,7266,7266.68750,0.00000,6.404479,SAR,1.000000,,,,,,,
EQUITY,ALMARAI,,M0855N101,SA000A0ETHT1,B137VV2,2998,2998.00892,0.00000,14.398080,SAR,1.000000,,,,,,,
EQUITY,ALUJAIN CORPORATION,,M0863J100,SA0007879345,B137VW3,451,451.01785,0.00000,6.244501,SAR,1.000000,,,,,,,
EQUITY,ARABIAN CEMENT,,M1R20A108,SA0007879915,B137W42,588,588.06250,0.00000,5.951207,SAR,1.000000,,,,,,,
EQUITY,ARRIYADH DEVELOPMENT,,M1R03C105,SA0007879683,B128GR7,781,781.34821,0.00000,4.751366,SAR,1.000000,,,,,,,
EQUITY,ASSIR TRADING TOURISM AND MANUFACT,,M1504S103,SA0007870104,B128GS8,899,899.69642,0.00000,2.487668,SAR,1.000000,,,,,,,
EQUITY,BANK ALBILAD,,M1637E104,SA000A0D9HK3,B12LZP7,2964,2964.18750,0.00000,7.758965,SAR,1.000000,,,,,,,
EQUITY,BANK ALJAZIRA,,M0R43T102,SA0007879055,B12LZQ8,4087,4087.83035,0.00000,4.340755,SAR,1.000000,,,,,,,
EQUITY,BANQUE SAUDI FRANSI,,M1R177100,SA0007879782,B12LZT1,3597,3597.03571,0.00000,9.998667,SAR,1.000000,,,,,,,
EQUITY,BUPA ARABIA,,M20515116,SA1210540914,B2RLCR0,525,525.67857,0.00000,22.530329,SAR,1.000000,,,,,,,
EQUITY,CITY CEMENT,,M2057L115,SA134G51ETH6,B8DQ8Z1,1171,1171.78571,0.00000,2.559659,SAR,1.000000,,,,,,,
EQUITY,DALLAH HEALTHCARE,,M2057N103,SA135G51UI10,B95TKH1,274,274.00892,0.00000,17.517664,SAR,1.000000,,,,,,,
EQUITY,DAR AL ARKAN REAL ESTATE DEVELOPME,,,SA11U0S23612,B2NC4X7,5448,5448.85714,0.00000,2.527663,SAR,1.000000,,,,,,,
EQUITY,DUR HOSPITALITY COMPANY,,M8235P100,SA0007870039,B128GV1,469,469.78571,0.00000,5.017998,SAR,1.000000,,,,,,,
EQUITY,EASTERN PROVINCE CEMENT,,M2R25J102,SA0007879527,B137WH5,540,540.46428,0.00000,5.908546,SAR,1.000000,,,,,,,
EQUITY,EMAAR THE ECONOMIC CITY,,M4018S106,SA000A0KDVM8,B19NK95,4368,4368.17857,0.00000,2.170377,SAR,1.000000,,,,,,,
EQUITY,ETIHAD ETISALAT,,M4100E106,SA000A0DM9P2,B12LR51,3825,3825.00892,0.00000,4.730036,SAR,1.000000,,,,,,,
EQUITY,FAWAZ ABDULAZIZ ALHOKAIR,,M4206V101,SA000A0LB2R6,B19NQH5,828,828.48214,0.00000,5.689908,SAR,1.000000,,,,,,,
EQUITY,HALWANI BROTHERS,,M5247C101,SA1230A2TOH3,B3BQQ98,171,171.97321,0.00000,11.825090,SAR,1.000000,,,,,,,
EQUITY,HERFY FOOD SERVICES,,M5285F107,SA12GGPITP13,B60CZW4,276,276.64285,0.00000,12.558326,SAR,1.000000,,,,,,,
EQUITY,JARIR MARKETING,,M6185P112,SA000A0BLA62,B128FM5,589,589.01785,0.00000,40.901213,SAR,1.000000,,,,,,,
EQUITY,MIDDLE EAST HEALTHCARE,,M7002V100,SA141H01UKH9,BYQ71T8,391,391.02678,0.00000,8.665511,SAR,1.000000,,,,,,,
EQUITY,MOBILE TELECOMMUNICATIONS,,M7039H108,SA121053DR18,B2QG180,2945,2945.30357,0.00000,2.479669,SAR,1.000000,,,,,,,
EQUITY,NAJRAN CEMENT COMPANY,,M529A6109,SA132051ET14,B73DV67,1110,1110.14285,0.00000,2.239701,SAR,1.000000,,,,,,,
EQUITY,NATIONAL AGRICULTURE DEVELOPMENT,,M7S81H105,SA0007879568,B128FP8,495,495.24107,0.00000,7.465671,SAR,1.000000,,,,,,,
EQUITY,NATIONAL COMMERCIAL BANK,,M7S2CL107,SA13L050IE10,BSHYYN1,11725,11725.06250,0.00000,13.811492,SAR,1.000000,,,,,,,
EQUITY,NATIONAL INDUSTRIALIZATION,,M7228W106,SA0007879170,B136MP0,3341,3341.03571,0.00000,4.271430,SAR,1.000000,,,,,,,
EQUITY,NATIONAL MEDICAL CARE,,M7228Y102,SA139051UIH0,B915XX0,274,274.91964,0.00000,12.345021,SAR,1.000000,,,,,,,
EQUITY,NATURAL GAS AND INDUSTRIALIZATION,,M7226N108,SA0007879196,B134V24,446,446.91071,0.00000,7.692308,SAR,1.000000,,,,,,,
EQUITY,NORTHERN REGION CEMENT,,M7S61C100,SA136051EU12,B9GX1K2,1161,1161.91964,0.00000,2.229036,SAR,1.000000,,,,,,,
EQUITY,QASSIM CEMENT,,M8179C115,SA0007879493,B136WG1,503,503.00892,0.00000,9.092121,SAR,1.000000,,,,,,,
EQUITY,RABIGH REFINING AND PETROCHEMICAL,,M8180Q103,SA120GAH5617,B2PF1B1,2254,2254.04464,0.00000,5.417944,SAR,1.000000,,,,,,,
EQUITY,RIYAD BANK,,M8215R118,SA0007879048,B12LZW4,11816,11816.72321,0.00000,5.519264,SAR,1.000000,,,,,,,
EQUITY,SAHARA PETROCHEMICALS,,M8232J115,SA000A0B63Y2,B1377R0,2251,2251.01785,0.00000,4.143448,SAR,1.000000,,,,,,,
EQUITY,SAMBA FINANCIAL,,M8234E114,SA0007879097,B12LZX5,7959,7959.00892,0.00000,9.945341,SAR,1.000000,,,,,,,
EQUITY,SAUDI AIRLINES CATERING,,M8234B102,SA1330R2TQ16,B7J4PX9,420,420.39285,0.00000,22.930276,SAR,1.000000,,,,,,,
EQUITY,SAUDI ARABIA FERTILIZERS,,M8T36M107,SA0007879139,B1323K0,1581,1581.62500,0.00000,22.610319,SAR,1.000000,,,,,,,
EQUITY,SAUDI ARABIAN MINING,,M8236Q107,SA123GA0ITH7,B3C8VY3,4028,4028.52678,0.00000,14.691374,SAR,1.000000,,,,,,,
EQUITY,SAUDI BASIC INDUSTRIES,,M8T36U109,SA0007879121,B1324D0,7077,7077.12500,0.00000,32.262365,SAR,1.000000,,,,,,,
EQUITY,SAUDI BRITISH BANK,,M8234F111,SA0007879089,B12LSY7,2268,2268.42857,0.00000,10.105319,SAR,1.000000,,,,,,,
EQUITY,SAUDI CEMENT,,M8235J112,SA0007879469,B132HD1,785,785.68750,0.00000,14.318091,SAR,1.000000,,,,,,,
EQUITY,SAUDI CERAMIC,,M8T401107,SA0007879154,B1362V6,409,409.11607,0.00000,5.097987,SAR,1.000000,,,,,,,
EQUITY,SAUDI CHEMICAL,,M8T402105,SA0007879402,B132HG4,380,380.25000,0.00000,8.265565,SAR,1.000000,,,,,,,
EQUITY,SAUDI COMPANY FOR HARDWARE,,M8235S104,SA13Q051UK14,BWY5F65,167,167.52678,0.00000,17.730969,SAR,1.000000,,,,,,,
EQUITY,SAUDI DAIRY AND FOODSTUFF,,M8250T102,SA000A0EAXM3,B133P41,181,181.46428,0.00000,27.782962,SAR,1.000000,,,,,,,
EQUITY,SAUDI ELECTRICITY,,M8T51J104,SA0007879550,B132NM2,8273,8273.88392,0.00000,4.191441,SAR,1.000000,,,,,,,
EQUITY,SAUDI INDUSTRIAL INVESTMENT GROUP,,M8235U117,SA000A0B89Q3,B132Y63,2247,2247.59821,0.00000,6.164511,SAR,1.000000,,,,,,,
EQUITY,SAUDI INTERNATIONAL PETROCHEMICAL,,M8257M100,SA000A0KFKK0,B1C1NH5,1872,1872.54464,0.00000,5.119317,SAR,1.000000,,,,,,,
EQUITY,SAUDI KAYAN PETROCHEMICAL,,M82585106,SA000A0MQCJ2,B1Z8F66,6273,6273.41964,0.00000,3.572857,SAR,1.000000,,,,,,,
EQUITY,SAUDI PHARMACEUTICAL INDUST AND ME,,M8T589109,SA0007879188,B133NZ8,661,661.07142,0.00000,7.732302,SAR,1.000000,,,,,,,
EQUITY,SAUDI PUBLIC TRANSPORT,,M8T58D100,SA0007870062,B128GY4,782,782.72321,0.00000,3.962138,SAR,1.000000,,,,,,,
EQUITY,SAUDI REAL ESTATE,,M8T58E108,SA0007870047,B128FT2,1137,1137.84821,0.00000,3.332889,SAR,1.000000,,,,,,,
EQUITY,SAUDI RESEARCH AND MARKETING GROUP,,M82595105,SA000A0JK5M3,B156TT1,378,378.00892,0.00000,22.956939,SAR,1.000000,,,,,,,
EQUITY,SAUDI TELECOM,,M8T596104,SA0007879543,B12M7Q5,2871,2871.43750,0.00000,27.196374,SAR,1.000000,,,,,,,
EQUITY,SAVOLA GROUP,,M8237G108,SA0007879162,B133RS9,2638,2638.20535,0.00000,8.025597,SAR,1.000000,,,,,,,
EQUITY,SOUTHERN PROVINCE CEMENT,,M8479W118,SA0007879501,B131QN1,679,679.03571,0.00000,10.531929,SAR,1.000000,,,,,,,
EQUITY,THE COOPERATIVE INSURANCE,,M7225K105,SA000A0DPSH3,B128FN6,644,644.62500,0.00000,16.264498,SAR,1.000000,,,,,,,
EQUITY,UNITED ELECTRONICS,,M9T66G101,SA12U0RHUHH8,B4P2SD7,225,225.38392,0.00000,16.237835,SAR,1.000000,,,,,,,
